headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【速報】【近畿総体】陸上女子400メートル障害　楠田（鹿児島女）Ｖ（南日本新聞）,https://news.yahoo.co.jp/articles/ff0260238cef12977885a4c9404b7ca66cd3f197,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260802-00000003-minami-000-2-view.jpg?exp=10800,2026-08-02T19:55:21+09:00,2026-08-02T22:30:39+09:00,南日本新聞,minami,南日本新聞,103,楠田ゆうな ２０２６年度全国高校総合体育大会（近畿総体）の陸上は２日、滋賀県彦根市の平和堂ＨＡＴＯスタジアムであり、４００メートル障害の楠田ゆうな（鹿児島女）が５７秒７４で優勝した。 南日本新聞 | 鹿児島,[],[]
【速報】【近畿総体】陸上女子ハンマー投げ　坂口（鹿児島南）が優勝（南日本新聞）,https://news.yahoo.co.jp/articles/31e1f3a25b39310a6022682cc9139159b97b9c42,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260802-00000002-minami-000-1-view.jpg?exp=10800,2026-08-02T18:55:21+09:00,2026-08-02T18:55:21+09:00,南日本新聞,minami,南日本新聞,139,女子ハンマー投げを制した坂口はな（鹿児島南）＝平和堂ＨＡＴＯスタジアム ２０２６年度全国高校総合体育大会（近畿総体）の陸上は２日、滋賀県彦根市の平和堂ＨＡＴＯスタジアムであり、女子ハンマー投げの坂口はな（鹿児島南）が５７メートル４４をマークして優勝した。 南日本新聞 | 鹿児島,[],[]
【速報】近畿総体　鹿児島実、相撲団体で優勝（南日本新聞）,https://news.yahoo.co.jp/articles/e638aa27759e886b265395e5e5806682edcfbb0c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260802-00000001-minami-000-1-view.jpg?exp=10800,2026-08-02T14:05:22+09:00,2026-08-02T14:05:22+09:00,南日本新聞,minami,南日本新聞,134,全国高校総体を制した鹿児島実相撲部＝５月、かごしま健康の森公園相撲場 近畿２府４県を中心に開催中の２０２６年度全国高校総合体育大会（近畿総体）で２日、相撲団体の鹿児島実が優勝した。決勝で埼玉栄を３―２で下した。今大会の鹿児島県勢の頂点は初めて。 南日本新聞 | 鹿児島,[],[]
