headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
「緊迫感が伝わる」沖永良部島で初の日米訓練始まる　敵を想定した戦闘訓練（MBC南日本放送）,https://news.yahoo.co.jp/articles/58bad2af9bdc7cb321280a29342093129ff3691b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240310-00070300-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-10T18:24:00+09:00,2024-03-10T18:24:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,402,\nMBC南日本放送\n離島の防衛を想定した日米の共同訓練が、１０日から始まりました。沖永良部島での実施は初めてです。\n\n日米共同訓練「アイアン・フィスト」は、離島の防衛を想定して先月から九州・沖縄で行われています。鹿児島県内での訓練はきょう１０日とあす１１日の２日間で、沖永良部島での実施は初めてです。\n\n訓練に反対する市民グループが見つめる中、知名町のグラウンドに陸上自衛隊とアメリカ海兵隊の輸送ヘリ３機が相次いで飛来。日米の隊員あわせておよそ６０人が降り立ちました。\n\nそして、隊員たちは小銃を携えた状態で近くの野営場に向かい、潜伏する敵との戦いを想定した戦闘訓練を行いました。\n\n（知名町民・２０代）「訓練の成果が出ないよう、平和で安心して暮らせたらいい」\n\n１１日は和泊町の笠石海岸で、日米の偵察ボートや水陸両用車による上陸訓練が行われます。\nMBC南日本放送 | 鹿児島,[],[]
ＨＣＵなど高度な医療提供体制を強化　鹿児島大学病院に新病棟が完成（MBC南日本放送）,https://news.yahoo.co.jp/articles/12f783039279afe634eb6e6c2d3a8b1e84c48d0d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240310-00070299-mbcnewsv-000-1-view.jpg?exp=10800,2024-03-10T11:43:00+09:00,2024-03-10T11:43:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,363,\n鹿児島大学病院に新たな病棟が竣工し、関係者が完成を祝いました。\n\n新たに完成した病棟は、外来診察機能も備えた地上８階、地下１階建てで、２０２０年に着工し、およそ１５０億円かけて作られました。\n\nこれまで別棟にあった小児外科や歯科をひとつに集約したほか、集中治療室よりもやや重篤度が低い患者を受け入れることができるＨＣＵ＝高度治療室を新設し、高度急性期の医療提供体制などを強化しました。\n\n（鹿児島大学病院・坂本泰二院長）「南九州における医療の中心として、先進的な医療を提供したい」\n\n鹿児島大学病院は、施設の老朽化対策などから２００５年を皮きりに病院の再開発事業を進めており、今後、駐車場の整備なども行い、２０２８年の完了を目指しています。新棟は今年９月に開院する予定です。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240310-00070299-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/12f783039279afe634eb6e6c2d3a8b1e84c48d0d/images/000']
鹿児島レブナイズ　今季最多１１５得点で６連勝（MBC南日本放送）,https://news.yahoo.co.jp/articles/55510c471fbae436b58e30b4a80192730cec5703,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240310-00070301-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-10T18:21:00+09:00,2024-03-10T18:21:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,383,\nMBC南日本放送\nバスケットボールＢ３リーグの鹿児島レブナイズは１０日、ホームで豊田合成に勝利し、６連勝しました。\n\nここまで３位の鹿児島レブナイズは、１７位の豊田合成スコーピオンズと対戦。\n\n今シーズン最多の３８１２人の観客が駆け付ける中、レブナイズは第１クォーターからゲインズジュニアらの連続スリーポイントなどで得点を重ね、第２クォーターが終わった時点で２０点以上の差をつけ、前半を折り返します。\n\n後半も追い上げを図る豊田合成に対してレブナイズの攻守の切り替えが光り、試合終了間際にはゲインズジュニアの豪快なダンク！\n\nレブナイズは出場した６人が二桁得点を上げる活躍で、今シーズン最多の１１５得点を上げ、６連勝を飾りました。\n\nレブナイズは、この９日・１０日の連勝で、プレーオフへの進出が決まりました。\nMBC南日本放送 | 鹿児島,[],[]
焼酎かすをレジ袋に　高校生がＳＤＧｓ学んで地域課題を解決（MBC南日本放送）,https://news.yahoo.co.jp/articles/efcb5f2d3f81d67e61ed3a4c2a10109216cb1887,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240310-00070302-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-10T18:18:00+09:00,2024-03-10T18:18:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,420,\nMBC南日本放送\n鹿児島県内の高校生がＳＤＧｓに関する取り組みなどを発表するイベントが鹿児島市で開かれました。\n\n「ＳＤＧｓ Ｑｕｅｓｔみらい甲子園」は、高校生がＳＤＧｓの考えを理解し、地域課題を解決するアイデアなどを発表するイベントです。\n\n２回目の開催となる今年は、県内の高校６４チーム２３０人から応募があり、書類審査を通過した１２チームが１０日の最終プレゼンに臨みました。\n\nこの結果、最優秀賞を「焼酎かす」に着目した曽於高校のチームが受賞しました。焼酎会社と連携し、廃棄される焼酎かすを再利用してレジ袋を作る実験が評価されました。\n\n（曽於高校１年 新田拓海さん）「副産物として出た焼酎かすを廃棄するのではなく再利用することで、もっといも焼酎の名が広がればいい」\n\n曽於高校は、全国から１０チームが出場する全国大会出場をかけて、６月に全国オンライン交流会に参加する予定です。\nMBC南日本放送 | 鹿児島,[],[]
米軍のヘリが鹿児島県与論空港に着陸　民間航空機の運航に影響なし（MBC南日本放送）,https://news.yahoo.co.jp/articles/b042fe535791eca663398106abda8310a185d50c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-03-10T20:05:00+09:00,2024-03-10T20:06:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,509,\n鹿児島県の与論空港に１０日、アメリカ軍のヘリコプター２機が着陸しました。このうち１機は、駐機したままということです。\n\n鹿児島県や防衛省九州防衛局によりますと、１０日午後３時前、鹿児島空港事務所から与論空港管理事務所に、アメリカ軍のヘリコプター１機が着陸すると連絡がありました。\n\nさらに、午後６時前にも別のアメリカ軍のヘリコプター１機が与論空港に着陸しました。\n\n２機のうち、最初に着陸した１機は、事前の使用届の提出はなかったということです。\n\n関係者によりますと、最初に着陸したヘリコプターは、アメリカ軍海兵隊所属の「ＵＨ－１Ｙ」で、すぐ隣の鹿児島県沖永良部島で行われていた日米共同訓練「アイアン・フィスト」に参加していましたが、沖永良部島付近の海上を飛行中に、何らかの機体の異常を示す警告灯が表示されたため、緊急着陸したということです。\n\n２機の着陸に伴うけが人はなく、民間航空機の運航にも影響はありませんでした。\n\n２機のうち、あとから着陸した１機は、５分程度、駐機したあと、午後６時に離陸しましたが、最初の１機は、現在も駐機したままということです。\nMBC南日本放送 | 鹿児島,[],[]
