headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body
俳優・町田啓太の旅は「世界を広げる時間」。軽井沢の森と語らう優雅な時間。【前編】（AERA STYLE MAGAZINE）,https://news.yahoo.co.jp/articles/84e38790b20f971440f652a2acfafc0c1b9525b3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231129-00010000-asmasahi-000-1-view.jpg?exp=10800,2023-11-29T18:04:35+09:00,2023-11-29T18:04:35+09:00,AERA STYLE MAGAZINE,asmasahi,AERA STYLE MAGAZINE,1954,"\nジャケット￥590,700、シャツ￥79,200、タイ￥40,700、チーフ￥30,250／すべてブルネロ クチネリ（ブルネロ クチネリ ジャパン 03-5276-8300）\n多忙を極めるわれらが町田啓太と、つかの間のリトリートを求め旅へ。向かった先は、星のや軽井沢。日本であり、異国のような空間が、町田の五感に何かを語りかける。\n【画像】もっと画像を見る（7枚）\nそして、いまや30代に突入した町田には、これまでとはまた一段違うステージが求められ始めている。しばしば主役級の役を任されるようになってきたのだ。\n\n「一瞬、怖いなと思っちゃうときもありました。僕はもともと先陣を切ってみんなを引き連れてやるタイプではないので、自分がメインじゃないほうが現場がうまくいくんじゃないかと思ってしまったり。本当は芝居だけに集中すればいいんですけど、みんなは大丈夫かなとかつい気にしてしまって、自分で自分の首を絞めていくようなところもあったんです。でも、そんな自分の性質も踏まえたうえで、もう少し周りを頼って、楽しくやっていくことも最近はだんだんできるようになってきた」\n隙間なく入ってくる仕事、真摯に向き合う先には――\n年明けからは、大河ドラマ『光る君へ』（脚本・大石静）がスタートする。町田にとっては、『西郷どん』『青天を衝け』についで3作目の大河だ。\n\n今回演じるのは平安時代中期に生きた藤原公任という公卿。歌人として秀で、百人一首にも登場する人物だ。主人公紫式部との接点も多い。\n\n「いろんな資料を読んだり人物像を調べていくとめちゃめちゃ面白い人だということがわかってきた。わりと言いたいことを言う人で、そこは僕とも結構共通していたりして。75歳まで生きた長命の人だったので、おそらく10代から老いていくまでを演じることになるのだと思う。30代の自分がどう年を重ね、老いを表現していけるのか、それもすごく楽しみです」\n\n町田の仕事は、なおも広がり続ける。たとえば、『漫画家イエナガの複雑社会を超定義』では教養番組の進行役という新たな分野にチャレンジしている。「半導体」「ゲノム編集」といった毎回異なるテーマを、膨大なセリフ量で町田が解説していく15分番組なのだが、これもまた血肉となっている。\n\n「毎回スタッフさんたちが時間をかけて準備して、ものすごい量の情報から面白いところをピックアップして詰め込んだ番組です。ただ読んでいるだけにならないように僕自身もできるだけ調べてやるようにしている。毎回違うテーマを学ばせてもらってますが、本当に学びは楽しいなって思う。どこか倍速で喋（しゃべ）っているようなところもあって、毎回ハアハア言いながら収録しているんですけどね」\n\n隙間なく入ってくる多様な仕事に、町田はこうしてひとつひとつ丁寧に向き合い続ける。その密度は増していく一方だ。\n\nだからこそ、今回のような旅の仕事は、撮影がともなうとはいえ、町田にとってはご褒美のようなものでもあるのだろう。\n\n「今回の軽井沢もそうですが、旅は、いろんな見方や世界観をファーっと広げてくれる。日常生活の中で、ちょっと視野が狭くなっていたりするのを俯瞰（ふかん）させてくれるんですね。僕にとっては、本当に貴重な時間なんです」\n\nインタビューを終えてベランダに出た町田啓太は、軽井沢の秋を確認するかのように森に向かって両手を広げ、大きく深呼吸した。33歳の俳優の背中は、「さあ、明日への英気は十分に養われたぞ」と語っているようだった。\n\n\n町田啓太（まちだ・けいた）\n1990年生まれ。俳優、劇団EXILEメンバー。映画『チェリまほ THE MOVIE ～30歳まで童貞だと魔法使いになれるらしい～』『太陽とボレロ』『ミステリと言う勿れ』、テレビドラマ『テッパチ！』（フジテレビ系）、『ダメな男じゃダメですか？』（テレビ東京）、『unknown』(テレビ朝日系）、『漫画家イエナガの複雑社会を超定義』（NHK）、『フィクサー』（WOWOW連続ドラマW）など話題作に多数出演。11/24（金）には『ファミリーヒストリー』（NHK）、来年には大河ドラマ『光る君へ』の出演が控える。\n\n\n「アエラスタイルマガジンVOL.55 AUTUMN/WINTER 2023」より転載\n\n\n取材協力／星のや軽井沢\nPhotograph: Sunao Ohmori(TABLE ROCK.INC)\nStyling: Eiji Ishikawa(TABLE ROCK.STUDIO)\nHair & Make-up: KOHEY\nText: Haruo Isshi\n朝日新聞社"
岸谷五朗が綴る、会津磐梯山を目指す浄化の旅の物語。【前編】（AERA STYLE MAGAZINE）,https://news.yahoo.co.jp/articles/e763cb74d04b55dc072907f04a1a8db4e8bc93d1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231129-00010001-asmasahi-000-1-view.jpg?exp=10800,2023-11-29T20:31:37+09:00,2023-11-29T20:31:37+09:00,AERA STYLE MAGAZINE,asmasahi,AERA STYLE MAGAZINE,1417,\nPhotograph: Yuji Kawata(Riverta Inc)\n俳優・岸谷五朗が綴る小説に、そこからインスパイアされたビジュアルを添えるシリーズ企画の特別編。疲れた男をやさしく浄化する、ニッポンの美がここに。\n【画像】もっと画像を見る（10枚）\n「一粒の米の如く。」 作・岸谷五朗\nどうしても、行きたかった。\n\n人生一度きり、なんとしても世界の経済の中心で自分を試し働きたかった。メーカーの下請けでの総合職ではあったが、日系グローバル企業へ就職。海外駐在員として英語もままならないなか、アメリカに飛び込んだ。夢のニューヨークシティーは刺激物であり独創的、瞬きする間に三十年が過ぎようとしていた。巨大な生き物のような街は呼吸の仕方も早く荒い。同時多発テロのような悲惨な出来事の対応もそうであったが、決断と実行の速さは目まぐるしく街を変色していく。\n\n酒好きの私が通っていた、タバコの煙で店の奥が見えないようなBARでさえ禁煙になり、わずか一年足らずでマンハッタン中の店から煙が消えた。妻と出逢った、あの懐かしい不健康な愛すべきBARはもうない。コロナの影響と物価高で、ニューヨーカーは食に飢えている。昼食12～13ドルで買えたデリは30ドルを超えホームレスが急増した。それでも敏感に\n対応し続ける街、自分を変えていかなければ生きられない街、休息がタブーの街……。アメリカでのウイスキーやNAPAのワインにさえ疲れていた。多民族国家の中で、揉（も）まれ倒され、それでも走り続けてきた自分が窒息しかかっていた。\n\n心が呟く……、日本に祖国に癒やされたいと。茶色のアルコールではなく透明色の世界に浸りたいと……。日本の自然を今こそ「呼吸」しよう。気付けばJFKエアポートにいた。ジャケットに突っ込んだ二通の重責、封書と共に。いざ日本へ！\n\n選んだ癒やしの地、出迎えてくれたのは会津磐梯山。心が山脈に持っていかれ、吸い込まれる。まさに三十年の心身の疲れをオーバーホールしてくれる源泉に出逢った。アメリカでは決して味わえない温泉という文化に抱かれ、肉体が日本に包まれた。蕩（とろ）けるような滑らかな湯の中で瞳を閉じれば、アメリカでの息をもつけなかった日々が1ページずつ源泉に溶かされていく。異国の地で塗（まみ）れていたからこそ実感できる日本国の美。\n\n後編につづく＞＞\n\n\n岸谷五朗（きしたに・ごろう）\n東京都出身。1983年、大学在学中に劇団スーパー・エキセントリック・シアターに入団、舞台を中心に活動をスタート。94年に寺脇康文とともに演劇ユニット「地球ゴージャス」を結成、すべての作品で演出を手がけるほか、ほとんどの作品で脚本も執筆、累計120万人の観客動員を超え、テレビ・映画でも多彩な活躍を見せる。2024年には待望の新作『儚き光のラプソディ』の公演が控える。\n\n\n「アエラスタイルマガジンVOL.55 AUTUMN/WINTER 2023」より転載\n\n\n取材協力／磐梯山温泉ホテル\nPhotograph: Yuji Kawata(Riverta Inc)\nStyling: Eiji Ishikawa & Hidetoshi Nakato(TABLE ROCK.STUDIO)\nHair & Make-up: Akihiro Ohno(ENISHI)\n朝日新聞社
