headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
鹿児島市立美術館で南日本ジュニア美術展開催中――審査員が入賞作を解説「いろいろな色を使っている」（南日本新聞）,https://news.yahoo.co.jp/articles/51a060546b0722c2ee05d06c25b80668a3ffaf5a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260920-00000003-minami-000-1-view.jpg?exp=10800,2026-09-20T19:05:21+09:00,2026-09-20T19:05:21+09:00,南日本新聞,minami,南日本新聞,406,美坂康太郎さん（中央）の解説を熱心に聞く参加者＝２０日、鹿児島市立美術館 第１９回南日本ジュニア美術展（南日本新聞社主催、昴特別協賛、フォーエバー協賛）が開催中の鹿児島市立美術館で２０日、作品解説会があった。審査委員で南日本美術展海老原賞受賞者の美坂康太郎さんが、園児から高校生までの入賞・入選作の技法や作者の意図について解説した。 美坂さんは「学年が上がるにつれ、対象物をしっかり見て表現している」「いろいろな色を使っているものを選んだ」と作品の見どころや選考のポイントを説明した。約５０人の参加者は解説に耳を傾け、熱心にメモを取る姿が見られた。 鹿屋工業高校２年の松下怜央さんは、水の流れを絵の具の厚塗りで表現した油彩画が入選。「解説に出てきた技法が参考になった。冬の高校美術展に生かしたい」と話した。 同展は２７日まで（２４日休館）。入場料は一般・大学生１０００円、高校生以下無料。 南日本新聞 | 鹿児島,[],[]
【速報】【愛知・名古屋アジア大会】西小野（鹿児島情報高出身）４位　競泳男子100メートル背泳ぎ（南日本新聞）,https://news.yahoo.co.jp/articles/2b30869435ac01854e0f2a63beb1bb0cfa4a4258,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260920-00000002-minami-000-1-view.jpg?exp=10800,2026-09-20T18:45:23+09:00,2026-09-20T18:45:23+09:00,南日本新聞,minami,南日本新聞,85,西小野皓大 愛知・名古屋アジア大会第２日の２０日、競泳男子１００メートル背泳ぎの西小野皓大（２３）＝新東工業愛知、鹿児島情報高出身＝は４位だった。 南日本新聞 | 鹿児島,[],[]
「隣の家が燃えている」　伊佐市で住家火災、男女２人がけが　隣人が通報（南日本新聞）,https://news.yahoo.co.jp/articles/7e25cababd36ff7ab8645b2eacc2ae599a10dd2b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260920-00000001-minami-000-2-view.jpg?exp=10800,2026-09-20T09:25:21+09:00,2026-09-20T22:43:47+09:00,南日本新聞,minami,南日本新聞,164,（写真：南日本新聞社） １９日午後９時５５分ごろ、伊佐市菱刈市山の住家から出火、木造平屋の一部を焼いた。伊佐湧水署によると、住家には成人男女が住んでいたとみられ、２人はけがをして病院に搬送された。助けを求められた近く住民が「隣の家が燃えている」と１１０番した。出火原因は調査中。午後１１時ごろに鎮火した。 南日本新聞 | 鹿児島,[],[]
