headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
鹿児島県伊仙町の突風「竜巻の可能性高い」――最大瞬間風速推定50メートル（南日本新聞）,https://news.yahoo.co.jp/articles/d5dbac7799f70c6fe6cea5a7163de120b764f549,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260409-00000018-minami-000-1-view.jpg?exp=10800,2026-04-09T21:25:24+09:00,2026-04-09T21:25:24+09:00,南日本新聞,minami,南日本新聞,391,風で倒れたと見られる街路樹＝７日（伊仙町提供） 伊仙町で７日早朝に発生した突風について、現地調査した鹿児島地方気象台と名瀬測候所は９日、「竜巻の可能性が高い」と発表した。最大瞬間風速は約５０メートル（推定）で、風の強さを示す改良藤田スケールでは６段階で下から２番目のＪＥＦ１に当たる。 測候所によると、当時は竜巻を発生させる活発な積乱雲が通過中だった。被害区域が局地的で、風が渦巻き状に吹いたと見られる痕跡などから竜巻と推定。有力な目撃情報がなかったため断定には至らなかった。 町によると、被害は同町伊仙の「ほーらい館」近くに集中。住家２７棟、倉庫・牛舎２１棟が一部損壊し、１５カ所で倒木があった。けが人はいなかった。 気象台によると、九州南部・奄美地方では９日から１０日夜遅くにかけて局地的に積乱雲が発達する恐れがあり、竜巻や落雷への注意を呼びかけている。 南日本新聞 | 鹿児島,[],[]
真っ赤だな～♪（春なのに…）　山肌彩る1000株、キリシマツツジが見頃　育てたのは86歳と87歳の夫婦　薩摩川内市の「永利尾原ツツジ園」（南日本新聞）,https://news.yahoo.co.jp/articles/b8618c92b2dbacf8b9e53759e94ebffaf01282ee,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260409-00000017-minami-000-1-view.jpg?exp=10800,2026-04-09T20:30:21+09:00,2026-04-09T20:30:21+09:00,南日本新聞,minami,南日本新聞,463,山肌を赤く染めるキリシマツツジ＝７日、薩摩川内市の永利尾原ツツジ園 鹿児島県薩摩川内市永利町の「永利尾原（おばる）ツツジ園」で、今年もキリシマツツジ約1000株が山肌を赤く彩っている。１０日が見頃で、１３日あたりまで楽しめそう。開花を心待ちにしていた人が次々訪れ、にぎわっている。 【写真】〈別カット〉山肌を赤く染めるキリシマツツジ＝７日、薩摩川内市の永利尾原ツツジ園 井上仁さん（８６）、律子さん（８７）夫妻が２０００年ごろ、「人口減少や高齢化が進む尾原に人を呼び込む場をつくろう」と自宅の裏山を切り開き、ツツジを植え始めたのが始まり。１６年からは、地元の永利地区コミュニティ協議会も植樹や草払いに協力する。 仁さんによると、今年は寒暖差が大きかったため、例年より咲き始めが１週間ほど遅かったという。暖かくなってから雨が降ると、開花が進む。「妻や地域のみなさん、見に来てくれる人のおかげで続けてこられた。一人でも多くの人に楽しんでほしい」と話す。 入り口にあるのぼりが目印。約３０台分の駐車場がある。 南日本新聞 | 鹿児島,[],[]
桜島学校が開校―鹿児島市初の義務教育校　上白石萌音さんがビデオメッセージ　　桜島大根、椿油作り、防災教育…旧８小中の伝統継承へ（南日本新聞）,https://news.yahoo.co.jp/articles/1f1a56e77a908264dbe909cd29d8f8005225b39d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260409-00000016-minami-000-2-view.jpg?exp=10800,2026-04-09T20:05:26+09:00,2026-04-09T20:19:12+09:00,南日本新聞,minami,南日本新聞,1042,決意の言葉を述べる桜島学校の児童生徒＝９日、鹿児島市の桜島藤野町 鹿児島市で初めてとなる義務教育学校「桜島学校」の開校式が９日、同市桜島藤野町の旧桜島中学校であった。児童生徒や住民ら約３５０人が出席し、新たな門出を祝った。桜島地域の８小中学校を統合した小中一貫校で、新１年生と７年生（中学１年相当）計３４人を含めた児童生徒数は１６３人となった。 【写真】上白石萌音さんと吉俣良さんからのビデオメッセージを見る生徒ら＝９日、鹿児島市桜島藤野町 式で児童代表ら８人は「失敗を恐れず桜島のようなたくましい人になれるよう桜島学校で学び続けていく」と決意を述べた。 桜島横山町の新校舎建設が遅れたため旧桜島中の既存校舎で開校した。県内の義務教育学校は本年度、桜島を含め４校が開校し計２１校となる。 ◇ 桜島学校は、総合的な学習の時間を活用し、桜島大根の育成や椿（つばき）油作りなど旧８校の行事や伝統を継承する。式には住民らが多数訪れ新校に期待を寄せた。 学校のコンセプトは「桜島をまるごと学び舎（や）に」。総合的な学習の時間を「さくまるタイム」（仮称）とし、大学と連携した防災教育を含め８校のこれまでの取り組みなどを継続する。建設中の新校舎を題材にした学習も予定している。 式では鹿児島市の原之園哲哉教育長が開校を宣言。下鶴隆央市長は「鹿児島を代表する学びの拠点として発展することを祈念する」とあいさつした。 校歌披露前には、作詞を担当した俳優で歌手の上白石萌音さんと、作曲を手がけた作曲・編曲家の吉俣良さんからビデオメッセージが届けられた。「みんなの歌声を聞くのを楽しみにしている」と吉俣さん。上白石さんは「覚えやすいように作った。頑張って早く覚えてほしい」と伝えた。 ７年生山田沙和さんは「メッセージはうれしい。運動会などの行事で協力することを大事にしたい」。閉校した桜洲小出身の萩原貞信さん（６８）は「名実ともに桜島が一つになったと思う。学校を通して島内地域のつながりも深まるはず」と期待した。 桜島学校を巡っては、２０２１年１２月、少子化を背景に地元の意見集約をしてきた桜島地域コミュニティ協議会連絡会が開設を求める要望書を市教委に提出。２２年３月に設置が決まった。桜島横山町の桜島溶岩グラウンド第１に新校舎を建設予定だったが、入札不調が２回続き、完成は２７年２月に延期された。 開校式前には、１年生１５人と７年生（中学１年相当）１９人の初めての入学式があった。 南日本新聞 | 鹿児島,[],[]
1億円投じた「癒やし空間」…長島町が解体された風車を展望台に再生　東シナ海望む「映えスポット」に観光客続々（南日本新聞）,https://news.yahoo.co.jp/articles/a018736ee1a1cd4743d043f7b9bdccd79f1ffaca,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260409-00000015-minami-000-2-view.jpg?exp=10800,2026-04-09T20:00:22+09:00,2026-04-09T20:18:28+09:00,南日本新聞,minami,南日本新聞,591,展望台として再生された風車のモニュメント＝長島町指江のサンセットの丘 鹿児島県長島町指江の「サンセットの丘」に今春、新たな写真スポットが続々と誕生した。解体された発電用風車を展望台に再生し、記念撮影ができる広場も新設。さっそく観光客らが自撮りを楽しんでいる。 【写真】トンネルから見える景色。点検用のはしご（上）が風車の名残を示す＝長島町指江のサンセットの丘 サンセットの丘は東シナ海を見下ろす公園。ホテル誘致など一帯の観光施設充実を図る町が、２０２５年度に約１億円を投じて「癒やし空間」として整備した。 園内の最上部に登場したのは展望台を兼ねた風車のモニュメント。２４年までこの場所にあった風車のタワー部分（最大直径２．８メートル）を長さ１０メートルのトンネルに仕立て、空に向けた３枚の翼（長さ１８メートル）で「夢・未来・活力」を表現した。 近未来的な銀色の塗装から「ロケットかな」「タイムスリップのトンネルみたい」との声も。７日は多くの観光客がトンネルから海や桜、園内で開催中の花フェスタの景色を眺めた。 丘の下に設けた「サンセットパーク ＩＹＡＳＨＩ」は、周囲に町内産の石で表した夕日、大きな「ＮＡＧＡＳＨＩＭＡ」の文字などのオブジェや展望台を配置した。 町水産景観課は「複合遊具の設置も検討中。幅広い年代でくつろぎや癒やしを感じてほしい」としている。 南日本新聞 | 鹿児島,[],[]
奄美大島と請島・与路島を結ぶ定期船、車両が運べなくなった――新船に「車両積載禁止」の条件　1カ月に10台利用、再開めど立たず　　（南日本新聞）,https://news.yahoo.co.jp/articles/e9268524c644595c941057d0033b072ea99984c5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260409-00000014-minami-000-2-view.jpg?exp=10800,2026-04-09T19:05:25+09:00,2026-04-09T19:54:40+09:00,南日本新聞,minami,南日本新聞,599,車両運搬ができなくなっている瀬戸内町の町営定期船「せとなみ」＝９日、同町古仁屋 鹿児島県瀬戸内町古仁屋と請島、与路島を結ぶ町営定期船「せとなみ」の新船が、国から車両積載の許可を得られず、車を運搬できなくなっていることが９日までに分かった。町は鹿児島運輸支局や専門家と協議を重ねているが、運搬再開のめどは立っていない。 【写真】車両運搬ができなくなっている瀬戸内町の町営定期船「せとなみ」＝９日、同町古仁屋 せとなみは古仁屋と両島を結ぶ唯一の定期船。老朽化に伴い総事業費９億４２０２万円で新船を造り、１日に就航した。全長３３．１２メートル、幅６．２メートル、重量８８トン。定員５０人で、３．５トン以下の車両１台を載せられる。１日１〜１．５往復し、利用客は１日平均２０人、１カ月で約１０台の車を運ぶ。 船舶安全法は、原則２０トン以上の船舶に国土交通省の「船舶検査証書」の交付を義務付ける。せとなみは国交省の検査を経て２月中旬に交付されたが、航行上の条件に「燃料を保有する自走式車両の積載禁止」が付けられた。 町商工交通課によると、３月中旬に運輸支局の指摘で気付いた。担当者は具体的な原因は不明としつつ、「船の構造ではなく、書類の不備によるものと解釈している。運輸支局の指示に従いできる限り早い運搬再開に努める」と話した。町は再開できるまで、民間への車両運搬の委託を検討している。 南日本新聞 | 鹿児島,[],[]
【速報】都城の養豚場で豚熱疑い（南日本新聞）,https://news.yahoo.co.jp/articles/6d1af25aa185b680045117f98ab971dc2e4bc9ef,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260409-00000013-minami-000-1-view.jpg?exp=10800,2026-04-09T13:15:22+09:00,2026-04-09T13:15:22+09:00,南日本新聞,minami,南日本新聞,111,（写真：南日本新聞社） 宮崎県は９日、都城市内の養豚場で、豚熱（ＣＳＦ）疑いとみられる豚が見つかったと発表した。県内では、昨年４月以降、都城市など県西部を中心に９５例の豚熱イノシシが確認されている。 南日本新聞 | 鹿児島,[],[]
94歳女性、自宅近くの用水路で死亡　肝付町（南日本新聞）,https://news.yahoo.co.jp/articles/7cd78c96578318517cdf6eae5ad5abf3a8653863,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260409-00000012-minami-000-1-view.jpg?exp=10800,2026-04-09T12:25:23+09:00,2026-04-09T12:25:23+09:00,南日本新聞,minami,南日本新聞,210,（写真：南日本新聞社） ８日午後１１時１５分ごろ、鹿児島県肝付町波見の用水路で、近くの無職女性（９４）がうつぶせの状態で倒れているのが見つかり、その場で死亡が確認された。 肝付署によると、用水路は女性宅から直線で約１５０メートル。高さ約９０センチ、幅６５センチで、水位は約４０センチだった。柵はない。女性は息子夫婦と３人暮らし。この日の午後１０時ごろ、家にいないことに気づいた家族が１１０番した。 南日本新聞 | 鹿児島,[],[]
並走中のミニバイク2台が接触　17歳男子高校生が死亡　3台以上で走行か　枕崎市（南日本新聞）,https://news.yahoo.co.jp/articles/a7d78434c513aab2411fcc850802b944ee0309fa,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260409-00000011-minami-000-1-view.jpg?exp=10800,2026-04-09T12:15:25+09:00,2026-04-09T12:15:25+09:00,南日本新聞,minami,南日本新聞,252,（写真：南日本新聞社） ８日午後１１時ごろ、鹿児島県枕崎市岩戸町の国道２２６号で、同市の男子高校生（１７）のミニバイクと、知人の男子高校生（１７）のミニバイクが並走中に接触した。高校生１人が搬送先の病院で間もなく死亡した。死因は大量血胸。 枕崎署によると、現場は片側１車線で緩やかなカーブ。当時は少なくとも３人以上がミニバイクで一緒に走行し、２人は前方を走っていた。亡くなった高校生は接触後、バイクごと滑って近くの看板と木にぶつかったとみられる。もう一人の高校生は命に別条はない。 南日本新聞 | 鹿児島,[],[]
交差点進入時にバイク同士衝突　56歳男性が意識不明の重体　鹿児島市（南日本新聞）,https://news.yahoo.co.jp/articles/df49946002a113b1fa2086c75ef66944735be728,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260409-00000010-minami-000-1-view.jpg?exp=10800,2026-04-09T11:45:28+09:00,2026-04-09T11:45:28+09:00,南日本新聞,minami,南日本新聞,200,（写真：南日本新聞社） ８日午後９時半ごろ、鹿児島市郡元２丁目の市道交差点で、同市小松原１丁目、配達員男性（５６）のスクーターと同市谷山中央５丁目、会社員男性（２３）のオートバイが衝突した。２人は病院に搬送され、配達員男性は意識不明の重体。会社員男性は軽傷。 鹿児島中央署によると、現場は信号機のある交差点で、双方が交差点に進入した際に衝突した。信号の状況や原因を調べている。 南日本新聞 | 鹿児島,[],[]
実はかなりの高級魚なアマダイ。釣れたら思わずガッツポーズ…が、いきなり1.2キロの良型ゲット！（南日本新聞）,https://news.yahoo.co.jp/articles/5a1711fa12c22ed9a7a99749a539c8bac09765fd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260409-00000009-minami-000-2-view.jpg?exp=10800,2026-04-09T11:30:26+09:00,2026-04-09T13:28:05+09:00,南日本新聞,minami,南日本新聞,903,久々のアマダイ釣り。良型で自己記録を更新しテンション最高潮＝３月１７日、指宿沖 〈あゆＬＯＶＥフィッシング―上園あゆみ〉 【写真】アマダイ７尾を含む大漁＝３月１７日、指宿沖 アマダイという魚、知っていますか。とぼけたような愛らしい目に、まあるいおでこ。ほんのりピンク色の見た目が、どこか上品でかわいらしい魚です。でも見た目とは裏腹に、実はかなりの高級魚。釣れたら思わずガッツポーズが出るターゲットなんです。ウロコをつけたまま揚げる松笠（まつかさ）揚げはサクサクで絶品。大好物のひとつです。 ちなみにマダイの仲間ではなく、全く別の魚。アカアマダイ、キアマダイ、シロアマダイの３種類いて、鹿児島では一年中狙えます。私も鹿児島湾で全種類釣ったことがあります。 そんなアマダイですが、とても変わった暮らしをしています。海底の砂や泥に自分で穴を掘ってすみかにし、危険を感じると一瞬で穴に引っ込むのです。 この習性を理解することが釣るためのポイント。生息している水深は大体６０～１２０メートル。天秤（てんびん）仕掛けでおもりを底につけて、エサをふわっと浮かせるイメージで誘います。 エサはイカの短冊やオキアミ、魚の切り身などが定番。竿をゆっくり上げることで、エサが海底付近をふわふわ漂い、食いつきます。シンプルに見えて、この誘いがとても重要です。 日によって釣果にムラがあるので少し敬遠していたんですが、どうしても松笠揚げが食べたくて、３月中旬に友人たちと指宿沖へ行ってきました。水深は約８０メートル。久々なのでやり方を思い出しながら丁寧に誘っていると、なんと１投目からヒット！ 合わせを入れると、上がってきたのは１．２キロの良型アマダイ。いきなり自己記録更新で、テンションは最高潮でした。 その後もアタリが続き、最終的にはアマダイ７匹と大満足の釣果。松笠揚げはもちろん、刺し身や昆布締め、天ぷらまで堪能しました。少し寝かせると甘みがぐっと増して、プリプリでねっとり、エビみたいな濃厚な味わいになります。 釣って楽しく、食べておいしいアマダイ。繊細な釣りだからこそ得られる１匹の価値は格別です。 南日本新聞 | 鹿児島,[],[]
おばあちゃんに晴れ姿を見せたい――結婚式に出られない高齢の祖母のため、孫娘が故郷・頴娃でサプライズ前撮り（南日本新聞）,https://news.yahoo.co.jp/articles/4cd38ca499c3d4ede6ffe3cc1ce2bfa66686f852,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260409-00000008-minami-000-1-view.jpg?exp=10800,2026-04-09T11:30:22+09:00,2026-04-09T11:30:22+09:00,南日本新聞,minami,南日本新聞,715,思い出の地で写真撮影する新婦の中原美久さん（右）と祖母の神村ヤス子さん＝南九州市頴娃の番所鼻自然公園 おばあちゃんにウエディングドレス姿を見せたい－。夏に挙式を控えた鹿児島県出水市の女性が２日、故郷の南九州市頴娃を訪れ、施設に入所する祖母と一緒に思い出の公園で前撮りに臨んだ。高齢のため結婚式に出席できない祖母を喜ばせようと、サプライズで企画。施設側も準備や送迎で協力して実現した。 【写真】〈みんなで記念撮影〉ドレス姿の孫や家族と記念撮影を楽しむ神村ヤス子さん（中央）＝南九州市頴娃の番所鼻自然公園 頴娃出身の中原美久さん（２９）は、新郎の一矢さん（３５）と今年７月に鹿児島市で結婚式を挙げる。だが故郷の施設で暮らす祖母の神村ヤス子さん（８５）は車いす生活で長距離の移動が難しく、欠席せざるを得ない状況だった。 「何としても晴れ姿を見せてあげたい」と考えた美久さん。ヤス子さんが入所する特別養護老人ホーム涼松にドレス姿での訪問を打診したところ、職員からは「せっかくなら景色のいい場所で」と送迎などで協力の申し出があったという。 撮影場所に決まった番所鼻自然公園は施設から近く、美久さんにとっては幼い頃から祖母と一緒に遊びに訪れていた思い出の地でもある。当日、何も知らずに来園したヤス子さんは、ドレス姿で待ち構える美久さんを見て「たまがった。きれいになって…」と手を合わせてうれし涙を浮かべた。 開聞岳や東シナ海を望む絶景をバックに家族３世代で記念撮影を楽しんだヤス子さんは「幸せになってね」と孫に投げキッス。美久さんは「喜んでもらえて本当に良かった。施設側の提案や配慮に感謝したい」と感激した様子だった。 南日本新聞 | 鹿児島,[],[]
