headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
台風13号、奄美へ7、8日に接近か…小笠原近海にあり、時速２５キロの速さで西北西へ　鹿児島地方気象台　（南日本新聞）,https://news.yahoo.co.jp/articles/d02ecdc8b6e5bd514f54aa2acd11593342c7a1c4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260803-00000009-minami-000-1-view.jpg?exp=10800,2026-08-03T22:15:24+09:00,2026-08-03T22:15:24+09:00,南日本新聞,minami,南日本新聞,305,（写真：南日本新聞社） 大型で非常に強い台風１３号は３日、小笠原近海を西寄りに進んだ。鹿児島地方気象台によると、７日から８日にかけて奄美地方に接近する見込み。強い勢力で南西諸島に進むとして、気象台は、奄美地方で６日から暴風とうねりを伴った高波に警戒を、７日から土砂災害や低い土地の浸水、河川の増水、高潮に注意を呼びかけている。 九州南部では６日から７日ごろにかけて、うねりを伴う高波に警戒を求めた。 台風１３号は３日午後９時現在、小笠原近海にあり、時速２５キロの速さで西北西に進んでいる。中心の気圧は９４５ヘクトパスカル、中心付近の最大風速は４５メートルで、最大瞬間風速は６０メートル。 南日本新聞 | 鹿児島,[],[]
木造2階建て住家１棟全焼――鹿児島市吉野町…4人暮らし、在宅の２人は自力で逃げけがなし（南日本新聞）,https://news.yahoo.co.jp/articles/ed2cca9ea2eced609a8a931165d840c0e49eb9eb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260803-00000008-minami-000-1-view.jpg?exp=10800,2026-08-03T21:35:27+09:00,2026-08-03T21:35:27+09:00,南日本新聞,minami,南日本新聞,187,白煙が立ち上る火災現場＝３日午後６時２５分ごろ、鹿児島市吉野町 ３日午後４時１５分ごろ、鹿児島市吉野町、会社員男性（６１）方から出火、木造２階建て住家１棟約２００平方メートルを全焼した。 鹿児島中央署によると、男性は４人暮らし。出火時は男性の妻と姉が在宅だったが、自力で逃げ出し、けがはなかった。通行人が「家屋の２階から火が出ている」と１１９番した。 南日本新聞 | 鹿児島,[],[]
財布から現金2万円抜き取られる――パチンコ来店客を窃盗容疑で逮捕（南日本新聞）,https://news.yahoo.co.jp/articles/07166fbe51e97f17630f5f94781838a2f8f7d605,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260803-00000007-minami-000-1-view.jpg?exp=10800,2026-08-03T15:40:22+09:00,2026-08-03T15:40:22+09:00,南日本新聞,minami,南日本新聞,235,（写真：南日本新聞社） 鹿児島県警霧島署は３日、窃盗の疑いで鹿屋市輝北町諏訪原、無職の男（６８）を逮捕した。 逮捕容疑は７月２８日午後７時５分ごろ、霧島市のパチンコ店で、同市の５０代男性の現金約２万円が入った財布など２点（時価計７５００円相当）を盗んだ疑い。 署によると、財布は落とし物として店が保管していたが現金が抜き取られており、男性が署に通報した。防犯カメラなどから特定した。 男は「店には行ったが財布は盗んでいない」と容疑を否認している。 南日本新聞 | 鹿児島,[],[]
無施錠の女性宅から写真シール盗んだ疑い――容疑の男、逮捕3回目（南日本新聞）,https://news.yahoo.co.jp/articles/bc1a485943a1d16376519498b87c474969d070a6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260803-00000006-minami-000-1-view.jpg?exp=10800,2026-08-03T14:45:23+09:00,2026-08-03T14:45:23+09:00,南日本新聞,minami,南日本新聞,221,（写真：南日本新聞社） 薩摩川内署は３日、住居侵入と窃盗の疑いで、薩摩川内市五代町、無職の男（３３）を逮捕した。逮捕は３回目。 逮捕容疑は２０２３年１２月２４日午前２時２０分ごろから同４時５分ごろの間に、県内の２０代女性のアパートに侵入し、写真シール１８枚（時価計３６００円相当）を盗んだ疑い。 署によると、女性は不在で、玄関の鍵は施錠されていなかった。男は６月に窃盗、７月には住居侵入と窃盗未遂容疑で逮捕されていた。 南日本新聞 | 鹿児島,[],[]
コインランドリーに衣服着ていない男――公然わいせつ容疑で逮捕（南日本新聞）,https://news.yahoo.co.jp/articles/2f28805aa86f3ae867b3bbf96d28cfc2bdc2922b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260803-00000005-minami-000-1-view.jpg?exp=10800,2026-08-03T13:45:21+09:00,2026-08-03T13:45:21+09:00,南日本新聞,minami,南日本新聞,132,（写真：南日本新聞社） 鹿児島南署は２日、公然わいせつの疑いで、鹿児島市の自称介護福祉士の男（１８）を現行犯逮捕した。 逮捕容疑は同日午後１１時２５分ごろ、同市のコインランドリー店内で、全裸で立っていた疑い。パトロール中の警察官が発見した。 南日本新聞 | 鹿児島,[],[]
「300万円払え。払わないなら殺す」――20代男性、顔や腰殴られ1カ月のけが…恐喝未遂と傷害容疑で、面識ある25歳建設作業員と20歳会社員を逮捕（南日本新聞）,https://news.yahoo.co.jp/articles/4d1831140542fd062e07626110a7c095c882ef9c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260803-00000004-minami-000-1-view.jpg?exp=10800,2026-08-03T13:35:24+09:00,2026-08-03T13:35:24+09:00,南日本新聞,minami,南日本新聞,250,（写真：南日本新聞社） 鹿児島県警志布志署と組織犯罪対策課は３日、恐喝未遂と傷害の疑いで熊本県八代市古閑中町の建設作業員の男（２５）と、志布志市の会社員の男（２０）を７月１４日に逮捕したと発表した。 逮捕容疑は２０２５年２月６日午後１１時５０分ごろ、氏名不詳の２人と共謀し、鹿児島県内で県内の２０代男性に「３００万円払え。払わないなら殺す」などと言い、顔や腰を殴るなどして１カ月のけがを負わせた疑い。 署によると、両容疑者と男性に面識はある。男性の関係者が署に被害届を出した。 南日本新聞 | 鹿児島,[],[]
79歳男性、空き地で倒れ死亡　霧島市牧園（南日本新聞）,https://news.yahoo.co.jp/articles/c67ecec152f9c9f9a7528dc753376c46591bba45,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260803-00000003-minami-000-1-view.jpg?exp=10800,2026-08-03T07:00:21+09:00,2026-08-03T07:00:21+09:00,南日本新聞,minami,南日本新聞,217,（写真：南日本新聞社） ２日午後４時４０分ごろ、鹿児島県霧島市牧園町宿窪田の空き地で、近くの無職男性（７９）がうつぶせの状態で倒れているのを近くに住む男性が見つけ、１１９番した。駆け付けた消防署員がその場で死亡を確認した。 霧島署によると、同日朝に亡くなった男性の住む地域で清掃作業があり、刈った草をこの空き地に集めていた。作業後、男性が１人で燃やしたとみている。目立った外傷はない。事件と事故の両面で調べる。 南日本新聞 | 鹿児島,[],[]
鹿児島県内初の39度超え、史上最高更新 肝付町前田で39．2度…鹿児島市は30日連続熱帯夜（南日本新聞）,https://news.yahoo.co.jp/articles/8fdf68eb48c36bfae22289f5120d8420a940615a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260803-00000002-minami-000-1-view.jpg?exp=10800,2026-08-03T06:30:21+09:00,2026-08-03T06:30:21+09:00,南日本新聞,minami,南日本新聞,576,二階堂家住宅の管理作業に汗を流すシルバー人材センター会員＝２日、肝付町新富 鹿児島県内は２日も高気圧に覆われ気温が上昇した。肝付町前田では午後１時１９分に３９．２度となり、県内で初めて３９度を超え、観測史上最高を０．５度更新した。３８．０度まで上がった鹿児島市東郡元では７月４日から３０日連続で最低気温２５度以上の熱帯夜が続き、同６日からは０．５ミリ以上の降水がない。 【写真】二階堂家住宅の管理作業に汗を流すシルバー人材センター会員＝２日、肝付町新富 鹿児島地方気象台によると、２日は県内３３地点の半数を超える１７地点で３５度以上の猛暑日となった。上空の太平洋高気圧とチベット高気圧が強い勢力で張り出しており、最高気温が平年より高い状態は県本土で６日ごろ、奄美地方は４日ごろまで続く見込み。 肝付町新富の国指定重要文化財「二階堂家住宅」では、町シルバー人材センター会員の相星義秋さん（７４）が清掃や草取りに汗を流した。首回りを冷やす道具やファン付き作業着で暑熱対策は万全という相星さんは、「休憩と水分補給を徹底している。この時季は気を抜けない」と話した。 鹿児島市吉野町の磯海水浴場には強い日差しの中、５００人を超す客が訪れた。家族で来た同市の中郡小５年野口絢楓さんは「涼しい家もいいけど、海は冷たくて気持ちがいい」と話した。 南日本新聞 | 鹿児島,[],[]
同僚の胸や右手を何度も切りつけ殺害しようとした疑い――ベトナム国籍の44歳男を逮捕、一部否認　霧島署（南日本新聞）,https://news.yahoo.co.jp/articles/65a532f579d59c966883fc081b679d075d39dc4a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260803-00000001-minami-000-1-view.jpg?exp=10800,2026-08-03T06:00:22+09:00,2026-08-03T06:00:22+09:00,南日本新聞,minami,南日本新聞,363,（写真：南日本新聞社） 鹿児島県警霧島署は２日、同僚の男性を刃物のようなもので切り付け、殺害しようとしたとして、殺人未遂の疑いで、ベトナム国籍の霧島市牧園町宿窪田、会社員の男（４４）を現行犯逮捕した。「殴ったり蹴ったりしたことは間違いないが、刃物は使っていない」と容疑を一部否認している。 逮捕容疑は同日午後１時２０分ごろ、同市の住居内で、ベトナム国籍で同僚の男性（４８）の胸や右手を刃物のようなもので複数回切りつけ、殺害しようとした疑い。男性は約２週間のけがを負った。命に別条はない。 署によると、現場にいた関係者が消防に通報。駆け付けた署員が取り押さえた。容疑者は当時、飲酒していた。逮捕時に刃物のようなものは持っていなかった。２人の間に何らかのトラブルがあったとみて、凶器を捜し動機などを調べる。 南日本新聞 | 鹿児島,[],[]
