headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
午前6時、鹿児島市中心部の路上…「変な人に絡まれている」京都の男(54)が20代従業員を殴り、頭突き　容疑で逮捕（南日本新聞）,https://news.yahoo.co.jp/articles/aa2f1ed2a1eb41a236be0b5da36ae1c829abbf1b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260914-00000005-minami-000-1-view.jpg?exp=10800,2026-09-14T20:48:22+09:00,2026-09-14T20:48:22+09:00,南日本新聞,minami,南日本新聞,225,（写真：南日本新聞社） 鹿児島中央署は１４日、暴行の疑いで、京都市山科区竹鼻立原町、自称会社経営の男（５４）を現行犯逮捕した。逮捕容疑は同日午前６時５分ごろ、鹿児島市千日町の路上で、同市の２０代男性飲食店従業員の顔を殴ったり頭突きをしたりする暴行を加えた疑い。 署によると、２人に面識はなく、男は酒を飲んでいた。男性は左目の周りにけがを負った。男性の知人が「変な人に絡まれている。殴られたので早く来てください」と署に通報した。 南日本新聞 | 鹿児島,[],[]
客が忘れたカードを悪用…ドラッグストア店員、たばこ1カートンや弁当2個だまし取る…利用履歴で発覚　2度目の逮捕（南日本新聞）,https://news.yahoo.co.jp/articles/6c81c2046ce0e69a9170c63a22b6eca6ec4bb326,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260914-00000004-minami-000-1-view.jpg?exp=10800,2026-09-14T20:35:22+09:00,2026-09-14T20:35:22+09:00,南日本新聞,minami,南日本新聞,260,（写真：南日本新聞社） 鹿児島南署は１４日、業務上横領と詐欺の疑いで鹿児島市坂之上２丁目、ドラッグストア店員の男（２３）を再逮捕した。再逮捕容疑は４月２日、同市の勤務先のドラッグストアで、客の女性が支払時に置き忘れたクレジットカード１枚を横領。同日午後９時５０分ごろ、同市のコンビニでこのカードを使い、弁当２個とたばこ１カートンなど７点（価格計約８０００円相当）をだまし取った疑い。 署によると、カード履歴から被害が発覚。容疑者は８月２５日、同じカードを使った詐欺の疑いで同署に逮捕され、勾留中。 南日本新聞 | 鹿児島,[],[]
午前6時半、屋久島の空き地…殺害された80歳、頭や顔に傷が集中　死因は出血性ショック　殺人容疑の84歳男「弁解はない」（南日本新聞）,https://news.yahoo.co.jp/articles/b8f9ca789fe7d41ba9bc2ef116e31f3ac89b180f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260914-00000003-minami-000-1-view.jpg?exp=10800,2026-09-14T20:15:22+09:00,2026-09-14T20:15:22+09:00,南日本新聞,minami,南日本新聞,435,（写真：南日本新聞社） 屋久島町栗生の空き地で１１日朝、近くの大工男性（８０）が殴られて殺害された事件で、屋久島署は１４日、司法解剖の結果、死因が出血性ショックだったと明らかにした。頭や顔に傷が集中し、防御創のような跡もあった。 署は１３日、殺人の疑いで逮捕した無職の男（８４）＝同町中間＝を鹿児島地検に送検した。容疑者の自宅と現場は２キロほど離れているが、車や自転車を使った形跡はなく、県警は徒歩で向かったとみている。 送検容疑は１１日午前６時２０分〜同３５分ごろまでの間、同町栗生の空き地で、男性の頭などを棒のようなもので複数回殴り殺害した疑い。男は「事件のことはよくわからない。弁解することはない」などと供述している。 県警によると、通行人が「男２人がけんかしているようだ」と駐在所に通報。駆け付けた署員が、あおむけに倒れた男性と、近くに立つ容疑者を見つけた。２人とも顔などに出血があり、病院に搬送された。男性は同日午前１１時ごろ死亡した。 南日本新聞 | 鹿児島,[],[]
「酒が出るかも」…鹿児島市電と衝突、車を放置し逃走――自称代行運転手の男性に罰金5万円（南日本新聞）,https://news.yahoo.co.jp/articles/f2a1ad580a16501525d3f08176c1305221f515be,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260914-00000002-minami-000-1-view.jpg?exp=10800,2026-09-14T20:05:31+09:00,2026-09-14T20:05:31+09:00,南日本新聞,minami,南日本新聞,285,（写真：南日本新聞社） 鹿児島市電の軌道敷内で８月４日、市電と軽乗用車が衝突し運転手が逃走した事故で、鹿児島区検は１４日、道交法違反（事故不申告）の罪で、本籍広島市、住所不定、自称代行運転手の男性（５５）を略式起訴した。鹿児島簡裁は同日付で罰金５万円の略式命令を出した。 男性は８月４日午後２時４０分ごろ、同市鴨池１丁目の市道交差点で、軽乗用車を右折する際に、軌道敷内で市電と衝突。車を放置して逃走し警察に報告しなかったとして、鹿児島中央署に同２６日逮捕された。逮捕時の調べには「朝まで飲酒し、酒が出るかもしれないと思って逃げた」と供述していた。 南日本新聞 | 鹿児島,[],[]
「信号無視に対向車線はみ出し」奄美市で通報、のり面衝突の76歳男性逮捕（南日本新聞）,https://news.yahoo.co.jp/articles/fbf2be8738f39ee40a4af537470fb999264ed5f5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260914-00000001-minami-000-1-view.jpg?exp=10800,2026-09-14T10:55:21+09:00,2026-09-14T10:55:21+09:00,南日本新聞,minami,南日本新聞,237,（写真：南日本新聞社） 奄美署は１３日、道交法違反（酒酔い運転）の疑いで、奄美市の無職男性（７６）を現行犯逮捕した。逮捕容疑は同日午後８時５分ごろ、同市の市道で、呼気１リットル当たり０．５ミリグラム以上の酒気を帯び、軽貨物車を運転した疑い。後続車から「信号を無視し対向車線にはみ出す車がいる」との通報を受けた同署員が、のり面に衝突し停止している男性の車を発見した。ほかにも、同市の国道５８号で追突や接触事故を起こしたとの通報もあり、関連を調べている。 南日本新聞 | 鹿児島,[],[]
