headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
お守り６個　大学入学共通テスト初日これまでにトラブルなし　鹿児島県（MBC南日本放送）,https://news.yahoo.co.jp/articles/652d0d37eb88160ebf497e6b140bf34be8afc7b4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240113-00069377-mbcnewsv-000-4-thumb.jpg?exp=10800,2024-01-13T17:56:00+09:00,2024-01-13T17:59:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,440,\nMBC南日本放送\n大学入学共通テストが１３日から始まりました。\n\n大学入学共通テストは１３日と１４日の２日間、県内１４の会場で行われ、５８８８人が出願しています。\n鹿児島大学郡元キャンパスでは１３日朝、受験生が参考書やノートを見直していました。\n\n新型コロナが去年、５類に移行したため、今年はマスクの着用は義務付けられていませんが、感染症対策を続ける姿も見られました。\n\n（受験生）\n「今までの自分を出せるよう楽しみたい」\n\n「（１日の勉強時間は）最長１５時間」\n\n「（お守りをかぞえる）１、２、３、４、５、６個。感謝を伝えられるよう自分の持っている力を出せるよう頑張りたい」\n\n１３日は地理歴史・公民と国語、外国語の試験が行われ、午後６時１０分に初日の日程を終えました。\n大学入試センターによりますと、今のところ県内の会場で大きなトラブルはないということです。\n２日目の１４日は理科と数学の試験が行われます。\nMBC南日本放送 | 鹿児島,[],[]
大学入学共通テスト初日「１日１５時間勉強」コロナ５類移行も感染対策（MBC南日本放送）,https://news.yahoo.co.jp/articles/50ced54185a5ddd07ca1da832d9770198d9f4774,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240113-00069375-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-01-13T12:10:00+09:00,2024-01-13T12:10:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,398,\nMBC南日本放送\n大学入学共通テストが１３日から始まりました。\n鹿児島県内１４の会場で受験生が試験に臨んでいます。\n\n大学入学共通テストは１３日と１４日の２日間行われ、県内では５８８８人が出願しています。\n県内の１４の会場のうち、鹿児島大学郡元キャンパスでは、１３日朝、受験生が参考書やノートを見直していました。\n\n新型コロナが去年、５類に移行したため、今年はマスクの着用は義務付けられていませんが、感染症対策を続ける姿も見られました。\n\n（受験生）\n「今までの自分が出せるよう楽しみたい」\n\n「（１日の勉強時間は）最長１５時間」\n\n「（お守りをかぞえる）１、２、３、４、５、６個。感謝を伝えられるよう、自分の持っている力を出せるよう頑張りたい」\n\n１３日は地理歴史・公民と国語、外国語\n１４日は理科と数学の試験が行われます。\nMBC南日本放送 | 鹿児島,[],[]
奄美空港でＪＡＣ機が着陸直後にトラブル、油圧系統から油漏れ　１便欠航　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/032ddb91577cd851ca0ae721f6573eab9f5ded31,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240113-00069380-mbcnewsv-000-2-view.jpg?exp=10800,2024-01-13T19:03:00+09:00,2024-01-13T19:04:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,429,\n奄美空港で１３日夕方、日本エアコミューターのプロペラ機が、着陸直後、油圧系統から油が漏れているのが見つかりました。\n\nトラブルがあったのは、喜界空港発・奄美空港行きのプロペラ機・ＡＴＲ４２－６００型機です。\n\n日本エアコミューターによりますと、午後４時半すぎ、奄美空港に着陸し駐機場へ向かっていた際、油圧系統の不具合を示すセンサーが点灯しました。状況を確認するため、機体は駐機場の手前の誘導路でいったん停止し、乗客の到着に１０分ほど遅れが出ました。\n\n機体を調べたところ、前輪を動かすための油圧系統から油が漏れているのを確認したということです。\nこの便には乗客２８人と乗員３人が乗っていましたが、飛行中に異常は見られなかったとしています。\n\nこの影響で、１３日は、同じ機体を使う午後５時３５分奄美発・鹿児島行きの１便が欠航しました。\n１４日以降は、代替の機体を使うため、運航に影響はないということです。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240113-00069380-mbcnewsv-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/032ddb91577cd851ca0ae721f6573eab9f5ded31/images/000']
大正噴火から１１０年　桜島住民らが鹿児島市街地側へ避難訓練　名山小の全児童も参加（MBC南日本放送）,https://news.yahoo.co.jp/articles/2413bc53e73c6928a355c371ad1877c107799cca,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240113-00069376-mbcnewsv-000-3-thumb.jpg?exp=10800,2024-01-13T17:54:00+09:00,2024-01-13T17:56:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,547,\nMBC南日本放送\n大正噴火から110年 桜島住民らが鹿児島市街地側へ避難訓練 名山小の全児童も参加\n\n桜島の噴火警戒レベルが最高の５に引き上げられたという想定で、島民が市街地側に避難する訓練がありました。\n訓練は、鹿児島市が毎年この時期に行っているものです。\n\n桜島で噴火警戒レベルが最高の５に引き上げられ、全島民に避難指示が出された想定で行われ、東桜島町や名山校区の住民あわせておよそ１００人のほか市の職員や関係機関が参加しました。\n\n桜島の参加者はフェリーとバスを使って、市街地側の指定避難所に移動する手順を確認したあと、段ボールベットなどで避難所を体験をしました。\n\n（東桜島町の住民）「固くもないですね」「自然災害はいつ来るか分からないので、備えが一番大事」\n\n１３日は名山小学校の全校児童も参加し、校庭で救急救命の仕方や土石流の仕組みなどを見学しました。\n\n（下鶴隆央市長）「今後、能登半島地震の影響について具体的なことが明らかになってくると思うが、より実効性のある避難計画になるよう教訓を生かしたい」\n\n中央公園では、火事で家の中に煙が充満した状況を再現するコーナーも設けられ、訓練の参加者以外も体験していました。\nMBC南日本放送 | 鹿児島,[],[]
２８日号砲　１２チームが競う県地区対抗女子駅伝のコース点検「選手が気持ちよく走れるよう」　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/f60d87cf705afd14e35fc2c91f12e9efd4b3f21d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240113-00069378-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-01-13T19:18:00+09:00,2024-01-13T19:18:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,384,\nMBC南日本放送\n鹿児島県霧島市で今月２８日に開かれる県地区対抗女子駅伝競走大会を前に、１３日コースの点検がありました。\n\n県地区対抗女子駅伝は県内１２地区のランナーたちが霧島市の隼人運動場をスタートし、国分下井で折り返す６区間、２１．０９７５キロのコースで行われます。\n\n本番を前に１３日は大会をサポートする姶良地区陸上競技協会がコースを点検し、折り返し地点や道路上に書かれた距離をペンキで書き直しました。\n\n（姶良地区陸上競技協会 斧浩二さん）\n「各地区の選手が気持ちよく走れるように準備した」\n\n大会は今月２８日午前１０時スタートで、コース付近では交通規制が行われます。\n\n大会の模様はＭＢＣテレビで午前９時５４分から。\nラジオで午前９時５９分から生放送するとともに、インターネットで同時配信します。\nMBC南日本放送 | 鹿児島,[],[]
