headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
"世界中のカップルを祝福してきた不滅の名曲。“結婚の音楽""といえば……【クラシック今日は何の日？】（家庭画報.com）",https://news.yahoo.co.jp/articles/746975d684566d995e2af02a0c2a703833c2a6fa,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240309-00010001-kateigaho-000-1-view.jpg?exp=10800,2024-03-09T10:03:22+09:00,2024-03-09T10:03:22+09:00,家庭画報.com,kateigaho,家庭画報.com,766,"\nクラシックソムリエが語る「名曲物語365」\nクラシック音楽を楽しく学べるトリビアを毎日お届け。イラスト／なめきみほ\n難しいイメージのあるクラシック音楽も、作品に秘められた思いやエピソードを知ればぐっと身近な存在に。人生を豊かに彩る音楽の世界を、クラシックソムリエの田中 泰さんが案内します。\nワーグナー オペラ『ローエングリン』より「結婚行進曲」 世界中の新婚カップルを祝福してきた不滅の名曲\n今日3月9日は、ナポレオン（1769～1821）が、最初の妻ジョゼフィーヌ・ド・ボアルネ（1763～1814）と結婚した日です（1796年）。\n\n13年にわたる2人の結婚生活は、彼らがフランスの皇帝と皇后になった時の動乱そのものを映し出す鏡のようなものだといわれています。そのあたりの詳細は、リドリー・スコット監督による2023年公開の映画『ナポレオン』に描かれていますので、興味のある方はぜひご覧になってください。\n\nさて、“結婚の音楽""といえば、真っ先に思い浮かぶのが、メンデルスゾーン（1809～47）とワーグナー（1813～83）の「結婚行進曲」ではないでしょうか。前者は、劇付随音楽『夏の夜の夢』を華やかに彩り、後者は、オペラ『ローエングリン』の中で、英雄ローエングリンと王女エルザの結婚シーンを描き出す厳かな音楽です。\n\nどちらの音楽も、世界中の新婚カップルを祝福してきた結婚式の定番音楽、さてさて、ナポレオンとジョゼフィーヌはどのような音楽によって結ばれたのか、興味津々。\n田中 泰／Yasushi Tanaka\n一般財団法人日本クラシックソムリエ協会代表理事。ラジオや飛行機の機内チャンネルのほか、さまざまなメディアでの執筆や講演を通してクラシック音楽の魅力を発信している。\n家庭画報.com",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240309-00010001-kateigaho-000-1-view.jpg?pri=l&w=640&h=426&exp=10800'],['https://news.yahoo.co.jp/articles/746975d684566d995e2af02a0c2a703833c2a6fa/images/000']
パティシエが作るフランスの “おやつパン”はいかが？種類豊富なラインナップ（家庭画報.com）,https://news.yahoo.co.jp/articles/36d4884689abda114f17b90228faae297a1ce10d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240309-00010000-kateigaho-000-1-view.jpg?exp=10800,2024-03-09T08:03:22+09:00,2024-03-09T08:03:22+09:00,家庭画報.com,kateigaho,家庭画報.com,443,\nグテ 学芸大学店\nパティシエが作るフランスの “おやつパン”はいかが？種類豊富なラインナップ\n仏・リヨンで10店舗以上を営むパティシエ兼ショコラティエのセバスチャン・ブイエ氏。「街並みがリヨンに通ずる」学芸大学に、氏が手がけるベーカリーが誕生しました。\n右手前「リヨンサンド フロマージュ」\nクロワッサン生地にフランボワーズソースと柚子が香るチーズケーキを挟んだスペシャリテ「リヨンサンド フロマージュ」（写真の右手前、411円）をはじめ、パティシエならではの技術と遊び心が詰まった美しいスイーツパンが充実。\n\nフランスのレシピをベースに日本人の味覚に合わせた総菜パンも揃え、約50種類のラインナップが楽しめます。\n\nグテ 学芸大学店\n東京都目黒区鷹番3-8-1\nTEL：03（5724）3258\n営業時間：10時～18時\n水曜、第2・第4火曜定休\n\n『家庭画報』2024年3月号掲載。 この記事の情報は、掲載号の発売当時のものです。\n家庭画報.com,"['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240309-00010000-kateigaho-000-1-view.jpg?pri=l&w=640&h=435&exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240309-00010000-kateigaho-001-1-view.jpg?pri=l&w=505&h=640&exp=10800']","['https://news.yahoo.co.jp/articles/36d4884689abda114f17b90228faae297a1ce10d/images/000', 'https://news.yahoo.co.jp/articles/36d4884689abda114f17b90228faae297a1ce10d/images/001']"
