headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
午後8時半、信号待ちしていた軽に追突――酒気帯び運転疑いで温泉施設アルバイトの81歳男を逮捕（南日本新聞）,https://news.yahoo.co.jp/articles/508dfdad10350c9ab48884a44409d1982c9409ca,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260606-00000014-minami-000-1-view.jpg?exp=10800,2026-06-06T23:55:21+09:00,2026-06-06T23:55:21+09:00,南日本新聞,minami,南日本新聞,195,（写真：南日本新聞社） 鹿児島南署は６日、道交法違反（酒気帯び運転）の疑いで、鹿児島市坂之上６丁目、温泉施設アルバイトの男（８１）を現行犯逮捕した。逮捕容疑は同日午後８時３５分ごろ、同市坂之上４丁目の市道で、基準値を超える酒気を帯び、軽乗用車を運転した疑い。 署によると、信号待ちしていた前方の軽乗用車に追突し発覚。けが人はなかった。追突された運転手が署に通報した。 南日本新聞 | 鹿児島,[],[]
薩摩川内おどり太鼓の迫力に驚き、手拍子で盛り上げ――鹿児島大留学生を招待し、ハンヤ節をみんなで踊ったウェルカムパーティー（南日本新聞）,https://news.yahoo.co.jp/articles/2b21a330c452e09fedce3414d344126cccf7fe28,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260606-00000013-minami-000-1-view.jpg?exp=10800,2026-06-06T20:30:22+09:00,2026-06-06T20:30:22+09:00,南日本新聞,minami,南日本新聞,503,輪になり鹿児島ハンヤ節を踊る留学生ら＝鹿児島市郡山町 鹿児島大学の留学生を招待したウェルカムパーティーが５月３１日、鹿児島市郡山町の稲荷神社などであった。パキスタンやマレーシアなどから来た２３人が和太鼓の演奏やけん玉に挑戦し、日本の文化を体験した。 ＮＰＯ法人国際理解プログラム研究会の主催で２１回目。留学生は薩摩川内おどり太鼓の演奏で迎えられると、太鼓の迫力に驚きながらも手拍子で盛り上げ、楽しんでいた。その後、会場の全員で鹿児島ハンヤ節を踊ったり、実際に太鼓をたたいたりして交流を深めた。 留学生を歓迎しようと、高校生や地元の自治会、ボランティアなど約１００人が集まった。鹿児島純心女子高校放送部は司会を担当し、近くの明桜館高校の生徒はけん玉やお手玉など日本の遊びを披露した。 インドネシア出身で法文学部３年のナジュラーさん（２１）は「おどり太鼓の衣装やメイクがきれいだった。みんなが盛り上げてくれて楽しい時間を過ごせた」と笑顔を見せた。昼食のカレーやサラダを振る舞った鹿児島城西高校調理科３年の小野愛由梨さんは「思いを込めて作ったので、おいしく食べてくれてうれしい」と話した。 南日本新聞 | 鹿児島,[],[]
鹿児島県本土と種子・屋久に線状降水帯発生の可能性　7日未明から昼前、梅雨前線と低気圧に暖かく湿った空気流れ込む（南日本新聞）,https://news.yahoo.co.jp/articles/c33e97bcafd70e0cd04a37fee7c9c2cfcc7e16a3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260606-00000012-minami-000-1-view.jpg?exp=10800,2026-06-06T20:25:23+09:00,2026-06-06T20:25:23+09:00,南日本新聞,minami,南日本新聞,560,６日午後８時１０分の雨雲の動き（気象庁ホームページより） 梅雨前線や低気圧の影響で、鹿児島県本土と種子島・屋久島地方は７日未明から昼前にかけ、線状降水帯が発生し、大雨災害の危険度が急激に高まる恐れがある。鹿児島地方気象台は６日午後、線状降水帯半日前予測を発表した。土砂災害に厳重に警戒し、低い土地の浸水や川の増水、落雷や突風に注意するよう呼びかけている。 日本の南にのびる梅雨前線が北上し、東シナ海にある低気圧が７日にかけて九州南部付近を通過する見込み。この前線と低気圧に暖かく湿った空気が流れ込み、県本土と種子・屋久地方は７日昼前にかけ、線状降水帯が発生しやすくなる。奄美地方は７日朝にかけ、大気が不安定となり、雷を伴った非常に激しい雨が降り、大雨となる見込み。 ７日に予想される１時間雨量は、種子・屋久７０ミリ、大隅６０ミリ、薩摩と奄美５０ミリ。７日午後６時までの２４時間予想雨量は、大隅と種子・屋久２５０ミリ、十島村２００ミリ、薩摩と奄美１５０ミリ。 ＪＲ九州は日豊線の国分－田野間、鹿児島中央－宮崎間の特急列車きりしま、日南線の志布志－青島間で。始発から運転を見合わせ、午後から再開予定。海の便は、種子・屋久航路の「トッピー」「ロケット」の午前の便、フェリー屋久島２の欠航が決まっている。 南日本新聞 | 鹿児島,[],[]
「住民にもコートを使ってもらい、患者とふれ合う機会に」――精神科病院が地域開放のフットサルコート整備…全国大会予選で熱戦、地域の枠超え盛り上がる（南日本新聞）,https://news.yahoo.co.jp/articles/6769d9ab1874ea7702fde29ee0433aacb1a783f6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260606-00000011-minami-000-1-view.jpg?exp=10800,2026-06-06T20:00:22+09:00,2026-06-06T20:00:22+09:00,南日本新聞,minami,南日本新聞,648,新しくなったフットサルコートでプレーを楽しむ参加者＝鹿児島県南九州市川辺 鹿児島県南九州市川辺の精神科「こだま病院」は病棟改装に合わせ、敷地内にあるフットサルコートもリニューアルした。患者でつくるチームが練習で使うほか、精神障害者への理解を深めてもらい、地域活性化につなげる狙いで一般にも開放する。こけら落としで、ソーシャルフットボール全国大会予選の決勝戦も開かれた。 ソーシャルフットボールは、精神障害者らが社会参加に向けて取り組む競技で、ルールはフットサルとほぼ同じ。病院では患者の回復や自信をつけてもらう目的で、２０１４年に「こだまユナイテッド」を結成。現在は県内の１９人が所属し、週２回練習する。 新しいフットサルコートは縦４０メートル、横２０メートル、人工芝で照明付き。１４年に整備したコートの約１．８倍の広さで、公式試合にも対応できるようになった。 九州沖縄地区予選は５月３０日に南九州市であり、決勝はこだま病院のコートで開催。北九州市と佐賀県鳥栖市のチームが大きな声援や拍手を受けながら熱戦を繰り広げた。予選に出た８チーム混合の交流戦もあり、こだまユナイテッドの選手も出場して地域の枠を越えて盛り上がった。 こだまユナイテッドの原田祥之さん（３４）＝枕崎市＝は「新しいコートが気持ちよかった。地元の人たちとも交流したい」。児玉圭院長（５２）は「住民にもコートを使ってもらうことで、患者ととふれ合う機会になってほしい。地域活性化にもつなげていきたい」と話した。 南日本新聞 | 鹿児島,[],[]
喜界町24時間雨量、6月の観測史上最大209ミリ――鹿児島県内初の土砂災害危険警報　床上床下浸水5棟、1人けが（南日本新聞）,https://news.yahoo.co.jp/articles/12d7db002f9b99d5bbcb83dc5d687959a44982b0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260606-00000010-minami-000-1-view.jpg?exp=10800,2026-06-06T19:55:21+09:00,2026-06-06T19:55:21+09:00,南日本新聞,minami,南日本新聞,512,冠水した県道浦原喜界空港線＝６日午前９時ごろ、喜界町湾 奄美地方は６日、梅雨前線に暖かく湿った空気が流れ込んだ影響で、局地的に非常に激しい雨が降った。気象庁は喜界町に県内初となるレベル４の土砂災害危険警報を発表。同町では、同日午後１時までの２４時間雨量が６月の観測史上最大の２０９ミリとなった。 鹿児島地方気象台によると、喜界島で６日午前１０時４分までの１時間に５９ミリの雨を観測した。同町は同日午前１０時２０分、町内全域に避難指示を発令し、災害対策本部を設置した。気象庁は同日午後１時半、土砂災害危険警報を解除したが、７日も大雨の恐れがあり、土砂災害への警戒を呼びかけている。 町の担当者は「気象台と連絡を取りながら、土砂災害危険警報に合わせて避難指示を出した」と説明した。同町では同日午後５時現在、住家の床上浸水１棟、床下浸水４棟。県道と町道計１１カ所が冠水した。 県災害対策本部によると、天城町の町道２カ所でがけ崩れがあり、１カ所で崩れた土砂に車が衝突。運転していた５０代男性が軽傷を負った。 空の便は喜界と奄美、鹿児島を結ぶ６便が欠航。海の便は種子・屋久航路のフェリーはいびすかすが欠航した。 南日本新聞 | 鹿児島,[],[]
信号無視やウインカー出し遅れ、記憶はおぼろげ…「車は凶器」誇張じゃない――記者が飲酒運転体験会で実感（南日本新聞）,https://news.yahoo.co.jp/articles/32324df16284d600c7c2b3f3063385ca411a892d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260606-00000009-minami-000-1-view.jpg?exp=10800,2026-06-06T19:00:22+09:00,2026-06-06T19:00:22+09:00,南日本新聞,minami,南日本新聞,810,飲酒運転でスラロームを体験する記者＝鹿児島市の玉里自動車学校 冷えたビールで喉を鳴らしたくなる季節が近づく中、鹿児島市下伊敷の玉里自動車学校で開かれた「飲酒運転体験講習会」に参加した。運転後、どう走ったか覚えていなかった。ウインカーを出すのはおろか、信号もろくに確認せず無視していたという。「車は凶器」との言葉は誇張ではないと身をもって実感した。 涙の出ない日はない…飲酒運転の車が突っ込み、24歳娘失った両親――9000人の署名が支える悲しみ 会は５月中旬、飲酒運転防止の啓発のため鹿児島西警察署が開いた。 午前９時半、まずはしらふの状態でハンドルを握った。コースは校内を１周した後、Ｓ字や直角のカーブ、パイロンの間を縫うように走るスラロームだ。助手席に指導員が乗る緊張で気が引き締まり、問題なく走れた。 その後、焼酎１合とアルコール度数７％の酎ハイ２本を約１時間かけて飲んだ。酒は嫌いな方ではない。ぐいぐいと飲むうち、呼気１リットル中のアルコール量は酒気帯び運転の基準値０．１５ミリグラムの３倍、０．４５ミリグラムに達した。 再び運転に臨んだ。だが、その後の記憶はおぼろげだ。同乗した指導員の東屋敷俊さん（３５）によると、赤信号を無視して交差点を右折したという。「ウインカーを出し遅れたり、運転しながら座席の調節を始めたりもしていた。注意が散漫だった」と厳しい指摘を受けた。普段からは考えられない危険行動の上、自覚がなかったことにゾッとした。 県警交通指導課によると、県内の今年の飲酒運転摘発件数は、自転車運転中を含めて４月末までに１４５件（前年同期比１３件増）。うち事故後の発覚は６１件あり、危険な運転が後を絶たない。鹿児島西署交通課の前野純也警部補は「酒が入ると悪い方向に『まあいいか』が出てしまう。飲んで時間がたっているからと油断せず、車が凶器になりうる意識を忘れないで」と呼びかけた。 南日本新聞 | 鹿児島,[],[]
「さまざまなものが値上がりしているからありがたい。いつ届くのか」…鹿児島市の物価高対策5000円ギフトカード――問い合わせ１万１２００件（南日本新聞）,https://news.yahoo.co.jp/articles/dc56a265c9156aa217cd7f7c6e158606f648d192,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260606-00000008-minami-000-1-view.jpg?exp=10800,2026-06-06T17:00:22+09:00,2026-06-06T17:00:22+09:00,南日本新聞,minami,南日本新聞,1103,ギフトカードと現金が併用できる旨を知らせるレジ付近の案内＝鹿児島市上荒田町のドラッグイレブン上荒田店 鹿児島市が物価高対策として市民１人当たり５０００円相当のギフトカードを配布する事業で、「いつ届くのか」とやきもきする声が南日本新聞に寄せられた。市によると、４月３０日から配布を始め、今月１日時点での配布率は４割程度。受け取った読者からは「現金と併用できない店舗もあり使い勝手が悪い」と指摘する声も上がる。 【写真】鹿児島市が物価高対策で市内全世帯に配布する「バニラＶＩＳＡギフトカード」＝市提供 市産業政策課によると、「バニラＶＩＳＡギフトカード」は、１月１日時点で市の住民基本台帳に記載されている約３０万４０００世帯の約５８万５０００人分が配布対象になっている。郵便局には全て引き渡し済みで、世帯人数分を合計したカードがゆうパックで各世帯に１枚届く。 １歳になる長男の紙おむつや子供服を購入予定という上之園町の会社員女性（３２）は「さまざまなものが値上がりしていると感じるからありがたい。早く届いてほしい」と待ちわびる。 今回、このギフトカードを採用した理由について、同課は「申請手続きが不要で速やかな配布が可能。現金給付だと一部が貯蓄に回る可能性があった」と説明する。事務経費が現金給付の場合の半分以下で収まる点も決め手だったという。 ギフトカードは５月末現在、スーパーやコンビニ、ドラッグストアなど千店舗以上で利用可能で、市ホームページで確認できる。 ただし、現金との併用払いができない店舗もある。 ５月上旬にカードを受け取った田上１丁目の男性（７９）は、２店舗で食料品など計９８９３円分を購入し１０７円残った。１００円の食品を買おうにも税込み１０８円で１円足りない。「現金を足せないなら数十円残ると使い切れない。レジで残高が確認できないのも不便で、よっぽど現金のほうが良かった」と不満顔だ。 同課は、現金を併用できない点に苦言が寄せられていることは把握しているとし、端数が残ってしまったときは「各店舗やネットショップのポイントと組み合わせると使い切れる場合がある」としている。 ギフトカードの総事業費は約３３億円。全市民が対象の経済対策への期待の大きさか、コールセンターや特設窓口に制度概要や使用方法、配布時期などに関する問い合わせが、５月末までに約１万１２００件寄せられたという。 同課の坂元佳代子主幹は「個別の配達状況にはお答えできない。６月末までには各家庭に届ける予定なので、もうしばらく待っていただきたい」と話した。ギフトカードの利用期限は９月末までとなっている。 南日本新聞 | 鹿児島,[],[]
【速報】鹿児島県本土と種子・屋久、7日未明から昼前まで線状降水帯恐れ（南日本新聞）,https://news.yahoo.co.jp/articles/b6d964dd1ce40917ea6edaacf717b58c0d6e6ddf,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260606-00000007-minami-000-2-view.jpg?exp=10800,2026-06-06T15:55:25+09:00,2026-06-06T15:56:29+09:00,南日本新聞,minami,南日本新聞,165,（写真：南日本新聞社） 梅雨前線の影響で、鹿児島県本土と種子島・屋久島地方は７日未明から昼前にかけ、線状降水帯が発生し、大雨災害の危険度が急激に高まる恐れがある。鹿児島地方気象台が６日午後、線状降水帯半日前予測を発表した。土砂災害に警戒し、低い土地の浸水や川の増水、落雷、突風に注意するよう呼びかけている。 南日本新聞 | 鹿児島,[],[]
梅雨入りと同時に台風も…土砂災害全国ワースト２位の鹿児島県、城を緑に染めて問いかける「あなたの避難所、どこですか」（南日本新聞）,https://news.yahoo.co.jp/articles/22f46f2b49390af3b49682c6c7d30ea5237da82f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260606-00000006-minami-000-2-view.jpg?exp=10800,2026-06-06T15:00:21+09:00,2026-06-06T15:05:25+09:00,南日本新聞,minami,南日本新聞,353,土砂災害防止月間の一環で緑色にライトアップされた鹿児島城御楼門＝鹿児島市城山町 １日から始まった土砂災害防止月間に合わせ、鹿児島県は鹿児島城御楼門（鹿児島市）を同月間シンボルカラーの緑色にライトアップしている。７日まで。 県砂防課によると、２０２５年に県内で発生した土砂災害は５５件で、熊本県に次いで全国２番目の多さだった。霧島・姶良大雨が発生した８月７～９日には、わずか３日間で１６件を記録。県は市町村役場や警察署へのポスター掲示や出前講座で、防災意識の向上を図る。 今年も梅雨入りと同時に季節外れの台風６号も襲来した。緑のライトアップは午後８時１０分～９時。同課の永野正千課長は「ハザードマップで危険箇所や避難所を確認しておくことが大切。早めの避難を心がけて」と呼びかけている。 南日本新聞 | 鹿児島,[],[]
親が話す鹿児島弁が分からない――「歌から学んで方言を大切にしたい」　子どもたちが踊りながら「茶わんむしの歌」合唱、発祥の霧島市宮内小でイベント（南日本新聞）,https://news.yahoo.co.jp/articles/457fdf4765dcbe6d6c5f69f7596da5cc13e98b95,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260606-00000005-minami-000-2-view.jpg?exp=10800,2026-06-06T11:30:21+09:00,2026-06-06T21:31:11+09:00,南日本新聞,minami,南日本新聞,645,劇の中で「茶わんむしの歌」を合唱する宮内小学校の児童ら＝鹿児島県霧島市隼人の同校 鹿児島方言文化協会（鹿児島市）は「蒸し」と「虫」の語呂合わせにちなみ、６月４日を「茶わんむしの歌の日」と独自に定めた。発祥の霧島市隼人の宮内小学校では、協会の劇団「げたんは」と児童らが記念に劇や合唱を披露。古里の歌への思いを新たにした。 【写真】「茶わんむしの歌」に合わせてダンスを披露する宮内小学校の児童たち＝鹿児島県霧島市隼人の同校 「うんだもこら いけなもんな」の出だしでおなじみの歌は、宮内小に教員として勤めていた故石黒ヒデさんが作詞作曲した。１９２１（大正１０）年ごろに学校対抗の学芸会で発表した劇の劇中歌と伝わる。 ４日あったイベントでは「鹿児島弁食堂」を上演。店員と客が鹿児島弁を交えたドタバタ劇を繰り広げ、「茶わんむしの歌」を歌い上げた。劇団員が歌詞の方言を解説したほか、５、６年生約２００人も踊りながら元気に合唱した。 ６年の石神和奏さんは「母や祖母の鹿児島弁が分からない時もあるが、歌から学んで方言を大切にしたいと思った」。玉利桃麻さんは「大人になったら、自分の子どもたちに歌ってあげたい」と話した。 協会の種子田幸広会長（７５）は「鹿児島県民にとって、幼児からお年寄りまで一緒に口ずさめる貴重な歌」と語る。一方、県内の学校などを公演で回る中で、歌える人が減っているのに危機感を持ったという。「記念日をつくることで、鹿児島弁の伝承活動に一層力を入れたい」と話した。 南日本新聞 | 鹿児島,[],[]
「いくらいい原稿を書いても、出してくれる所がなければ…」　椋鳩十さんの言葉が支えに――40年間、鹿児島の作家の発信拠点として歩んだ高城書房が幕を閉じた（南日本新聞）,https://news.yahoo.co.jp/articles/30c22d598af1a8f189fb4217b0cd3427deaa4b5f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260606-00000004-minami-000-2-view.jpg?exp=10800,2026-06-06T11:00:22+09:00,2026-06-06T15:45:46+09:00,南日本新聞,minami,南日本新聞,678,寺尾政一郎さん＝鹿児島市 ■かお・鹿児島の作家に寄り添い40年、5月末で「高城書房」を閉めた、寺尾政一郎（てらお・せいいちろう）さん 数年前から体調が優れず、無理がきかなくなった。古希を機に廃業を決めた。「出会ったすべての人に感謝したい。温めていた企画もあったが、未練が残らないよう資料は廃棄した」とすがすがしい顔で語る。 南九州市知覧出身。薩南工業高校を卒業後、会社勤めを経て、１９８１年に鹿児島市に印刷会社を設立した。出版を手がけたのは「社業につながる」というシンプルな発想だった。ただ続けるうちに、「鹿児島の作家が全国で本を売るための発信拠点にしたいという思いが強くなった」と振り返る。 高城書房の初仕事は８７年の「薩摩とイギリスの出会い」。創業期は鹿児島ゆかりの作家らに助けられた。同書の著者で長野県出身の宮沢真一さんに対し、同郷の椋鳩十さんが「いくらいい原稿を書いても、出してくれる所がなければ作家はどうしようもない」と、鹿児島に出版社がある意義を説いてくれた。 五代夏夫さんからは「降りかかる火の粉は払うな、吸収しろ」と助言された。４０年の間には出版準備を進めていた企画がボツになることなどもあったが、２人の言葉が精神的な支えになり「振り返ればトラブルも楽しんでいた」と笑う。 低迷する業界や同業者の将来には心を砕く。行政に対して「出版や読書は大切な文化。一定の基準は必要だが、地元の出版物を公共図書館や学校で積極的に受け入れるシステムを構築できないか」と注文を付けた。 鹿児島市小原町に妻（７２）と２人暮らし。７０歳。 南日本新聞 | 鹿児島,[],[]
