headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【速報】JR鹿児島線、日豊線、吉都線で運行見合わせ（午前10時45分現在）（南日本新聞）,https://news.yahoo.co.jp/articles/dc4588d2e15ad15a43e62a6ddc761b5ee252ef88,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260624-00000011-minami-000-1-view.jpg?exp=10800,2026-06-24T11:05:29+09:00,2026-06-24T11:05:29+09:00,南日本新聞,minami,南日本新聞,129,（写真：南日本新聞社） ＪＲ九州によると、大雨の影響で２４日午前１０時４５分現在、鹿児島線の鹿児島中央－川内、日豊線の国分－西都城、吉都線の吉松－都城で運行を見合わせている。 九州新幹線の鹿児島中央－熊本は午前１０時に運行を再開した。 南日本新聞 | 鹿児島,[],[]
ふわふわ氷に自家製ミルク…チェリーとレーズンでクマの顔――鹿児島名物の氷菓「白熊」　天文館むじゃき創業80年　「変わらぬ姿で堅実に」（南日本新聞）,https://news.yahoo.co.jp/articles/6d626e0563ccdd56ef054564f545595c4b3bc2c8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260624-00000010-minami-000-2-view.jpg?exp=10800,2026-06-24T11:00:23+09:00,2026-06-24T11:24:19+09:00,南日本新聞,minami,南日本新聞,762,変わらぬ味で長年愛されている白熊＝鹿児島市千日町の天文館むじゃき ふわふわの氷に自家製のミルクがたっぷり－。チェリーやレーズンがトッピングされ、上から見るとシロクマの顔に見える。氷菓「白熊」の本家「天文館むじゃき」が創業から８０年を迎えた。県外観光客の定番として知られ、入店待ちの行列ができるほど。昭和、平成、令和と時代が移っても人気は衰え知らずだ。３代目の前田真吾社長は「小さい子どもからお年寄りまで、客層は創業当時から変わらない。みなさんの思い出に残る場所でありたい」と話す。 【写真】昭和３０年代の天文館むじゃき（同店提供） ６月中旬も、涼を求める多くの人でにぎわっていた。鹿児島市の会社員、藤田熙昌さん（２６）は「初めて見たときは大きさに驚いた」。同僚の向井遥輝さん（２３）は「フルーツがたくさん入っていておいしい」と笑顔を見せた。県外へ転勤する２人は「鹿児島といえば白熊。今のうちに食べておきたかった」とおいしそうにスプーンを運んだ。 戦後間もない１９４６年に創業した。３年後に誕生した「白熊」は、今でも売り上げの８割を占める看板メニューだ。氷にかけるミルクのレシピは、創業家一族のみで脈々と受け継がれ、伝統の味を守り続けている。 知名度が一気に上がったのは、８５年に始めた全国発送だ。店でしか味わえなかったこだわりの氷菓を、全国へ届けられるようになった。新型コロナウイルス禍で休業した時期は、店舗の売り上げは２割まで落ち込んだ。それでも、持ち帰り用の白熊を製造する工場は、過去最高の収益を記録したという。 全国のファンや地元客に愛されて歩んできた８０年。鹿児島の飲食店では少ない「１００年企業」を見据える前田社長は、「変わらぬ姿であり続けることが大事。堅実に進んでいきたい」と力を込めた。 南日本新聞 | 鹿児島,[],[]
【速報】南九州自動車道の薩摩川内高江IC－薩摩川内都IC通行止め（南日本新聞）,https://news.yahoo.co.jp/articles/ae9ebd113fd7c53710b5c8518bbc6c890dc11aec,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260624-00000009-minami-000-1-view.jpg?exp=10800,2026-06-24T10:45:25+09:00,2026-06-24T10:45:25+09:00,南日本新聞,minami,南日本新聞,129,（写真：南日本新聞社） 鹿児島県警高速道路交通警察隊によると、南九州自動車道の薩摩川内高江インターチェンジ（ＩＣ）－薩摩川内都ＩＣは上下線で通行止めとなっている。薩摩川内市宮里町付近で土砂崩れが発生したため。復旧のめどは立っていない。 南日本新聞 | 鹿児島,[],[]
【速報】九州新幹線が運転再開（南日本新聞）,https://news.yahoo.co.jp/articles/029787c9a37cf7bfe3e396eb19761b7a4a36eaf1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260624-00000008-minami-000-1-view.jpg?exp=10800,2026-06-24T10:45:22+09:00,2026-06-24T10:45:22+09:00,南日本新聞,minami,南日本新聞,102,（写真：南日本新聞社） ＪＲ九州によると、２４日午前、大雨の影響で運転を見合わせていた九州新幹線の鹿児島中央－熊本は上下線とも運転再開した。 鹿児島中央－博多でダイヤに乱れがある。 南日本新聞 | 鹿児島,[],[]
修学旅行出発日、鶴丸高校生が鹿児島空港に行ってみると…機長も客室乗務員も「鶴丸マーク」のOBだった　東京行きJAL便、先輩たちがサプライズ（南日本新聞）,https://news.yahoo.co.jp/articles/e3ddcaf13a319f877f17ab22b1d74e7a65645f28,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260624-00000007-minami-000-2-view.jpg?exp=10800,2026-06-24T10:30:22+09:00,2026-06-24T11:23:33+09:00,南日本新聞,minami,南日本新聞,403,修学旅行で東京に向かう鶴丸高校の生徒と卒業生ら＝霧島市の鹿児島空港 日本航空（ＪＡＬ）は１７日、鹿児島市の鶴丸高校の修学旅行生を乗せる東京行きの便に、同校卒の機長や客室乗務員らを搭乗させた。系列の日本エアコミューターに勤める卒業生を含めた４人が、霧島市の鹿児島空港で一行を出迎えた。 【写真】卒業生の見送りを受け修学旅行で東京に向かう鶴丸高校の生徒＝霧島市の鹿児島空港 この日は２年生３１５人のうち１６７人がＪＡＬ便を利用した。搭乗ゲート前でセレモニーがありＯＢの花園浩一機長（５５）、安樂未悟（みさと）副操縦士（２９）らがあいさつ。同じ「鶴丸マーク」のＪＡＬロゴと校章を掲げて全員で記念撮影をした。 生徒の一人、川添誠矢さんは「先輩方が生き生きと話す姿が印象に残った。充実した修学旅行にしたい」と笑顔だった。同社は９日に出発した甲南高校の修学旅行でも、同様のサプライズを企画した。 南日本新聞 | 鹿児島,[],[]
【速報】九州新幹線、JR鹿児島線一部、吉都線で運転見合わせ（南日本新聞）,https://news.yahoo.co.jp/articles/958f9b204e5f456b10d85882dd426c3f357be9e6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260624-00000006-minami-000-1-view.jpg?exp=10800,2026-06-24T09:55:21+09:00,2026-06-24T09:55:21+09:00,南日本新聞,minami,南日本新聞,87,（写真：南日本新聞社） 大雨の影響でＪＲ九州は２４日、九州新幹線の鹿児島中央－熊本、鹿児島線の川内－伊集院、吉都線の吉松－都城の運転を見合わせている。 南日本新聞 | 鹿児島,[],[]
【速報】薩摩地方に線状降水帯――気象庁「災害の危険が急激に高まっている」（南日本新聞）,https://news.yahoo.co.jp/articles/e9779d28a41a5309f86cc65074e9c44c1e248453,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260624-00000005-minami-000-2-view.jpg?exp=10800,2026-06-24T09:05:24+09:00,2026-06-24T09:11:22+09:00,南日本新聞,minami,南日本新聞,142,大雨災害発生の危険度が急激に高まっている線状降水帯の雨域（気象庁ホームページより） 気象庁は２４日午前８時４８分、薩摩地方で線状降水帯による非常に激しい雨が同じ場所で降り続いていると発表した。命に危険が及ぶ災害発生の危険度が急激に高まっていると呼びかけている。 南日本新聞 | 鹿児島,[],[]
【速報】薩摩地方に線状降水帯発生の可能性　気象庁（南日本新聞）,https://news.yahoo.co.jp/articles/1387dbfad8ca0f2b668fe8957cfa43a31ae2de1b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260624-00000004-minami-000-2-view.jpg?exp=10800,2026-06-24T08:45:22+09:00,2026-06-24T08:55:23+09:00,南日本新聞,minami,南日本新聞,135,（写真：南日本新聞社） 気象庁は２４日午前８時１９分、薩摩地方で今後３時間以内に線状降水帯が発生し、非常に激しい雨が同じ場所で降り続く可能性が高まっているとして警戒を呼びかけた。 命に危険が及ぶ災害発生の危険度が急激に高まる恐れがあるとしている。 南日本新聞 | 鹿児島,[],[]
こども園で2歳に切り付け…前日も首から出血「もしかしたら」と思った同僚たち――担当のクラス、けが多発の証言　（南日本新聞）,https://news.yahoo.co.jp/articles/f415232024a99079c03e66a0905388d4957433b5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260624-00000003-minami-000-2-view.jpg?exp=10800,2026-06-24T06:30:21+09:00,2026-06-24T11:22:31+09:00,南日本新聞,minami,南日本新聞,537,イメージ 保育士として勤務していた鹿児島市の認定こども園で２０２４年６月、当時２歳の男児を切り付けたなどとして、殺人未遂と傷害の罪に問われた無職女（２３）＝南九州市知覧町西元＝の裁判員裁判第３回公判が２３日、鹿児島地裁（小泉満理子裁判長）であった。検察側証人として出廷した元同僚２人は、原因不明とした上で「男児は前日も首に傷ができ、血を流していた」と述べた。 同僚女性の証言によると、男児は昼寝の時間に首から出血が見つかったが、指先に血が付いていたことから引っかき傷と判断した。被告が担当していたクラスの園児は病院に行くけがが多かったという。 別の同僚女性は「逮捕されたと知り、（前日も）もしかしたらと思った」と話した。被告から、一部の園児になつかれないことの相談を受けていたと説明し、「体調不良などで他の人より早退や休みが多かった」と証言した。 弁護側証人として被告の母が出廷。「子どもたちには痛くて怖い思いをさせてしまった。本当に申し訳ない」と声を詰まらせながら謝罪した。 起訴状によると、２４年６月７日午前１０時５５分ごろ、園内で殺意を持って男児をカッターナイフで切り付け、約１カ月のけがを負わせたなどとされる。被告は殺意について否認している。 南日本新聞 | 鹿児島,[],[]
知人の10代少年に嘘をつき、車で約3時間連れ回し?　会社役員の男、未成年者誘拐疑い「連れ出したが…」一部否認、母親が被害届（南日本新聞）,https://news.yahoo.co.jp/articles/9ede32024acbf81b3adc1cabccb61c4638acd1b6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260624-00000002-minami-000-1-view.jpg?exp=10800,2026-06-24T06:20:21+09:00,2026-06-24T06:20:21+09:00,南日本新聞,minami,南日本新聞,201,（写真：南日本新聞社） 鹿児島南署は２３日、未成年者誘拐の疑いで、鹿児島市西陵７丁目、会社役員の男（３０）を逮捕した。逮捕容疑は１月下旬の夕方、鹿児島県内の１０代の少年にうそを言い、車で約３時間連れ去り、誘拐した疑い。同署によると、２人は知人。少年にけがなどはなかった。少年の母親が被害届を出した。容疑者は「連れ出したことは間違いないが、うそは言っていない」と一部否認している。 南日本新聞 | 鹿児島,[],[]
片側1車線、見通しのいい交差点、信号機もある――2台とも直進中、一方は左前部、一方は前部が破損　男性が死亡　志布志市（南日本新聞）,https://news.yahoo.co.jp/articles/c135d4bb25d3763c517d183bdfae6642a038c113,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260624-00000001-minami-000-2-view.jpg?exp=10800,2026-06-24T06:10:21+09:00,2026-06-24T10:23:05+09:00,南日本新聞,minami,南日本新聞,272,（写真：南日本新聞社） ２３日午前８時１５分ごろ、志布志市有明町野井倉の市道交差点で、近くの無職女性（７７）の軽乗用車と、近くの清掃作業員男性（７６）の軽トラックが衝突した。女性の車の助手席に乗っていた近くの男性（８８）が、搬送先の病院で約２時間後に死亡した。 志布志署によると、運転していた２人は命に別条はない。現場は東九州自動車道志布志有明インターチェンジの近く。片側１車線の見通しのいい交差点で信号機がある。２台とも直進中で、女性の車は左前方、作業員男性の車は前方が破損していた。通りがかった運転手が１１０番した。 南日本新聞 | 鹿児島,[],[]
