headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
強い叱責に「肩もみ」「送迎」要求まで…鹿児島・大隅曽於地区の消防司令補、部下へのパワハラで減給処分に（南日本新聞）,https://news.yahoo.co.jp/articles/ef7f2f540f61c990bd005c0bcea637e111af068e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260911-00000003-minami-000-1-view.jpg?exp=10800,2026-09-11T19:35:21+09:00,2026-09-11T19:35:21+09:00,南日本新聞,minami,南日本新聞,334,（写真：南日本新聞社） 鹿児島県の大隅曽於地区消防組合は１１日、部下にパワーハラスメント行為をしたとして、５０代男性消防司令補を減給１０分の１（２カ月）の懲戒処分にしたと発表した。処分は７日付。 消防組合によると、消防司令補は２０２５年９月ごろから今年７月ごろにかけて、男性部下に対し、業務指導で一部適正な範囲を超えた強い叱責をした。勤務中に肩もみをさせたり、消防司令補の非番日に車の送迎をさせたりしたこともあった。７月下旬、男性部下がパワハラ行為を本部の窓口に申し出て発覚した。 管理監督責任として、５０代男性消防司令を戒告とした。松下正一消防長は「今回の事案を重く受け止め、再発防止策の徹底と職員教育の強化に取り組む」とのコメントを出した。 南日本新聞 | 鹿児島,[],[]
【速報】鹿児島県議会９月定例会が開会、県独自の観光支援予算を即日可決　県内での宿泊を６割補助（南日本新聞）,https://news.yahoo.co.jp/articles/a04841f666c610c2ab68e8a61bbc9d9cc458b42a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2026-09-11T14:25:28+09:00,2026-09-11T14:25:28+09:00,南日本新聞,minami,南日本新聞,158,鹿児島県議会９月定例会は１１日開会し、２０２６年度一般会計補正予算案（１３６億３９１７万円追加、総額９３９７億３９３１万円）など１３議案、諮問１件を上程した。熊本地震を受けて県独自で実施する宿泊割の補正予算（事業費４億５２００万円）を即日採決し、可決した。県内での宿泊に対して６割を補助する。 南日本新聞 | 鹿児島,[],[]
「自分で使うために保管していた」――大麻所持疑いで54歳男を逮捕　鹿児島中央署、使用容疑でも捜査（南日本新聞）,https://news.yahoo.co.jp/articles/9c16a37194136392f4d3fa3b1ab38ce8e7fba5a6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260911-00000001-minami-000-1-view.jpg?exp=10800,2026-09-11T11:25:23+09:00,2026-09-11T11:25:23+09:00,南日本新聞,minami,南日本新聞,235,（写真：南日本新聞社） 鹿児島中央署は１１日、麻薬取締法違反（所持）の疑いで、鹿児島市西田２丁目、自称農業手伝いの男（５４）を８月２１日に逮捕したと発表した。逮捕容疑は８月下旬、自宅近くの駐車場の車内で若干量の大麻を所持した疑い。 署によると、８月中旬に同市で運転中の男を職務質問した際、大麻の所持や使用が疑われたため車を捜査した。「自分で使うために保管していた」と容疑を認めている。自宅からパイプなどの器具も見つかっており、使用容疑でも捜査中。 南日本新聞 | 鹿児島,[],[]
