headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
72歳無職男を暴行容疑で逮捕　鹿児島中央署　タクシー運転手を殴打――飲酒状態、容疑を否認（南日本新聞）,https://news.yahoo.co.jp/articles/18744a5562d651f1f8292363dc17ed1ad65f3281,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260924-00000005-minami-000-1-view.jpg?exp=10800,2026-09-24T23:35:22+09:00,2026-09-24T23:35:22+09:00,南日本新聞,minami,南日本新聞,259,（写真：南日本新聞社） 鹿児島中央署は２４日、暴行の疑いで、鹿児島市唐湊２丁目、無職の男（７２）を現行犯逮捕した。 逮捕容疑は同日午後７時４０分ごろ、同市上荒田町の駐車場で、タクシー運転手の５０代男性に顔面を殴るなどの暴行を加えた疑い。 署によると、同７時半ごろ、タクシー運転手が「乗客がお店のドアをたたいている」と１１０番した。止めに入った後、暴行を受けたとみられる。「運転手がたたかれたり、かまれたりしている」との別の通報もあった。 男は容疑を否認し、詳細な供述を拒んでいる。飲酒していた。 南日本新聞 | 鹿児島,[],[]
指宿市の75歳会社員、尺八で60代女性を十数回殴打――全身打撲の傷害容疑で逮捕（南日本新聞）,https://news.yahoo.co.jp/articles/d3ca5703fc0cf45bc5cf9e37b30a937e64fc437a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260924-00000004-minami-000-2-view.jpg?exp=10800,2026-09-24T21:45:21+09:00,2026-09-24T22:38:04+09:00,南日本新聞,minami,南日本新聞,185,（写真：南日本新聞社） 鹿児島県警指宿署は２４日、傷害の疑いで、指宿市山川成川、会社員の男（７５）を逮捕した。逮捕容疑は１７日午後７時４０分ごろから同８時ごろまでの間、県内の建物内で、６０代女性の背中や右脚を尺八で十数回殴るなどの暴行を加え、全身打撲など約２週間のけがを負わせた疑い。署によると、２人は面識がある。女性が「たたかれた」と通報した。 南日本新聞 | 鹿児島,[],[]
【速報】愛知・名古屋アジア大会 水球日本女子銀メダル　有馬（鹿児島情報高出身）貢献（南日本新聞）,https://news.yahoo.co.jp/articles/a1ef8a4c87299796d68880edfe695cb6083e29df,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260924-00000003-minami-000-1-view.jpg?exp=10800,2026-09-24T20:25:27+09:00,2026-09-24T20:25:27+09:00,南日本新聞,minami,南日本新聞,144,有馬優美 愛知・名古屋アジア大会第６日の２４日、水球女子の日本はリーグ最終戦で中国に敗れたが、４勝１敗の２位で２大会連続の銀メダルを獲得した。有馬優美（２９）＝宮崎県スポーツ協会、鹿児島情報高出身＝は最終戦でも活躍し、今大会の鹿児島県勢のメダル獲得第１号となった。 南日本新聞 | 鹿児島,[],[]
昼夜続く米軍機の指宿基地爆撃、家族で夜も光が漏れないよう電球に黒い布かぶせ防空壕に寝泊まり…終戦を迎え「これでもう空襲もない。怖いことはない」とほっとした【証言 語り継ぐ戦争】（南日本新聞）,https://news.yahoo.co.jp/articles/b8020e9c93d2c94d7b260374ba806bc09d321878,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260924-00000002-minami-000-1-view.jpg?exp=10800,2026-09-24T19:00:22+09:00,2026-09-24T19:00:22+09:00,南日本新聞,minami,南日本新聞,1232,２年ぶりに指宿へ帰省し、戦時中の体験を語る永嶺秀子さん＝指宿市十二町 ■永嶺秀子さん（１０５）＝米国カリフォルニア州ワトソンビル １９２１（大正１０）年に米国コロラド州で生まれた。鹿児島県出身の父は小学校の授業で米国のことを知って憧れを抱いたのがきっかけで、後にメキシコを経由して入国。農家などで働いた後で一度帰国し、加世田出身の母と結婚して再び渡米したと聞いている。 幼少期を過ごしたコロラドは、とても雪深い地だった。父は農家から畑を借り、テンサイや豆類を育てていた。当時は子どもの教育は日本に連れ帰って受けさせるのが普通だったため、私が小学生の時に家族で指宿へ引き揚げた。柳田小学校に転入した時、私は同年代の子たちよりも体が大きかったのを覚えている。 日中戦争が始まったのは、指宿高等女学校４年生の時だった。私は７人きょうだいの長女で、本当は卒業後に上の学校へ進みたかったが、弟たちがいたので諦めた。女学校の研究科で裁縫などを学んでいると、授業は途中から兵隊さんたちのシャツ作りに変わった。私は１着につき五つあるボタンの穴を縫う係に抜てきされ、毎日手縫いで作業を続けた。 その後、柳田小で代用教員を務めた。男の人たちが次々に出征し、教員が不足したためだ。校長から強く頼まれ泣く泣く引き受けたが、嫌で嫌で仕方がなかった。４５年に沖縄が陥落してからは、指宿も空襲が激化した。当時あった指宿海軍航空基地が標的となったのだろう。米軍機が基地を爆撃する様子は、実家の防空壕（ごう）の中からも見えた。 昼夜問わず米軍機が飛来し空襲警報が鳴るため、私たち家族は最初から防空壕の中に布団を敷いて寝ていた。夜も光が外に漏れないよう電球に黒い布をかぶせ、その下で手紙などを読んで過ごした。父と弟が畑へ作業に出た際、弾の破片が飛んできて弟が額にけがをしたこともある。終戦を迎えた時はほっとした。「これでもう空襲もない。怖いことはない」と思った。 指宿市出身の夫（晟さん）とは戦後、米国で初めて顔を合わせ、結婚した。先に妹が夫の弟と結婚したのが縁だった。夫は戦時中、満州へ出征していたが、戦争が激化して部隊はバラバラに。終戦により本隊が引き揚げてしまい、現地に残されたまま８年間帰ってこられなかったという。 結婚後はカリフォルニアに暮らし、後に小松菜や春菊など日本野菜を育てる農園を立ち上げて娘に引き継いだ。夫は２０２３年に９８歳で亡くなった。今回は法事のため２年ぶりに指宿へ帰ってきたが、やはり日本は懐かしい。親戚とも会って話せた。 今は日本も米国も平和で本当にいい時代だ。でも最近、世界はおかしな状況になってきている。米国にいると特にそう感じる。もしも戦争が始まったら、シリコンバレーなどがあるカリフォルニアなど西海岸が真っ先に狙われるのではないか。私たちは戦時中を生きてきた。今の平和がずっと続いてほしいと願っている。 （２０２６年９月２４日付紙面掲載） 南日本新聞 | 鹿児島,[],[]
名山堀の老舗「とくちゃん」惜しまれながら閉店…女将の徳田さん逝く「もうけより会話」貫いた４１年（南日本新聞）,https://news.yahoo.co.jp/articles/f75a7c10fe2b5dc038cc95d7cd2229a2f02499e1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260924-00000001-minami-000-2-view.jpg?exp=10800,2026-09-24T10:10:22+09:00,2026-09-24T16:10:54+09:00,南日本新聞,minami,南日本新聞,840,客と会話を楽しむ徳田浩子さん＝鹿児島市名山町の居酒屋「とくちゃん」（門間ゆきのさん提供） 鹿児島市名山町の居酒屋「とくちゃん」の女将（おかみ）こと徳田浩子さん（８６）が１１日、鹿児島市内の病院で亡くなり、店も閉店した。人気テレビ番組にも取り上げられ、県内外の多くの客に親しまれた老舗は惜しまれながら４１年の歴史に幕を閉じた。 【写真】惜しまれながら閉店した「とくちゃん」＝鹿児島市名山町 とくちゃんは、娘のゆかりさん（６１）が１８歳で上京した後、名山町の飲み屋街「名山堀」に開店。当時は周辺に県庁、県警本部、鹿児島税務署などもあり、常連客が増えた。 ほとんどの客に「好き嫌いはある？」と聞き、刺し身に始まり、ポテトサラダやおでん、卵焼き、締めのおにぎりと、仕入れた食材に合わせて振る舞うスタイル。徳田さんの古里・奄美の郷土料理「やぎ汁」もあり、風情豊かな雰囲気で低価格で存分に味わえる店と評判を呼んだ。人気テレビ番組「吉田類の酒場放浪記」（ＢＳ－ＴＢＳ）で取り上げられ、県外客も増えた。大勢が「千円でおなかいっぱいになる」と口をそろえるほどだった。 就職試験で鹿児島に来て以来の常連客門間ゆきのさん（３３）は「カウンターに立つとくちゃんがつくり出す分け隔てない雰囲気が好き」と自身も名山町に暮らすようになった。「とくちゃんに会うためにお店に通っていた」と語る。 ゆかりさんらによると、今年に入ってから徳田さんは闘病しながら店に立った。その姿を見た常連客が、皿洗いをしたり配膳したりと手伝いをしながら支えたという。もうけ度外視の振る舞うスタイルは相変わらずで「もうけより、お客との会話を大切にしていたのかな」とゆかりさんは話す。 ６月上旬に店の営業を終えた後に倒れ、市内の病院に運ばれた。入院中も見舞客が途切れず、本人も再開の夢を語っていたがかなわず他界した。９月１４日の葬儀の日に閉店した。ゆかりさんは「店が最期まで希望でした」と支えてくれた客に感謝する。 南日本新聞 | 鹿児島,[],[]
