num,group,media_jp,media_en,url
1,g01,共同通信,kyodonews,https://news.yahoo.co.jp/media/kyodonews
2,g01,読売新聞オンライン,yom,https://news.yahoo.co.jp/media/yom
3,g01,TBS NEWS DIG Powered by JNN,jnn,https://news.yahoo.co.jp/media/jnn
4,g01,スポニチアネックス,spnannex,https://news.yahoo.co.jp/media/spnannex
5,g02,時事通信,jij,https://news.yahoo.co.jp/media/jij
6,g03,朝日新聞デジタル,asahi,https://news.yahoo.co.jp/media/asahi
7,g03,テレビ朝日系（ANN）,ann,https://news.yahoo.co.jp/media/ann
8,g03,tenki.jp,tenki,https://news.yahoo.co.jp/media/tenki
9,g03,毎日新聞,mai,https://news.yahoo.co.jp/media/mai
10,g03,オリコン,oric,https://news.yahoo.co.jp/media/oric
11,g04,スポーツ報知,sph,https://news.yahoo.co.jp/media/sph
12,g04,日テレNEWS,nnn,https://news.yahoo.co.jp/media/nnn
13,g04,ウェザーマップ,wmap,https://news.yahoo.co.jp/media/wmap
14,g04,産経新聞,san,https://news.yahoo.co.jp/media/san
15,g04,デイリースポーツ,dal,https://news.yahoo.co.jp/media/dal
16,g04,日刊スポーツ,nksports,https://news.yahoo.co.jp/media/nksports
17,g04,ロイター,reut,https://news.yahoo.co.jp/media/reut
18,g04,Full-Count,fullcount,https://news.yahoo.co.jp/media/fullcount
19,g04,MBSニュース,mbsnews,https://news.yahoo.co.jp/media/mbsnews
20,g04,FNNプライムオンライン（フジテレビ系）,fnn,https://news.yahoo.co.jp/media/fnn
21,g05,ABEMA TIMES,abema,https://news.yahoo.co.jp/media/abema
22,g05,FNNプライムオンライン,fnnprimev,https://news.yahoo.co.jp/media/fnnprimev
23,g05,Yahoo!ニュース オリジナル 特集,ytokushup,https://news.yahoo.co.jp/media/ytokushup
24,g05,ENCOUNT,encount,https://news.yahoo.co.jp/media/encount
25,g05,文春オンライン,bunshun,https://news.yahoo.co.jp/media/bunshun
26,g05,HBCニュース北海道,hbcv,https://news.yahoo.co.jp/media/hbcv
27,g05,Bloomberg,bloom_st,https://news.yahoo.co.jp/media/bloom_st
28,g05,静岡放送（SBS）,sbsv,https://news.yahoo.co.jp/media/sbsv
29,g05,中国新聞デジタル,chugoku,https://news.yahoo.co.jp/media/chugoku
30,g05,読売テレビ,ytv,https://news.yahoo.co.jp/media/ytv
31,g05,ITmedia NEWS,zdn_n,https://news.yahoo.co.jp/media/zdn_n
32,g05,スポーツナビ,spnaviv,https://news.yahoo.co.jp/media/spnaviv
