num,group,media_jp,media_en,url
1,a,共同通信,kyodonews,https://news.yahoo.co.jp/media/kyodonews
2,a,読売新聞オンライン,yom,https://news.yahoo.co.jp/media/yom
3,b,TBS NEWS DIG Powered by JNN,jnn,https://news.yahoo.co.jp/media/jnn
4,c,スポニチアネックス,spnannex,https://news.yahoo.co.jp/media/spnannex
5,d,時事通信,jij,https://news.yahoo.co.jp/media/jij
