headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
〈詳報〉鹿児島県いちき串木野市で中高生4人が溺れ、3人不明　岩場から2人が飛び込み、助けようと2人が続く　うねる波、遊泳禁止エリア（南日本新聞）,https://news.yahoo.co.jp/articles/c5f1d8daf294ca39d96cc63dda2e9033837cc40c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260828-00000004-minami-000-2-view.jpg?exp=10800,2026-08-28T22:15:23+09:00,2026-08-28T22:25:22+09:00,南日本新聞,minami,南日本新聞,546,中高生が流された海を見つめる関係者＝２８日午後７時半ごろ、鹿児島県いちき串木野市西島平町 ２８日午後３時３５分ごろ、鹿児島県いちき串木野市の照島神社近くの海岸で、「高校生１人、中学生３人がおぼれかけている」と一緒にいた男子中学生から１１９番があった。串木野海上保安部によると、４人はいずれも男子で、同市在住。中学生１人は救助されたが、３人が行方不明となった。海保などが捜索している。 【写真】〈詳細〉中学生が救助された現場付近の地図を見る 行方不明者は中学生（１３）、中学生（１４）、高校生（１７）。中高生５人は海に飛び込んで遊ぼうと、神社近くの岩場にいた。最初に飛び込んだ高校生と中学生が溺れたため、助けようと中学生２人が海に入り、沖に流された。付近は水深４〜７メートル。 救助された中学生（１２）は通報から約４５分後、照島神社から西南西に約５００メートル沖で、巡視艇に発見された。助けようと飛び込んだ生徒で、衣類は身に着けていなかった。すり傷を負い、病院に搬送されたが、命に別条はない。 現場は遊泳禁止エリアで、海上は当時、波の高さ１．５メートルでうねりがあり、５メートルの風が吹いていた。午後９時までに航空機による捜索をいったん終え、巡視船など３隻で捜している。 南日本新聞 | 鹿児島,[],[]
鹿児島市でオートバイ事故死、ブレーキ痕なし――死因は内因性くも膜下出血（南日本新聞）,https://news.yahoo.co.jp/articles/71cceeebaa622231d49046cc8c1c934b43bf6f97,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260828-00000003-minami-000-1-view.jpg?exp=10800,2026-08-28T21:15:23+09:00,2026-08-28T21:15:23+09:00,南日本新聞,minami,南日本新聞,172,（写真：南日本新聞社） ２８日午後０時５５分ごろ、鹿児島市吉野町の国道１０号で、同市の職業不詳男性（５６）が運転するオートバイが進行方向左側のガードレールに衝突した。病院に搬送されたが死亡した。死因は内因性のくも膜下出血。 鹿児島中央署によると、現場は片側２車線の右カーブ。ブレーキ痕はなく、同署が事故原因を調べている。 南日本新聞 | 鹿児島,[],[]
【速報】いちき串木野市の海岸で中高生4人流される　1人は救助（南日本新聞）,https://news.yahoo.co.jp/articles/b0d9417c44935e28e8a4efbf266918c2a2ca52ad,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260828-00000002-minami-000-2-view.jpg?exp=10800,2026-08-28T18:15:31+09:00,2026-08-28T18:20:03+09:00,南日本新聞,minami,南日本新聞,221,（写真：南日本新聞社） ２８日午後３時４５分ごろ、鹿児島県いちき串木野市の照島神社近くの海岸で、高校生１人と中学生３人が沖に流されていると消防に通報があった。串木野海上保安部の巡視艇が男子中学生１人を救助したが、午後６時現在、残る３人が行方不明となり、捜索している。 【写真】いちき串木野市の場所を地図で確認 同海保によると、救助された１人は会話可能な状態だった。救助された現場は照島神社から西南西に約５００メートル。 南日本新聞 | 鹿児島,[],[]
