headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【速報】鹿児島県鹿屋市議選　当選者26人決まる（南日本新聞）,https://news.yahoo.co.jp/articles/f00016bff917e7cc9c99c6e97a4bb7325691895c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260426-00000013-minami-000-1-view.jpg?exp=10800,2026-04-26T23:25:27+09:00,2026-04-26T23:25:27+09:00,南日本新聞,minami,南日本新聞,760,"（写真：南日本新聞社） 任期満了に伴う鹿児島県鹿屋市議選は２６日投票があり、即日開票の結果、新議員２６人が決まった。当選者の内訳は現職１９、新人７。党派別では自民１、公明２、共産１、国民１、他はいずれも無所属。 定数２６に対し、現職２１、新人９の計３０人が立候補した。各候補者は人口減少対策を軸に、産業活性化や子育て支援、教育や高齢者福祉の充実を連日訴え、支持拡大を図った。 当日有権者数は７万７３４６人（男３万６５１０人、女４万８３６人）。投票者総数は３万４７６４人（有効３万４４６０、無効３０２、持ち帰り・その他２）。投票率は４４．９５％で、前回２０２２年を１．６３ポイント下回り、０６年の合併以降で最低だった。 ◇鹿屋市議選開票結果 (26日午後10時35分、選管最終) (定数26－30、得票順) 当 落司ひとみ 2,157 当 山下 健二 2,044 当 横井さくら 1,743 当 西薗美恵子 1,673 当 花牟礼 薫 1,612 当 梶原 正憲 1,604 当 福田 伸作 1,481 当 永山 勇人 1,461 当 原田 靖 1,370 当 土屋 耕二 1,361 当 児玉美環子 1,301 当 米永 淳子 1,117 当 岩松 近俊 1,089 当 繁昌 誠吾 1,078 当 伊野 幸二 1,072 当 安田謙太郎 987 当 下之園政宏 973 当 谷川 義弥 966 当 下本地 隆 949 当 岡元 浩一 940 当 宮園 広文 935 当 柴立 豊子 907 当 今村 光春 893 当 市來 洋志 886 当 松野 清春 872 当 川﨑 勝 830 田辺 水哉 767 泊 義秋 584 角﨑 洋光 440 下平瀬哲郎 367 (案分票の小数点以下は切り捨て) 南日本新聞 | 鹿児島",[],[]
【速報】鹿児島県肝付町議選　当選者12人決まる（南日本新聞）,https://news.yahoo.co.jp/articles/c8929fb2f4d527f0113b35f0cf01ddd0a6070b2a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260426-00000012-minami-000-3-view.jpg?exp=10800,2026-04-26T22:35:21+09:00,2026-04-26T22:47:29+09:00,南日本新聞,minami,南日本新聞,513,（写真：南日本新聞社） 任期満了に伴う鹿児島県の肝付町議会議員選挙は２６日投開票があり、新議員１２人が決まった。内訳は現職７、新人４、元職１でいずれも無所属。 前回２０２２年と比べ２減となる定数１２に対し計１６人が立候補した。各候補者は、人口減少対策や農林水産業の担い手不足解消、内之浦地区の活性化策などを主張。それぞれの地盤のほか、選挙カーで町内を回りながら支持固めを図った。 当日有権者数は１万１０４１人（男５３１１人、女５７３０人）。投票者総数は６２７４人（有効６２２１、無効５３）。投票率は５６．８２％で、前回２０２２年を６．１０ポイント下回った。 ◇肝付町議選開票結果 (26日午後9時29分、選管最終) (定数12－16、得票順) 当 吉原 光 753 当 益山 二郎 625 当 有留 智哉 620 当 小玉 秀行 517 当 前田 美春 452 当 進藤 鈴子 422 当 木村 實馬 413 当 清水 幸祐 366 当 柳 一夫 350 当 中村 かよ 338 当 前原 和幸 336 当 原口 泉 307 宮後 竜一 269 松元 健作 256 日高 正平 122 窪田 哲郎 75 南日本新聞 | 鹿児島,[],[]
育て!!　未来のオリンピック選手――指宿市西方にトランポリンや器械体操の常設練習場完成　指導者の葛迫さん、4000万円投じ整備（南日本新聞）,https://news.yahoo.co.jp/articles/3a1ad27721489dc4433a8abc4b3687ad293e35e6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260426-00000011-minami-000-1-view.jpg?exp=10800,2026-04-26T20:30:22+09:00,2026-04-26T20:30:22+09:00,南日本新聞,minami,南日本新聞,733,新たに完成した施設で、トランポリンの練習に励む子どもたち＝指宿市西方 鹿児島県指宿市西方に、トランポリンや器械体操の常設練習場が誕生した。同市で５年前から指導する会社員、葛迫龍司さん（３８）が「本格的な練習環境を整え、トップ選手を輩出したい」と私財を投じて整備した。同様の施設は県内でも珍しく、南薩地域では初という。 【写真】トランポリンの練習に励む選手を見守る葛迫龍司さん（左）＝指宿市西方 「指宿トランポリンジム」と命名し、約４０００万円かけて整備した。約１６０平方メートルの鉄骨造で、天井の高さは約８メートル。複数の跳躍器具をはじめ、器械体操の床やつり輪、鉄棒などもそろえた。１日にオープンし、現在は３歳から６０代の約９０人が練習する。 葛迫さんは鹿児島工業高等専門学校（霧島市）の学生時代に競技と出合い、卒業後は県外の建設会社で働きながら現地のクラブなどで腕を磨いた。数年前に帰郷し、県内各地に教室がある「トランポリンクラブＲＡＲＡ」の指導者として指宿教室を開講した。 これまでは市内の公共体育施設を使用していたが、１台２００キロ超ある器具の組み立てや片付けで毎回３０分近くかかっていた。大会で上位を目指す選手が年々増える中、曜日や時間を気にせず練習できる施設の必要性を痛感したという。 昨年１０月に着工。器具の搬入や基礎工事では、葛迫さんが勤める丸新建設（指宿市）の社員らが協力してくれたといい「職場の理解と協力のおかげで実現した」と感謝する。完成した施設は選手らにも好評で、丹波小学校６年の堀之内瑠花さんは「競技用がいつでも使えるし、できることが増えてうれしい。頑張って練習して、将来はオリンピック選手を目指したい」と夢を語った。 南日本新聞 | 鹿児島,[],[]
南国・鹿児島にスズラン…？　それも１万株――伊佐市の富ケ丘集落「すずらんの里」で見頃　住民9人が手入れ「愛らしい姿、楽しんで」（南日本新聞）,https://news.yahoo.co.jp/articles/fd484e8684ae35f443a4039518bb6f469cb6b6b0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260426-00000010-minami-000-1-view.jpg?exp=10800,2026-04-26T20:00:21+09:00,2026-04-26T20:00:21+09:00,南日本新聞,minami,南日本新聞,358,かれんな花を咲かせるスズラン＝２２日、伊佐市大口白木 鹿児島県伊佐市大口白木の富ケ丘集落にある「すずらんの里」で、１万株のスズランが見頃を迎えた。白くかれんな花が訪れた人を癒やしている。例年より２、３日開花が早く、４月いっぱい楽しめるという。 【写真】〈別カット〉かれんな花を咲かせるスズラン＝２２日、伊佐市大口白木 住民９人でつくる「すずらん同好会」が、草取りや肥料代わりに落ち葉をまくなどの手入れを続けている。メンバーの福山美津子さん（７７）は「今年は花が少なめだが、愛らしい姿を楽しんでほしい」と話す。 日置市東市来町から訪れた介護職員、大迫一豊さん（６６）は「鹿児島でスズランを見られるところはあまりない。また見に来たい」と話した。伊佐市と出水市を結ぶ国道４４７号沿いに案内板がある。 南日本新聞 | 鹿児島,[],[]
【速報】バスケットボールB2リーグ　鹿児島レブナイズ、最終戦を白星で飾る　熊本に102－94（南日本新聞）,https://news.yahoo.co.jp/articles/ab38f1e1ee075278da97a01d428ad714c97cb607,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260426-00000009-minami-000-1-view.jpg?exp=10800,2026-04-26T16:35:26+09:00,2026-04-26T16:35:26+09:00,南日本新聞,minami,南日本新聞,165,（写真：南日本新聞社） バスケットボールりそなＢリーグ２部（Ｂ２）西地区４位の鹿児島レブナイズは２６日、敵地で同地区３位の熊本とレギュラーシーズン最終戦を戦い、１０２－９４で勝利を収めた。通算成績は２８勝３２敗。 レブナイズは５月１〜３日、敵地でプレーオフ準々決勝（２戦先勝）を西地区１位の神戸と対戦する。 南日本新聞 | 鹿児島,[],[]
家計の味方、鶏肉に異変…値上げ止まらず、過去10年で最高水準　円安で飼料代高騰、節約志向で需要増　小売店は売り上げ維持に躍起（南日本新聞）,https://news.yahoo.co.jp/articles/294a4c136044b815dc6b8c28a54ce42abe31d861,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260426-00000008-minami-000-1-view.jpg?exp=10800,2026-04-26T15:00:22+09:00,2026-04-26T15:00:22+09:00,南日本新聞,minami,南日本新聞,1287,唐揚げを調理する店員。仕入れ値は上がり続けている＝鹿児島市の天下とり鹿児島草牟田店 牛・豚肉と比べて割安感があり、「家計の味方」と言われてきた国産鶏肉の値上げが止まらない。円安による飼料代の上昇のほか、物価高に伴う節約志向で需要が伸び、卸値は過去１０年で最も高い水準にある。鹿児島県は飼育数、出荷量ともに全国トップ。生産者は中東情勢の緊迫化で一層の経費増を懸念し、小売店も売り上げや客足を維持しようと躍起だ。 【写真】ブロイラー卸売り価格の推移が一目で分かる表 「鶏なら安いという感覚はもうない」。唐揚げ店「天下とり鹿児島草牟田店」の中尾陸洋店長（４６）はぼやく。１～３月の仕入価格は、もも肉が前年同期と比べて１割強、むね肉は３割ほど上がった。 ■ぎりぎりの利益 ３年前の開店以降、２回値上げした。弁当の付け合わせを安い材料で賄うなど原材料費をできる限り抑えてきたが、緊迫化する中東情勢で油やプラスチック容器も高騰。「価格を据え置きたくても利益はぎりぎり。売れ行きに影響しないよう品質を保ちながらなんとか持ちこたえたい」と中尾店長。仕入れ先の変更や冷凍鶏肉の使用も模索する。 農林水産省のまとめでは、２０２５年度国産鶏肉の１キログラム当たりの卸値は、この１０年で最高値、最安値とも上昇している。１５年度と比べ、むね肉の最高値は２３６円、もも肉は１６５円それぞれ上がった。 円安と２２年に始まったロシアによるウクライナ侵攻で飼料価格が高騰しているのが主因だ。年間約１８００万羽のブロイラー（肉用鶏）を生産するマルイ農協（出水市）によると、２１年と比べ約４割高い。 さらに、ブラジルやタイからの輸入鶏肉が円安で高止まりしているのに加え、現地での消費も増えていることも国産の押し上げ要因になっている。一方、高病原性鳥インフルエンザは採卵鶏農場の発生が多く、影響は限定的という。 マルイ農協企画広報課の石澤亮主任（４７）は「原油高が進むと飼料の輸送費がこれまで以上にかさむ可能性がある。中東情勢次第では飼料そのものを確保できるかも心配だ」と話す。 鶏は暑さに弱く、気温が高くなると食が細くなり生育に響く。ファンやミストを使った鶏舎の温度管理が欠かせない。石澤主任は「経費が下がる材料が見つからない」と気をもむ。 ■買い方を工夫 県内でスーパー４店舗を展開する「なりざわ」（鹿児島市）は４月中旬、仕入価格が上昇したため、１００グラム当たりの販売価格を前年同時期と比べ、もも肉で約４０円、むね肉で約１０円上げた。 客足が遠のかないよう、毎週特売日を設け、１５～２０％安く売り出している。成沢洋社長（６３）は「世界情勢や人件費高は、自社努力だけではどうにもできない。お客さんには、食材を賢く買って調理する方法を提案したい」と理解を求める。 牛肉より豚肉、豚肉より鶏肉－。消費者には節約志向が高まっている。店を訪れた鹿児島市のパート松山幸代さん（４０）は「子どもたちに肉を食べさせたいので、鶏肉はよく使う。安い店を探したり、まとめ買いをしたりと工夫したい」と話した。 南日本新聞 | 鹿児島,[],[]
土器が割れちゃった…どうしよう!?　大丈夫、くす玉だから――指宿市考古博物館「時遊館ＣＯＣＣＯはしむれ」が開館30周年　職員が粋なお祝い（南日本新聞）,https://news.yahoo.co.jp/articles/27959009a424fc7879134ebe35a861b7d83cc290,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260426-00000007-minami-000-1-view.jpg?exp=10800,2026-04-26T13:00:22+09:00,2026-04-26T13:00:22+09:00,南日本新聞,minami,南日本新聞,531,土器型のくす玉を割り、開館３０周年を祝う関係者と児童＝指宿市の時遊館ＣＯＣＣＯはしむれ 鹿児島県指宿市考古博物館「時遊館ＣＯＣＣＯはしむれ」が開館３０周年を迎え、記念セレモニーがあった。関係者と近くの丹波小学校の６年生８７人が出席。地元で出土した土器を模した職員手作りのくす玉を割って節目を祝った。 【写真】〈職員が手作り〉土器型くす玉の写真をアップで見る 同館は１９９６年、国指定史跡である指宿橋牟礼川遺跡の隣接地に開館した。市内の遺跡から出土した土器など約３００点を展示し、古代の暮らしを光や音で体験できるドームもある。近年はアクセサリーなどを作る月替わりの体験が人気で、累計入館者数は１００万人を超える。 ２０日のセレモニーでは、館長の田之上典昭教育長が児童代表に記念ステッカーを贈呈。児童は学芸員の案内で、常設展示を見学した。６年の和田誠悟さんは「昔の土器やゲームがたくさんあって、飽きずに楽しめる。また遊びに来たい」と話した。 同館は３０周年記念事業として、５月５日にある「はしむれこどもフェスティバル」の規模を例年より拡大させる。秋ごろには、未公開の出土品を展示する企画展を開く。来年２月にはシンポジウムの開催も予定している。 南日本新聞 | 鹿児島,[],[]
水迫畜産不適正表示　ふるさと納税返礼品　8市町の寄付総額は7億7000万円　「応援しようという人が減るのでは」影響懸念（南日本新聞）,https://news.yahoo.co.jp/articles/5d70f4b161273baa1f041bff386d956e2629f68a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260426-00000006-minami-000-2-view.jpg?exp=10800,2026-04-26T12:05:27+09:00,2026-04-26T14:05:41+09:00,南日本新聞,minami,南日本新聞,580,水迫畜産の不適正表示を巡って、８市町の返礼品判明分の件数と寄付額が一目で分かる図 水迫畜産による牛肉の不適正表示問題で、ふるさと納税の返礼品として対象の商品を発送していた県内８市町は、寄付者への返礼品の対応に今も追われている。関係者は「寄付者が減り、事業に影響が出るのでは」と心配する。 各自治体によると、発送された件数は計４万７４５７件で、寄付額は７億７０８１万円に上る。 発送が約２万３８００件と最多だった南九州市は水迫畜産からの情報を基に、発送した商品の個体識別番号や品種を１件ずつ精査する作業が続く。寄付を受けながら、発送を見合わせている分も約１万９６００件あるが、まだ対応は決まっていない。 市幹部は「応援しようという寄付者が減って税収が落ち込み、財源とする事業に影響が出ないか」とこぼす。 水迫畜産は各自治体に対し、代替品を送る意向を示しているものの、具体策は見えていない。 指宿市は発送を見合わせている分について、市内の別の返礼品で代替できないか検討しているが、小規模事業者が多いため数量の確保が課題という。 鹿児島市は発送を見合わせている２４３０件の対象者に、同等の返礼品を選べるギフトコードを送り理解を求める予定。ふるさと納税・シティプロモーション戦略課の安永めぐみ課長は「４月中にも案内する準備をしている」と話した。 南日本新聞 | 鹿児島,[],[]
【速報】水迫畜産に家宅捜索　畜産県・鹿児島で過去最大規模の牛肉不正表示、刑事事件に発展　鹿児島県警（南日本新聞）,https://news.yahoo.co.jp/articles/d38ea1cee619c97175418aaa49c21afef47625e8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260426-00000005-minami-000-4-view.jpg?exp=10800,2026-04-26T11:55:21+09:00,2026-04-26T12:16:10+09:00,南日本新聞,minami,南日本新聞,717,水迫畜産の加工場に入る鹿児島県警の捜査員ら＝２６日午前１１時３５分ごろ、鹿児島市喜入瀬々串町 水迫畜産（指宿市山川、水迫栄治社長）が牛肉商品の牛種などを不適正に表示していた問題で、鹿児島県警は２６日、表示を偽って違法に販売した疑いが強まったとして、食品表示法違反容疑で、鹿児島市の加工場に家宅捜索に入った。県内で過去最大規模の不適正表示問題は強制捜査に発展した。 〈関連〉水迫畜産不適正表示 ふるさと納税返礼品 8市町の寄付総額は7億7000万円 「応援しようという人が減るのでは」影響懸念 同日午前１１時半ごろ、鹿児島市喜入瀬々串町の加工場には約２０人の捜査員が入った。書類の精査や関係者への事情聴取をする。指宿市の事務所も捜索する。 同社は少なくとも２０２３年から約１年間、事実と異なる表示で販売したとして、農水省が今年３月に同法などに基づく是正指示・勧告を出していた。不適正表示があった商品の大半はふるさと納税の返礼品だった。 今月２１日には同省と県の合同で立ち入り検査。同社はこれまで「法令順守の意識が希薄だった」などと説明していた。 農水省の調べでは、水迫畜産はステーキや切り落としなどの原料牛肉に肉専用種や交雑種、ホルスタイン種を使っていながら「黒毛和牛」と表示。沖縄県産や宮崎県産を含んだ商品も「鹿児島県産」として販売した。さらに、異なる個体識別番号の原料牛肉を複数使っているのに一つの識別番号のみを表示した。 水迫畜産は１９７２年７月設立。同畜産によると、２５年３月期の売上高は５７億７０００万円。従業員は約６０人。県内では指宿、南九州、姶良、鹿児島４市に牧場があり、鹿児島市に加工施設を持つ。 南日本新聞 | 鹿児島,[],[]
鹿児島市の春を彩る「大ハンヤ」　華やかな衣装で1200人が躍動　「踊るのも見るのも楽しめる」　26日まで（南日本新聞）,https://news.yahoo.co.jp/articles/67f7c2c676bf7d063e612213385cc4e17beb64c9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260426-00000004-minami-000-1-view.jpg?exp=10800,2026-04-26T11:00:24+09:00,2026-04-26T11:00:24+09:00,南日本新聞,minami,南日本新聞,504,躍動感あふれる演舞を披露する参加者＝２５日、鹿児島市のウオーターフロントパーク 「かごしま春祭大ハンヤ２０２６」が２５日、鹿児島市で始まった。メイン会場のウオーターフロントパーク（本港新町）を中心に、華やかな衣装をまとった踊り連が躍動感ある演舞を披露した。２６日まで。 【写真】〈華やかな衣装に注目!!〉躍動感あふれる演舞を披露する踊り子ら＝２５日、鹿児島市のウオーターフロントパーク かごしま春祭大ハンヤ振興会が主催し２４回目。初日は２３のよさこい踊り連と３５のダンスチームが県内外から参加した。舞台上と観客から「ヨイヤサー」のかけ声が響き、会場は熱気に包まれた。 「祭り屋 燈波」（日置市）の溝口桃子さん（１９）は「踊るのも見るのも楽しめるのがよさこいの魅力。観客も手拍子をしてくれて一緒に盛り上がれた」と喜んだ。激しい雨の中での演舞となった「あばれん」（宮崎県）の齊藤ひろみさん（５０）は「天気はどうであれ、桜島をバックに踊るのはテンションが上がる。見る人が少しでも笑顔になってほしい」と話した。 両日で約１２００人が参加する。２６日はウオーターフロントパークなど３会場である。 南日本新聞 | 鹿児島,[],[]
悪石島で震度3…30分後に震度2も　震源地はトカラ列島近海（南日本新聞）,https://news.yahoo.co.jp/articles/2e5cc438f6d3429bb2a7d500df08c30eb59bb676,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260426-00000003-minami-000-2-view.jpg?exp=10800,2026-04-26T09:35:25+09:00,2026-04-26T09:37:26+09:00,南日本新聞,minami,南日本新聞,142,（写真：南日本新聞社） ２６日午前７時１４分ごろ、鹿児島県十島村悪石島で震度３、午前７時４７分ごろに震度２の地震があった。 気象庁によると、いずれも震源地はトカラ列島近海で、震源の深さは約２０キロ。地震の規模はそれぞれマグニチュード３．３、２．４と推定される。 南日本新聞 | 鹿児島,[],[]
