headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
駐車場の車内で薬物譲り渡した疑い（南日本新聞）,https://news.yahoo.co.jp/articles/16261b9bbad9b58794c5853fb230223b6036416d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260402-00000014-minami-000-1-view.jpg?exp=10800,2026-04-02T22:15:21+09:00,2026-04-02T22:15:21+09:00,南日本新聞,minami,南日本新聞,204,（写真：南日本新聞社） 鹿児島中央署は２日、麻薬取締法違反（譲り渡し）の疑いで、鹿児島市坂元町、解体業の男（２９）を３月１０日に逮捕したと発表した。鹿児島地検は同罪で３１日に起訴した。 起訴状などによると、２０２５年２月４日ごろ、同市の駐車場の車内で、乾燥大麻約４グラムと油状の麻薬約２．５グラムを計５万６千円で譲り渡したとされる。 署によると、別の麻薬事件の突き上げ捜査で発覚した。 南日本新聞 | 鹿児島,[],[]
覚醒剤使用と譲り渡した疑い　逮捕の男はいずれも否認（南日本新聞）,https://news.yahoo.co.jp/articles/f757e4e17ccf9a4f881278e954c9f423a4c76ff8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260402-00000013-minami-000-1-view.jpg?exp=10800,2026-04-02T22:05:23+09:00,2026-04-02T22:05:23+09:00,南日本新聞,minami,南日本新聞,255,（写真：南日本新聞社） 鹿児島中央署は２日、覚醒剤取締法違反（使用）の疑いで、広島県福山市御門町３丁目、ゲーム機製造販売業の男（６４）を３月１０日に逮捕したと発表した。鹿児島地検が同罪で３１日に起訴した。 起訴状などによると、２月上旬から同１７日ごろまでの間、広島県内またはその周辺で覚醒剤を使用したとされる。署はこの他、２０２５年９月上旬に覚醒剤若干量を有償で譲り渡したとして、同法違反（譲り渡し）の疑いで２６年２月１７日に逮捕していた。 署によると、男はいずれの事案も否認している。 南日本新聞 | 鹿児島,[],[]
九州地区高校野球鹿児島県予選　川内、鹿屋中央が４強入り（南日本新聞）,https://news.yahoo.co.jp/articles/159cf178e0ca8573b5f29c8d1372dfa7bae3291f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260402-00000012-minami-000-1-view.jpg?exp=10800,2026-04-02T21:55:21+09:00,2026-04-02T21:55:21+09:00,南日本新聞,minami,南日本新聞,834,９回裏鹿屋中央２死二塁、田中蓮の中越え二塁打で二走徳田（中央）が生還する＝平和リース 第１５８回九州地区高校野球大会鹿児島県予選は２日、鹿児島市の平和リース球場で準々決勝２試合があった。川内は４－３で徳之島を破り、鹿屋中央は鹿児島に２－１でサヨナラ勝ちしベスト４が出そろった。 【写真】７回裏川内２死一、二塁、堀之内が左越えの適時打を放つ＝平和リース ４日は同球場で準決勝２試合がある。 ▽準々決勝第１試合 川内４－３徳之島 ○…川内は走者を一塁に置くと、犠打で確実に得点圏に進めた。そつのない攻撃で接戦を制し、森園監督は「要所で粘り強さが出ている。大会を通し成長を感じる」と目を細めた。 練習試合でバントミスが目立ち、全員が納得のいくまで練習を重ねたことが強みになっている。同点の７回無死一、二塁で打席に立った１番近藤は、２ストライクに追い込まれたものの「自信を持っていけた」。スリーバントを決めると、相手のミスを誘い逆転。４番堀之内も適時打で続き突き放した。 試合後、選手は「つなぐ精神だった」と口をそろえた。堀之内は「低いライナーを意識した打撃と犠打で先制点を取りたい」。九州大会のかかる次を見据えた。 ▽準々決勝第２試合 鹿屋中央２－１鹿児島 ○…公式戦初先発、鹿屋中央の背番号１１鶴田が丁寧な投球を続けた。直球と縦に落ちるカーブのコンビネーションが有効で相手打線に的を絞らせず、四死球はゼロだった。 「安定した守備のおかげで、打たせて取ろうと強い気持ちで投げられた」。堅守にも支えられた鶴田は９三振を奪い、スコアボードに「０」を重ねた。 土壇場で同点とされたが、攻撃陣が奮起した。「鶴田の頑張りに応えたかった」と６番田中蓮。９回裏２死二塁でストレートを振り抜き中越え打を放ち試合を決めた。 ノーシードながら昨春に続き４強。山本監督は「自分のサインミスも多かった。点を取りきれなかったのが反省点だが、投手の成長は次につながる」と語った。 南日本新聞 | 鹿児島,[],[]
春の甘酸っぱい香り、かめつぼ2万2000本ずらり――霧島市福山の黒酢づくり始まる（南日本新聞）,https://news.yahoo.co.jp/articles/7d4c5524a898dab172059f1c5cd6e2b8c23b75a3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260402-00000011-minami-000-1-view.jpg?exp=10800,2026-04-02T21:00:22+09:00,2026-04-02T21:00:22+09:00,南日本新聞,minami,南日本新聞,382,かめつぼにこうじを入れ、黒酢を仕込む職人たち＝２日、霧島市福山の福山黒酢 鹿児島県霧島市福山で、特産の黒酢が春の仕込みシーズンを迎えている。甘酸っぱい香りが漂う福山黒酢のつぼ畑では２日、かめつぼに職人たちが原料を丁寧に入れた。５月まで続く。 【写真】〈別カット〉かめつぼにこうじを入れ、黒酢を仕込む職人たち＝２日、霧島市福山の福山黒酢 職人は蒸した有機玄米と米こうじ、地下水を入れたつぼの水面に浮かせるように「振りこうじ」をまいた。同社の黒酢「桷志田（かくいだ）」は長期熟成させるのが特徴。半年ほどかけて酢に仕上げた後、さらに３年以上熟成させてから出荷する。 同社は約２万２０００本のつぼで黒酢を生産しており、仕込みは春と秋の２回。この春は１２００本ほど作業する。竹下義隆商品管理部長（５１）は「健康に良く、おいしい黒酢にしたい」と話した。 南日本新聞 | 鹿児島,[],[]
母語はビサヤ語、小5で来日「漢字が難しくてフィリピンに帰りたかった」…それでも日本語を必死で学びながら、18歳で英検1級に合格（南日本新聞）,https://news.yahoo.co.jp/articles/5d995ff1e580dde643f580ea06ea0cdacff2ee24,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260402-00000010-minami-000-1-view.jpg?exp=10800,2026-04-02T20:30:22+09:00,2026-04-02T20:30:22+09:00,南日本新聞,minami,南日本新聞,639,合格証書を手に笑顔の山本美南さん（左）と比地直子教諭＝出水市の出水商業高校 鹿児島県出水市の出水商業高校商業科を今春卒業した山本美南さん（１８）は、日本英語検定協会が実施する実用英語技能検定（英検）１級に合格した。母語はフィリピンのビサヤ語で、小学５年で来日。日本語の勉強も重ねながら、大学上級程度の難関を突破し、「飛び上がるくらいうれしい」と声を弾ませた。 ▶「外国人を“敵”のように扱う最近の風潮には胸が痛む」――排外や規制強化ではなく「共生策」を。現場の声は届くのか 山本さんは父が日本人、母がフィリピン人で、フィリピンで生まれた。４歳の時、母の勧めで英語に触れられる幼稚園に通った。小学５年から出水で暮らし「漢字が難しくてフィリピンに帰りたかった」とカルチャーショックに陥ったが、日本語を必死に学んだ。 傍ら、英語の本やニュース記事を読み込んだ。高校１年生で大学中級程度の英検準１級に合格。１級は筆記とリスニングの１次試験に昨年合格したが、２次試験の面接は今年３月に２度目の挑戦をし、ＩＴについて意見を述べた。 指導した比地直子教諭（４７）によると、１級は１万～１万５０００語レベルの語彙（ごい）力が必要。英語で論文が書けたり、議論できたりするほどという。「素晴らしい努力。やり切る覚悟が実を結んだ」とたたえる。 山本さんはシステムエンジニアを夢見て４月からは専門学校で学ぶ。「海外でも日本でも通用する多言語対応のシステムをつくりたい」と語った。 南日本新聞 | 鹿児島,[],[]
完成から5年以上も渡れぬ橋、2026年度末までに開通か――右岸民有地の相続人が石と木の移転始める　いちき串木野市（南日本新聞）,https://news.yahoo.co.jp/articles/d8a0641a9c50bdf968d1676f615270e6bbe1e0dc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260402-00000009-minami-000-1-view.jpg?exp=10800,2026-04-02T20:00:21+09:00,2026-04-02T20:00:21+09:00,南日本新聞,minami,南日本新聞,432,石や木の移転が進む右岸たもとの民有地（手前）＝いちき串木野市平江 鹿児島県いちき串木野市は２０２０年に五反田川に新設したまま５年以上にわたり未開通の橋について、２６年度末までに開通を目指す方針を明らかにした。買収交渉が難航していた民有地の相続人が３月下旬、この土地に残る石や木の移転を始めた。市は完了後、速やかに工事を再開したい考え。 ▶〈関連〉完成後6年経っても渡れない橋、ついに開通へ いちき串木野市「土地相続人の同意得た」 橋は市街地と平江地区を結ぶ災害避難道として計画され、１６年に着工、２０年に完成した。土地買収がまとまらず、橋を市道につなげられなかった右岸たもとの地権者が昨年亡くなり、市は相続人から今年５月末までに石や木の移転を終えることで同意を得ていた。 移転後は、右岸の堤防沿いの道と橋が行き来できるように土地を一部かさ上げし、道路の舗装を進める。市は２６年度当初予算に、工事関係事業費として１億１５０万円を計上している。 南日本新聞 | 鹿児島,[],[]
大麻使用の疑いで17歳少年を逮捕　別の薬物事件捜査で浮上、尿検査で発覚　鹿屋署（南日本新聞）,https://news.yahoo.co.jp/articles/cd10a18636959469f9b8fd10022c097614a64c0c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260402-00000008-minami-000-1-view.jpg?exp=10800,2026-04-02T18:35:22+09:00,2026-04-02T18:35:22+09:00,南日本新聞,minami,南日本新聞,165,（写真：南日本新聞社） 鹿児島県警鹿屋署は２日、麻薬取締法違反（使用）の疑いで、鹿屋市の無職少年（１７）を３月１７日に逮捕したと発表した。逮捕容疑は３月中旬、県内またはその周辺で大麻を使用した疑い。 署によると、別の薬物事件の捜査で少年宅を捜索、尿検査をしたところ発覚した。自宅から大麻リキッドを押収した。 南日本新聞 | 鹿児島,[],[]
鹿児島市の10代男性がはしか感染 県内で今年26例目（南日本新聞）,https://news.yahoo.co.jp/articles/c415941846efeb50778bb91c8aaff6c4430d9dc7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260402-00000007-minami-000-1-view.jpg?exp=10800,2026-04-02T18:00:22+09:00,2026-04-02T18:00:22+09:00,南日本新聞,minami,南日本新聞,286,（写真：南日本新聞社） 鹿児島市は２日、市内の１０代男性が麻しん（はしか）に感染したと発表した。男性は感染可能期間中、不特定多数と接触したとし、市は注意を呼びかけている。県内の感染確認は今年２６例目。 市によると、男性は３月２６日に発熱。１日に医療機関を受診し、陽性が確認された。予防接種歴はなく、感染経路は調査中。２６日に市内のカラオケ店を訪れている。 市感染症対策課は「気になる症状があれば医療機関に連絡して受診し、公共交通機関は控えて。予防接種や抗体検査も検討してほしい」と呼びかけた。市は感染者の利用施設や利用時間をホームページで公表する。 南日本新聞 | 鹿児島,[],[]
中東情勢の緊迫、日中関係の悪化、止まらぬ物価高…難局の中、経営者が新入社員へ訴えたメッセージ　鹿児島県内で入社式（南日本新聞）,https://news.yahoo.co.jp/articles/fee5481b59d4526523897a48442845e4f4f87e90,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260402-00000006-minami-000-1-view.jpg?exp=10800,2026-04-02T11:30:21+09:00,2026-04-02T11:30:21+09:00,南日本新聞,minami,南日本新聞,1320,決意を述べる新入社員＝１日、霧島市の京セラ鹿児島霧島工場 新年度が始まった１日、鹿児島県内の多くの企業・団体で入社式があった。中東情勢の緊迫や日中関係悪化、物価高など企業を取り巻く環境は厳しい。各トップは「難局は続くが、若い力をエネルギーに変え挑戦を」と訴えた。 【写真】決意を新たにガッツポーズする岩崎グループの新入社員ら＝１日、鹿児島市千日町のリバティークラブ 米国とイスラエルのイラン攻撃に伴う原油価格高騰は企業経営に影を落とす。４１人を迎えたＪＡ鹿児島県連では、燃料高が茶工場やハウス栽培といった農林水産業の生産現場を直撃する。ＪＡ県中央会の山野徹会長（７０）は「農業経営や食を脅かすリスクは日々増大している。一緒に揺るぎない土台を築こう」と鼓舞した。 路線バス事業などを手がける岩崎グループ（鹿児島市）は２９人が仲間入り。同社は系列会社から燃料を仕入れるものの、昨年５月就任の岩崎貴光社長（４０）は「楽観はできない。新たなエネルギー満たす一歩を踏み出して」と呼びかけた。 石油やＬＰガスのエネルギー事業が主力のＭｉｓｕｍｉ（同市）の平田慶介社長（６４）は、新入社員２４人を前に「事業を続けることは変わり続けることだ」と力を込め、激変する世界情勢に対応できる柔軟性の大切さを強調した。 世界経済も不安定な状況が続く。１４５人が入行した鹿児島銀行（同市）は、１日就任の碇山浩美頭取（６３）が、金利上昇が今後見込まれることに触れ「金融機関の競争はさらに激しくなる。新しい知識を吸収し、失敗を恐れずに挑戦してほしい」と激励した。 観光業は、日中関係悪化に伴う中国客減少などで影響を受ける。新入社員３６人に城山観光（同市）の矢野隆一社長（６４）は、国内外から多様な客が集うホテルの特性を説明し、「相手を理解して関係を築くことが大切」と話した。 国内外に事業所を持つ同市の西原商会では、外国人６人を含む１０２人が新社会人のスタートを切った。西原一将社長（４９）は、一層の燃料高騰や長期化する原材料高を懸念。「時代の転換期を力強く生き抜き、ともに成長を」と期待した。 養殖ブリを輸出するグローバル・オーシャン・ワークスグループは、３月完成の垂水市の新社屋で、グループ３社計１４人が入社式。増永勇治社長（５６）が「社会の変化は誰も予測できない状況。立ち止まらず変化し続け、理想の会社を形作ろう」と歓迎した。 ３月２３日に一足早く入社式をした曽於市のナンチクは、９人が新たな一歩を踏み出した。牛肉輸出先は米国や東南アジアが中心なものの、中東情勢の悪化が続けば、輸送コストが上がる恐れがある。担当者は「飼料の価格高騰にも拍車をかけかねない」と懸念した。 ■京セラ２工場で入社式 １日、霧島と薩摩川内の両市であった。同日から鹿児島国分工場と鹿児島隼人工場が統合した鹿児島霧島工場では５６人が出席。重田幸男工場長は「地域と共生する工場の一員として行動してほしい」とあいさつ、新入社員代表の湯原虎太郎さん（２０）は「常に向上心を持ち、どのようなことにも積極的に挑戦し、成長したい」と決意を述べた。鹿児島川内工場では５２人が入社した。 南日本新聞 | 鹿児島,[],[]
「激動の時代を乗り越える礎に」…鹿児島県内29漁協が統合、JFかごしま設立　経営基盤強化を図る　正準組合員7300人　（南日本新聞）,https://news.yahoo.co.jp/articles/cd066969ac52aedc3251f0dead8d5f3abed9dc2f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260402-00000005-minami-000-1-view.jpg?exp=10800,2026-04-02T11:15:27+09:00,2026-04-02T11:15:27+09:00,南日本新聞,minami,南日本新聞,816,鹿児島県漁業協同組合に加入する県内漁協の組合長ら＝１日、鹿児島市 鹿児島県内の全４１漁協のうち、２９漁協を一つに集約する「鹿児島県漁業協同組合（ＪＦかごしま）」の設立記念式典が１日、鹿児島市のホテルであった。組合員減少や高齢化、海洋環境の変化といった課題を受け、経営基盤を強化する狙い。漁業者や行政職員ら約６０人が出席し、新たな船出に「県内漁業を守り続けていく」と決意を固めた。 【写真】あいさつする県漁業協同組合連合会の市田恵八朗会長＝１日、鹿児島市 ＪＦかごしまは、運営にあたる県漁業協同組合連合会（県漁連）が進めてきた「県１漁協」構想の節目として設立。正組合員数は約２３００人、準組合員数は約５０００人。県漁連が本所、各地の単一漁協は支所となり、現行の組合長は支所の運営委員長に就く。２９漁協の２０２４年度の販売事業取扱額を合算すると、４００億円超の規模となる。 式典では、全国漁業協同組合連合会の坂本雅信会長（６７）が「社会情勢が変化する中、激動の時代を乗り越える礎となる」と祝辞。組合長に就いた県漁連の市田恵八朗会長（６５）は「組織の強化で流通、販売力を高め、広域的な資源管理を推進し、魅力ある漁業を次世代につなぐ」と述べた。 正・準合わせ組合員約１００人が加入する谷山漁協（鹿児島市）の横山幸二組合長（６６）は「高齢化問題もあり、組織が大きくなると安心感がある。情報共有もしやすいので、うまく活用したい」と話した。 今後、半年以内をめどに県漁連の機能を包括承継し、ＪＦかごしまへ一本化する。当面は各支所の連携強化や組合員の所得向上、内部規定などの整備にあたる。加入を見送った１２漁協が合流する可能性も残る。 県１漁協を巡っては、１９９９年に合併に向け基本計画を策定したが、各漁協の財務格差などが障壁となり合意形成を図ってきた。昨年１１月中旬に各漁協で臨時総会を開き、うち２９漁協で合併を承認した。 南日本新聞 | 鹿児島,[],[]
竜巻か、未明に枕崎市で突風　ビニールハウス17棟が倒壊するなど1550万円の被害（南日本新聞）,https://news.yahoo.co.jp/articles/8b8acc4fa9ea369cea7c059d6a21a6e5b3596659,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260402-00000004-minami-000-2-view.jpg?exp=10800,2026-04-02T10:05:26+09:00,2026-04-02T11:07:31+09:00,南日本新聞,minami,南日本新聞,450,突風でなぎ倒されたビニールハウス＝１日、枕崎市あけぼの町 ３月３１日午前２時ごろ、鹿児島県枕崎市で突風が発生し、現地調査した鹿児島地方気象台は１日、「竜巻の可能性がある」と発表した。最大瞬間風速は約３５メートル（推定）で、風の強さを示す改良藤田スケールでは、６段階で一番弱いＪＥＦ０に該当する。 【写真】突風でなぎ倒された樹木＝１日、枕崎市あけぼの町 竜巻の可能性と判断した理由は、突風発生時に活発な積乱雲が通過しており、被害が帯状に分布している上、痕跡から推定される風向きが不規則であるため。一方で、未明の発生で有力な目撃情報を得られず、特定には至らないとした。 市によると、白沢地区でビニールハウス１７棟が倒壊したほか、空き家の瓦が１０枚程度飛ぶなどの被害が出た。被害総額は約１５５０万円。けが人はいない。 気象台によると、突風発生時は薩摩地方に温かく湿った空気が流れ込み、大気が非常に不安定だった。午前２時３６分と同４時３分には竜巻注意情報を出して警戒を呼びかけていた。 南日本新聞 | 鹿児島,[],[]
