headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
2万8千円のフィギュア目的か――盗んだ後、呼び止めた客にけがを負わせた容疑で逮捕（南日本新聞）,https://news.yahoo.co.jp/articles/ca8d2ab91addeaf3a40c1cd4762486554a0893b6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260906-00000003-minami-000-1-view.jpg?exp=10800,2026-09-06T23:55:21+09:00,2026-09-06T23:55:21+09:00,南日本新聞,minami,南日本新聞,249,（写真：南日本新聞社） 鹿児島県警霧島署は６日、強盗致傷の疑いで、大分市豊町２丁目、無職の男（５５）を現行犯逮捕した。署によると、「黙秘する。その理由も言いたくない」と容疑を否認している。 逮捕容疑は同日午後３時１０分ごろ、霧島市のリサイクルショップで陳列されていた人気アニメのフィギュア１点（価格約２万８０００円）を盗み、店外で客の４０代男性に呼び止められた際に腕を振り払い、手首と腕に擦り傷を負わせた疑い。 署によると、店員が「万引犯を取り押さえている」と１１０番した。 南日本新聞 | 鹿児島,[],[]
土砂災害へ厳重警戒――鹿児島県内、地盤に緩み 台風24号（南日本新聞）,https://news.yahoo.co.jp/articles/f2b2cbaadc9bfba6863d5a47740e1f6870b1305e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260906-00000002-minami-000-1-view.jpg?exp=10800,2026-09-06T23:45:21+09:00,2026-09-06T23:45:21+09:00,南日本新聞,minami,南日本新聞,572,（写真：南日本新聞社） 台風２４号は６日午後９時現在、南大東島の西約５０キロにあり、時速１０キロで北東へ進んだ。鹿児島地方気象台によると、暖かく湿った空気の影響で大気の状態が非常に不安定となり、７日にかけて鹿児島県本土や種子島・屋久島地方では積乱雲が発生し、落雷や突風の恐れがある。地盤が緩み、少しの雨でも土砂災害が起きる可能性があり、厳重に警戒するよう呼びかけている。 気象台によると、７日午後６時までに予想される２４時間降水量は多い所で種子・屋久地方１００ミリ、大隅地方８０ミリ。２日午後３時の降り始めから６日午後４時までに、屋久島町尾之間では６６２ミリを観測した。県によると人的被害は確認されていないが、屋久島町では６日午前１０時時点で尾之間地区４０３戸、長峰地区２８９戸で断水が続いた。 台風２４号は６日午後９時現在、中心気圧９９０ヘクトパスカル、最大瞬間風速２５メートル。中心の南西側４４０キロ、北東側３３０キロ以内で風速１５メートル以上の強風が吹いている。今後は北寄りに進み、熱帯低気圧になる見込み。 気象庁によると、９日から１２日にかけて前線が停滞し、西日本では９日ごろにかけて前線や暖かく湿った空気の影響で大雨となる所がある。前線の活動や湿った空気の流れ込みの程度によっては警報級の大雨となる恐れがある。 南日本新聞 | 鹿児島,[],[]
東九州道　末吉財部－国分の上下線の通行止め解除（南日本新聞）,https://news.yahoo.co.jp/articles/41b367b6d0bfd7759c78b6efc80e70f68e93cf17,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260906-00000001-minami-000-2-view.jpg?exp=10800,2026-09-06T00:05:21+09:00,2026-09-06T06:05:48+09:00,南日本新聞,minami,南日本新聞,142,（写真：南日本新聞社） 西日本高速道路によると、東九州自動車道末吉財部インターチェンジ（ＩＣ）－国分ＩＣ間の上下線の通行止めが５日午後９時４４分に解除された。 乗用車が中央分離帯のワイヤーロープに衝突する事故があり、ロープの支柱１１本を交換する工事をしていた。 南日本新聞 | 鹿児島,[],[]
