headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
東九州道、迂回利用割引に――７日から、ＥＴＣ車対象（南日本新聞）,https://news.yahoo.co.jp/articles/cd1a37ffb60d6f1aae97a67a867accd7a6bcfa9e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260805-00000004-minami-000-1-view.jpg?exp=10800,2026-08-05T23:45:21+09:00,2026-08-05T23:45:21+09:00,南日本新聞,minami,南日本新聞,343,（写真：南日本新聞社） 西日本高速道路は５日、熊本地震で九州自動車道の一部で通行止めが続いていることを受け、東九州自動車道へ迂回（うかい）しても九州道利用時より割高にならないよう、料金を調整すると発表した。ＥＴＣ車対象。７日から熊本県の松橋（まつばせ）インターチェンジ（ＩＣ）－えびのＩＣ（宮崎県）の通行止めが解除される日まで。 九州道えびのＩＣ以南のＩＣから乗り、鳥栖ジャンクション（佐賀県）以北の各ＩＣに向かうルートなどが対象。途中、東九州道の門川本線料金所（宮崎県）と佐伯本線料金所（大分県）を通る必要がある。 例えば、普通車が鹿児島ＩＣ－広島ＩＣ（広島県）を通行する場合、東九州道に迂回すると１万４６９０円となるが、調整後は１万１６７０円に割り引かれる。 南日本新聞 | 鹿児島,[],[]
女性から110番、駆け付けたら窃盗容疑で捜査中の人物…脅迫容疑で男逮捕（南日本新聞）,https://news.yahoo.co.jp/articles/e5d8777ac33d54702e5f9fa48076e78e1d944c97,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260805-00000003-minami-000-1-view.jpg?exp=10800,2026-08-05T23:35:22+09:00,2026-08-05T23:35:22+09:00,南日本新聞,minami,南日本新聞,239,（写真：南日本新聞社） 鹿児島県警薩摩川内署は５日、脅迫の疑いで本籍川崎市、住所不定の自称アルバイト土木作業員の男（２３）を逮捕した。 逮捕容疑は６月２７日午後３時１５分ごろ、県内の２０代女性宅で「お前をぶっ殺したい。家族、友達全員つぶす」などと脅迫した疑い。 署によると、２人に面識はある。女性からの１１０番で駆け付けたところ、窃盗容疑で捜査している人物だったため任意同行を求めた。「何も話すことはない」と否認している。男は同日、窃盗容疑で逮捕された。 南日本新聞 | 鹿児島,[],[]
【速報】九州新幹線　新水俣－鹿児島中央駅、7日から再開（南日本新聞）,https://news.yahoo.co.jp/articles/a2d593c6874e018f4801e08964bf28370fd76662,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260805-00000002-minami-000-2-view.jpg?exp=10800,2026-08-05T12:15:23+09:00,2026-08-05T16:29:39+09:00,南日本新聞,minami,南日本新聞,122,（写真：南日本新聞社） ＪＲ九州は５日、熊本地震で運行を止めていた九州新幹線の新水俣－鹿児島中央駅間について、７日から運行再開のめどが立ったと発表した。 同社によると、熊本－新水俣間は、８月中の再開は困難と見込んでいる。 南日本新聞 | 鹿児島,[],[]
肥薩おれんじ鉄道、川内－水俣５日始発から再開　九州道・松橋－えびのは8月後半に通行可能に（南日本新聞）,https://news.yahoo.co.jp/articles/634507afbc11624a8995eba08f7d41ef42cbe176,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260805-00000001-minami-000-2-view.jpg?exp=10800,2026-08-05T06:00:23+09:00,2026-08-05T10:50:36+09:00,南日本新聞,minami,南日本新聞,586,（写真：南日本新聞社） 先月２８日に発生した熊本地震の影響で、八代（熊本県八代市）－川内間の全線で運転を見合わせていた肥薩おれんじ鉄道は５日始発から、川内－水俣間の運行を再開する。同社が４日、発表した。 【写真】肥薩おれんじ鉄道、川内－水俣５日始発から再開 九州道・松橋－えびのは8月後半に通行可能に 同社によると、点検の結果、川内－水俣間は比較的被害が少なく、線路のずれなどの修復が同日までに終了した。一方、八代－水俣間は線路の変形や電線の断線が多数確認された。加えて、八代駅と上田浦駅のホームが損壊するなど被害が大きく復旧に時間を要することから、バスによる代行輸送を１０日をめどに始める計画で調整する。鉄道は、復旧と安全確認ができた区間から順次運行再開する。 九州自動車道や南九州自動車道を管理する西日本高速道路九州支社によると、通行止めとなっている九州道の松橋インターチェンジ（ＩＣ）－えびのＩＣと、南九州道の八代南ＩＣ－田浦ＩＣは、今月後半に一般車両が通行可能となる見込みとなった。橋桁が損壊し路面に段差が残るなど、被害が大きい南九州道の八代ジャンクション－八代南ＩＣの通行止めは継続される。 日本航空グループは鹿児島－福岡線で臨時便の運航を続ける。５日は計８便が運航する。６日以降については、台風１３号の影響をみながら判断するとしている。 南日本新聞 | 鹿児島,[],[]
