headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
1月1日午前6時、神社のさい銭箱から現金を盗もうと…関係者は見た――容疑の住所不定無職男を逮捕（南日本新聞）,https://news.yahoo.co.jp/articles/5e36a1c4b5e2bee9562747b97d345435cb143739,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260917-00000004-minami-000-1-view.jpg?exp=10800,2026-09-17T20:02:22+09:00,2026-09-17T20:02:22+09:00,南日本新聞,minami,南日本新聞,194,（写真：南日本新聞社） 鹿児島県出水署は１７日、窃盗未遂の疑いで、本籍出水市、住所不定、無職の男（７６）を逮捕した。逮捕容疑は１月１日午前６時５分ごろ、同市内の神社のさい銭箱から現金を盗もうとした疑い。 署によると、神社の関係者が目撃し、被害届を出した。男は８月末、阿久根市の店舗敷地内で現金約４万３０００円などが入った財布を盗んだ疑いで９月８日に逮捕されていた。 南日本新聞 | 鹿児島,[],[]
JR日豊線　国分―鹿児島間運行再開（南日本新聞）,https://news.yahoo.co.jp/articles/4661546373e5ee3a878c9a43fa500c332d4dd4f9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260917-00000003-minami-000-1-view.jpg?exp=10800,2026-09-17T17:05:23+09:00,2026-09-17T17:05:23+09:00,南日本新聞,minami,南日本新聞,117,（写真：南日本新聞社） ＪＲ九州によると、日豊線竜ケ水－仙厳園間で落石検知装置が作動し、１７日午後２時４５分ごろから見合わせていた国分－鹿児島間の運行について、落石は確認されなかったため同午後４時半に再開した。 南日本新聞 | 鹿児島,[],[]
JR日豊線　国分―鹿児島間で運行見合わせ（南日本新聞）,https://news.yahoo.co.jp/articles/9d36d56d5167b651ae7a224075a770ca2d7fec96,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260917-00000002-minami-000-1-view.jpg?exp=10800,2026-09-17T15:45:25+09:00,2026-09-17T15:45:25+09:00,南日本新聞,minami,南日本新聞,114,（写真：南日本新聞社） JR九州によると、１７日午後２時４４分ごろ、日豊線竜ケ水―仙厳園間で、落石検知装置が作動した。確認作業のため、国分―鹿児島間で列車の運行を見合わせている。けが人は確認されていない。 南日本新聞 | 鹿児島,[],[]
鹿児島市の配達員逮捕――路上で触られた女性が110番（南日本新聞）,https://news.yahoo.co.jp/articles/963169ed36fae1dc36bb77aa22032f61a33dce1e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260917-00000001-minami-000-1-view.jpg?exp=10800,2026-09-17T00:35:21+09:00,2026-09-17T00:35:21+09:00,南日本新聞,minami,南日本新聞,181,（写真：南日本新聞社） 鹿児島県警は１６日、不同意わいせつの疑いで、鹿児島市住吉町、配達員の男（２２）を逮捕した。逮捕容疑は８月上旬、県内の路上で、県内の３０代女性の体を触るなどわいせつな行為をした疑い。 県警によると、２人に面識はなく、女性が１１０番した。防犯カメラ映像などで特定した。男は「触ったことは間違いない」と容疑を認めている。 南日本新聞 | 鹿児島,[],[]
