headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
付属小でのいじめ疑いで第3者委を設置　鹿児島大学（南日本新聞）,https://news.yahoo.co.jp/articles/1fd5707e78cc307e04d964f818571e9249b06680,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2026-03-30T21:00:22+09:00,2026-03-30T21:00:22+09:00,南日本新聞,minami,南日本新聞,240,鹿児島大は３０日、鹿大付属小学校（鹿児島市）で発生した事案について、いじめ防止対策推進法に定める重大事態の疑いがあると判断し、第三者委員会による調査委員会を設置すると公表した。 鹿大総務部広報センターによると、児童とその保護者から３月中旬、「いじめをきっかけに不登校になった」とする訴えがあった。井戸章雄学長に報告し、重大事態の疑いがあると判断した。 今後可能な限り早い時期に、ソーシャルワーカーや弁護士など学外のメンバーで構成する委員会を設置し調査する。 南日本新聞 | 鹿児島,[],[]
かれんな青紫、株いっぱい――国天然記念物のエヒメアヤメの特別公開始まる　小林インターチェンジ出口付近　4月12日まで　（南日本新聞）,https://news.yahoo.co.jp/articles/318c0f58a6f093135b86459a60eecbd8b1a493c3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260330-00000015-minami-000-1-view.jpg?exp=10800,2026-03-30T20:30:21+09:00,2026-03-30T20:30:21+09:00,南日本新聞,minami,南日本新聞,484,地面にへばりつくように青紫色の花が満開を迎えているエヒメアヤメ＝２８日、小林市南西方 宮崎県小林市が自生南限に当たる国天然記念物のアヤメ科植物、エヒメアヤメの自生地特別公開が２８日、同市南西方で始まった。斜面に点在する１００株ほどが直径３～４センチのかれんな青紫色の花を株いっぱいに咲かせ、壮観だ。４月１２日まで。 【写真】〈別カット〉地面にへばりつくように青紫色の花が満開を迎えているエヒメアヤメ＝２８日、小林市南西方 特別公開は開花期に合わせ、保護団体「エヒメアヤメを守り育てる会」が実施している。「一寸アヤメ」の別称が示すように、地面にへばりつくように花が咲くのが特徴。同会の松本広樹会長（８４）は「例年よりも着花が早く、ここ１週間ほどが見頃になりそう」。来場した鹿児島県湧水町木場の祝田厚夫さん（８０）は「株によって花に濃淡があり、楽しめた」と話した。 宮崎自動車道小林インターチェンジ（ＥＴＣ搭載車のみ乗降可）を出て右に２００メートル。午前１０時～午後３時。雨天時は非公開の場合もある。 事務局の竹内さん＝０９０（６６３６）５３４６。 南日本新聞 | 鹿児島,[],[]
鹿児島市の40代女性がはしか感染　県内２５例目（南日本新聞）,https://news.yahoo.co.jp/articles/bddc1fd681593e037c81062fe0e494ee367cf20e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260330-00000014-minami-000-1-view.jpg?exp=10800,2026-03-30T20:00:24+09:00,2026-03-30T20:00:24+09:00,南日本新聞,minami,南日本新聞,282,（写真：南日本新聞社） 鹿児島市は３０日、市内の４０代女性が麻しん（はしか）に感染したと発表した。女性は感染可能期間中、不特定多数と接触したとし、市は注意を呼びかけている。県内の感染確認は今年２５例目。 市によると、女性は２５日に発熱し、２６日に医療機関を受診。２７日、陽性が確定した。陽性が確認された患者と接触があったという。２４日に市内の飲食店やスーパーなどを訪れている。 感染症対策課は「気になる症状があれば医療機関に電話して受診を。予防接種や抗体検査も検討して」と呼びかけた。市は感染者の利用施設や利用時間をホームページで公表する。 南日本新聞 | 鹿児島,[],[]
島津が天下を取る可能性もあった…!?　九州攻めを終えた豊臣秀吉が漏らした本音「日本には馬鹿が２人いる」（南日本新聞）,https://news.yahoo.co.jp/articles/7834bb6b2fd856bc55048d2c140064f3757e82b0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260330-00000013-minami-000-1-view.jpg?exp=10800,2026-03-30T20:00:21+09:00,2026-03-30T20:00:21+09:00,南日本新聞,minami,南日本新聞,1138,豊臣秀吉が休んだ地とされる「秀吉の腰掛け石」＝伊佐市大口鳥巣の二反田孝男さん宅 ＮＨＫ大河ドラマ「豊臣兄弟！」が１月に始まり、天下人豊臣秀吉と弟の秀長に注目が集まっている。２人は天正１５（１５８７）年の九州攻めの際に南九州まで侵攻。対抗した島津氏は大軍に押され、当主義久が鹿児島県薩摩川内市の泰平寺で秀吉に降伏した。薩摩川内市、さつま町、伊佐市の３市町に残る「秀吉の道」を歩き、ゆかりの場所や資料を紹介する。（連載「探訪 秀吉の道⑦」より 全７回） 【写真】新納忠元座像（伊佐市教育委員会提供） 伊佐市大口鳥巣園田の県道湯出大口線沿いに水生植物園の看板と秀吉の腰掛け石の標柱が立つ。案内に従って進むと民家の庭の隅に１６０センチほどの石碑がある。二反田孝男さん（８５）宅の敷地内で、立ち入り自由で休憩所もある。 豊臣秀吉は新納忠元との会見を終え、天正１５（１５８７）年５月２７日朝、京に向け天堂ケ尾を出発。忠元は会見のお礼としてここで見送った。秀吉は、かごを止め、忠元を近くに招いて陣扇を与えた。その際、秀吉がこの地に座って休んだと伝えられている。 秀吉はこの前に、曽木の滝に寄ったとの逸話もある。忠元の案内で高さ１０メートル以上ある崖の上から滝つぼの渓流を見ることを勧められた。忠元が突き落とし殺害しようとの考えを見抜き、忠元の袖をしっかり捕まえて体をすり寄せたという。 菱刈郷土資料館の原田純一専門指導員（７７）は信ぴょう性を疑問視する。九州攻めは秀吉の本隊だけでなく複数に分かれ、総勢３０～４０万人ともいわれる。「影武者もいただろう。伊佐市内で史実と断定できるのは天堂ケ尾関白陣跡と腰掛け石などで、ほかははっきりとした確証が得られない伝承との位置づけ」と語る。 薩藩旧伝集によると、秀吉は京に帰着後、側近に「日本には馬鹿が二人いる」と言った。一人は秀吉自身で、遠い南の国まで攻めて食料も尽き果て、地理的にも不利。危うく負け、生きて帰れなかったかもしれないから。もう一人はこのことを知らずに降伏した島津義久という。 原田さんは「忠元はこの状況をいち早く見抜き、大口城に立てこもって決戦を待っていた。恐るべく知略を持っていたことが分かる」と話す。 当然、島津義久も忠元と同様の考えがあったはずだが、なぜ降伏したのか。九州攻めを機に島津氏の家臣団に分裂が生じ、服属していた九州各地の領主らが相次いで離反しており、権力構造の弱さを露呈した。 徹底抗戦し惨敗した場合、改易か取りつぶしのおそれもある。原田さんは「降伏してもともとの地盤である薩摩、大隅、日向の安堵（あんど）を図り、秀吉の強大な権力を背景に島津氏の大名権力強化を図った」と見ている。 ＝おわり＝ 南日本新聞 | 鹿児島,[],[]
県庁職員が酒気帯び運転で事故、職場の親睦会費110万円着服――鹿児島県が2人を停職6カ月の懲戒処分（南日本新聞）,https://news.yahoo.co.jp/articles/946041c54932bf3a49b4570002fa51c1dd93880b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260330-00000012-minami-000-2-view.jpg?exp=10800,2026-03-30T19:55:24+09:00,2026-03-30T23:01:53+09:00,南日本新聞,minami,南日本新聞,369,（写真：南日本新聞社） 鹿児島県は３０日、飲酒運転で事故を起こした大島支庁の６０代会計年度任用職員と、職場の親睦会費約１１０万円を着服した鹿児島地域振興局の２０代職員をそれぞれ停職６カ月の懲戒処分にしたと発表した。 県人事課によると、いずれも男性。６０代職員は２月上旬、基準を超える酒気を帯びて自家用車を運転し事故を起こした。県警に現行犯逮捕され、現在は事実関係を認めて自宅謹慎している。県は任期更新しない。 ２０代職員は本年度、職場の親睦会費を管理していたが、集めた会費の一部約１１０万円を私的に流用した。口座に入金せず、生活費に充てていたという。１月に同僚が通帳を確認し、金額が足りないことが判明した。職員はこれまでに全額弁済し、３０日付で依願退職した。 本年度の県職員（知事部局）の懲戒処分は計３件となった。 南日本新聞 | 鹿児島,[],[]
検察、即時抗告せず――弁護側に署員盗撮事件の証拠36点開示へ　元鹿児島県警生安部長の公判手続き（南日本新聞）,https://news.yahoo.co.jp/articles/2b6d2c1ed9e9c17b06399ec012957ac572588d6b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260330-00000011-minami-000-1-view.jpg?exp=10800,2026-03-30T19:55:21+09:00,2026-03-30T19:55:21+09:00,南日本新聞,minami,南日本新聞,592,（写真：南日本新聞社） 職務上知り得た秘密を退職後に漏らしたとして、２０２４年６月に国家公務員法（守秘義務）違反の罪で起訴された鹿児島県警の元生活安全部長、本田尚志被告（６２）の裁判手続きで、鹿児島地裁（小泉満理子裁判長）が２４日に出した枕崎署員盗撮事件に関する証拠の開示命令に対し、検察は即時抗告しなかったことが３０日、分かった。弁護側が明らかにした。検察側は今後、地裁が命じた証拠を弁護側に開示し、弁護側はそれを基に公判で争うことになる。 地裁は盗撮事件の捜査経過が分かる証拠３６点を開示するよう命令し、即時抗告の期限は２７日だった。鹿児島地検、地裁はいずれも即時抗告の有無について「回答できない」とした。弁護側が求めた証拠開示は一部棄却されたが、弁護側も即時抗告はしないという。 起訴状などによると、本田被告は２４年３月下旬、男性警察官によるストーカー容疑事件の捜査経過や被害女性の個人情報が記された書面を基に、一部の記載を除いた写しの文書を外部に郵送し、漏らしたとされる。書面は生安部長の名義で同２月に作成した。 本田被告は２３年に発生した枕崎署員による盗撮事件に関し「前本部長が隠蔽（いんぺい）しようとした」などと主張。県警は一貫して否定している。本田被告の行為を「公益通報」と主張する弁護側は、動機に関わるとして盗撮事件関連の証拠開示を求めていた。 南日本新聞 | 鹿児島,[],[]
酒気帯び運転と暴行―都城駐屯地の2隊員を懲戒処分　５０代期間業務隊員、２０代陸士長　停職４カ月と３カ月（南日本新聞）,https://news.yahoo.co.jp/articles/a4056f71e8c3dcf1aa1f502d3c60101ee1921cc2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260330-00000009-minami-000-1-view.jpg?exp=10800,2026-03-30T18:35:22+09:00,2026-03-30T18:35:22+09:00,南日本新聞,minami,南日本新聞,284,（写真：南日本新聞社） 宮崎県の陸上自衛隊都城駐屯地は３０日、道交法違反（酒気帯び運転）容疑で書類送検された第４３普通科連隊の５０代の期間業務隊員と、駐屯地内で同僚隊員に暴行した同連隊の２０代陸士長を同日付で、それぞれ停職４カ月と停職３カ月の懲戒処分にした、と発表した。 駐屯地によると、５０代期間業務隊員は２０２５年９月１２日、都城市内で酒気を帯びた状態で私有のバイクを運転中に転倒。搬送された病院で警察の事情聴取に飲酒を認めた。２０代陸士長は同年１１月１９日、駐屯地で勤務時間外に同僚隊員１人と口論になり、殴って全治１週間のけがを負わせた。 南日本新聞 | 鹿児島,[],[]
70代男性の車に追突、自ら「事故です」と110番――鹿児島市の33歳男を酒気帯び容疑で逮捕　鹿児島中央署（南日本新聞）,https://news.yahoo.co.jp/articles/e4948d792d74d1cabc7c8aabc3ff40cdda0ffb0a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260330-00000008-minami-000-1-view.jpg?exp=10800,2026-03-30T18:25:30+09:00,2026-03-30T18:25:30+09:00,南日本新聞,minami,南日本新聞,203,（写真：南日本新聞社） 鹿児島中央署は３０日、道交法違反（酒気帯び運転）の疑いで鹿児島市武岡１丁目、自称飲食店従業員の男（３３）を現行犯逮捕した。逮捕容疑は同日午前８時５０分ごろ、同市加治屋町の県道で、基準値を超える酒気を帯び乗用車を運転した疑い。 署によると、７０代男性が運転する軽乗用車に追突し、自ら「事故です」と１１０番した。「認めるも認めないも答えたくない」と供述している。 南日本新聞 | 鹿児島,[],[]
水迫畜産不適正表示　姶良市の返礼品発送1249件に　概数発表分の詳細が判明（南日本新聞）,https://news.yahoo.co.jp/articles/f9d359ef6fe49bdc45bef02285c18e809b823bbc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260330-00000007-minami-000-1-view.jpg?exp=10800,2026-03-30T18:15:25+09:00,2026-03-30T18:15:25+09:00,南日本新聞,minami,南日本新聞,251,（写真：南日本新聞社） 鹿児島県指宿市の水迫畜産による牛肉の不適正表示問題で、姶良市は３０日、ふるさと納税の返礼品として同社の牛肉を発送した件数が計１２４９件（寄付額１９９８万１０００円）になったと明らかにした。 返礼品提供事業者の財宝（鹿屋市）が水迫畜産から仕入れていた分を「約４５０件」と発表していたが、精査した結果、４１６件（寄付額８１０万８０００円）と判明。同日、対象者におわびのメールを送った。既に判明していた水迫畜産からの発送分は８３３件（同１１８７万３０００円）。 南日本新聞 | 鹿児島,[],[]
脳腫瘍との闘病、引退試合で見せた「奇跡のバックホーム」…元阪神・故横田慎太郎さんの「あきらめない心」が鹿児島県の教材に（南日本新聞）,https://news.yahoo.co.jp/articles/167c72b430cd7d06ea81f3c290b2c7f1e04e6496,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260330-00000006-minami-000-2-view.jpg?exp=10800,2026-03-30T11:36:01+09:00,2026-03-30T12:04:00+09:00,南日本新聞,minami,南日本新聞,567,横田晋太郎さんや薩摩英国留学生らが登場する郷土教育教材＝鹿児島県庁 鹿児島県教育委員会は、小学校中、高学年向けの郷土教育教材を作成した。脳腫瘍のため２８歳で亡くなったプロ野球元阪神の横田慎太郎さんや薩摩藩英国留学生など、郷土ゆかりの著名人ら１３人を２冊に分けて紹介。道徳科の授業や総合的な学習の時間で活用する。 【写真】２０２１年１０月、母校の東市来中学校で笑顔を見せる横田慎太郎さん＝鹿児島県日置市 県教委が昨年作成した「かごしまの心 ～今日、どの先人？～」の第２弾。ＡＢ判のフルカラーで、中学年用２２ページ、高学年用２８ページ。登場人物は児童生徒へのアンケート結果を踏まえて決めた。教職員が本人や関係者に取材して書き上げた。 横田さんは「あきらめない心」と題し、中学年用に掲載。闘病生活や引退試合で見せた「奇跡のバックホーム」を紹介する。このほか、薩摩藩英国留学生で米国に渡ってワイン醸造所を経営し「ブドウ王」と呼ばれた長沢鼎、文化勲章受章者で彫刻家の中村晋也さんらのエピソードが並ぶ。 ３月中に県内の国公立小学校４７２校へ約２万５００冊配布するほか、県教委ホームページでも公開している。２０２６年度には中学校向けも作る。義務教育課の疋田哲朗課長は「自分の生き方を見つめる機会となる教材になれば」と話した。 南日本新聞 | 鹿児島,[],[]
住民は夫婦2人だけ…鹿児島市の桜島沖に浮かぶ新島　〝生命線〟だった行政連絡船「しんじま」が最終運航　安全統括管理者の確保難しく（南日本新聞）,https://news.yahoo.co.jp/articles/5c2de971f95167914cde7de6f20e7e5b7acc86d4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260330-00000005-minami-000-2-view.jpg?exp=10800,2026-03-30T11:00:22+09:00,2026-03-30T12:04:28+09:00,南日本新聞,minami,南日本新聞,558,新島港から出る定期船を見送る人たち＝２９日、鹿児島市の新島 鹿児島市の桜島と沖合の新島を結ぶ行政連絡船「しんじま」（定員１２人）が２９日、最終運航を迎えた。島民や関係者らが最後の姿を見送り、名残を惜しんだ。 【写真】１世帯２人が住む鹿児島市の桜島沖に浮かぶ新島。１７７９年の安永の大噴火でできたとされる。 同船は１９８２年から運航を始めた。海上運送法改正で必要となった安全統括管理者の確保が難しく、廃止となった。代替の移動手段として、海上タクシー１隻が新たに開業する。島の再生に取り組むＮＰＯ法人が昨年９月、存続を求める約１万５０００人分の署名を市に提出していた。 住民は、民泊とカフェを経営する佐々木直行さん（７２）と和子さん（６６）の夫婦２人。直行さんは「定期船は生命線だったので不安。頼りになる存在だった」、和子さんは「定期船があったからこそ島に住むことができた。さみしい。終わりを迎えたが、今後も生活していかなければならない」と話した。 佐々木さんらは、島から定期船で帰る客らを見送った。夕方、最終便が桜島側の浦之前港に到着すると船長の上山重治さん（７４）＝桜島西道町＝に花束が贈られた。４年間船長を務めた上山さんは「風や波のことばかり心配していたが今はほっとしている」と振り返った。 南日本新聞 | 鹿児島,[],[]
