headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
登校中の女児、道路横断中にはねられ鎖骨を折るけが（南日本新聞）,https://news.yahoo.co.jp/articles/1747f8fc4df34319b3c7a6286adbf69dc0bb27d3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260708-00000007-minami-000-1-view.jpg?exp=10800,2026-07-08T23:55:22+09:00,2026-07-08T23:55:22+09:00,南日本新聞,minami,南日本新聞,231,（写真：南日本新聞社） ８日午前７時５５分ごろ、鹿児島市宇宿４丁目の市道で、横断していた同市の小学生女児（１１）が、同市の男性塗装工（２７）の軽ワゴン車にはねられた。女児は左鎖骨を折る重傷を負い病院に搬送された。命に別条はない。 鹿児島南署によると、現場は宇宿小学校前の片側１車線の直線。信号や横断歩道はない。女児は１人で登校していたとみられる。男性は「児童に気付いてブレーキをかけたが間に合わなかった」と話している。男性が１１９番した。 南日本新聞 | 鹿児島,[],[]
坂道をバックしてきた80歳の車と中学生2人衝突――徒歩で下校中、重傷か（南日本新聞）,https://news.yahoo.co.jp/articles/9b3ec1e1a453dcc806b903154bf612f741d73574,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260708-00000006-minami-000-1-view.jpg?exp=10800,2026-07-08T23:45:25+09:00,2026-07-08T23:45:25+09:00,南日本新聞,minami,南日本新聞,249,（写真：南日本新聞社） ８日午後６時半ごろ、鹿児島県霧島市国分清水１丁目の路上で、市内の中学校に通う男子生徒（１３）と女子生徒（１２）が、坂道をバックしてきた市内の無職女性（８０）の乗用車とぶつかった。霧島署によると、２人は重傷とみられる。救急搬送されたが、命に別条はない。 署によると、２人は徒歩で下校中だった。霧島市消防局消防本部によると、搬送時２人とも意識はあった。通行人が「中学生２人が車にひかれた。男子生徒が下敷きになり、右足が車にはさまっている」と１１９番した。 南日本新聞 | 鹿児島,[],[]
警察署の目の前で追突…酒気帯び運転発覚、自動車整備業の42歳男を逮捕――鹿児島県警奄美署（南日本新聞）,https://news.yahoo.co.jp/articles/b6cc7d01247f55a24f2b7d3b2e7f33240561a689,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260708-00000001-minami-000-1-view.jpg?exp=10800,2026-07-08T10:05:24+09:00,2026-07-08T10:05:24+09:00,南日本新聞,minami,南日本新聞,286,（写真：南日本新聞社） 鹿児島県警奄美署は７日、道交法違反（酒気帯び運転）の疑いで、奄美市名瀬朝仁、自称自動車整備業男（４２）を現行犯逮捕した。逮捕容疑は同日午後１０時ごろ、同市名瀬長浜町の県道で、基準値を超える酒気を帯び軽貨物車を運転した疑い。 同署によると、同署前の横断歩道で信号待ちのため停車中の乗用車に追突し、発覚した。けが人はなかった。軽貨物車は男の知人名義だった。「お酒を飲んだ後、飲酒運転をしたことに間違いはない」と供述している。大きな音に気付いた署員が事故を見つけ、聞き取りする中で男から酒の臭いがして検査した。同乗者はいなかった。 南日本新聞 | 鹿児島,[],[]
