headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
71歳男性の車がガードレールに接触、電柱衝突…意識不明の重体　霧島市の国道10号（南日本新聞）,https://news.yahoo.co.jp/articles/7cfe65ca642423814820b75a92c2ace1c9855560,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260712-00000003-minami-000-1-view.jpg?exp=10800,2026-07-12T22:05:24+09:00,2026-07-12T22:05:24+09:00,南日本新聞,minami,南日本新聞,152,（写真：南日本新聞社） １２日午後１時半ごろ、鹿児島県霧島市国分川内の国道１０号で、同市国分中央１丁目、無職男性（７１）が運転する乗用車が道路左のガードレールに接触後、近くの電柱に衝突した。男性は病院に搬送され、意識不明の重体。 霧島署によると、現場は片側１車線の緩やかなカーブ。 南日本新聞 | 鹿児島,[],[]
顔見知りの女性の首を両手で圧迫――殺害未遂の疑いで45歳女を逮捕　沖永良部署（南日本新聞）,https://news.yahoo.co.jp/articles/0773b10f98068729903f1c36b4860c9bd39e9ea8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260712-00000002-minami-000-1-view.jpg?exp=10800,2026-07-12T21:25:24+09:00,2026-07-12T21:25:24+09:00,南日本新聞,minami,南日本新聞,220,（写真：南日本新聞社） 顔見知りの女性の首を絞めたとして、鹿児島県警沖永良部署は１２日、殺人未遂の疑いで、知名町芦清良、無職女（４５）を逮捕した。 逮捕容疑は１２日午前６時１０分ごろ、知名町の５０代女性宅の屋外で、女性を押し倒し、首を両手で圧迫して殺害しようとした疑い。女性は頭や首に約１週間のけがを負った。 署によると、女性の夫から連絡を受けた容疑者の夫が通報した。容疑者は「殺すつもりはなかった」と否認している。 南日本新聞 | 鹿児島,[],[]
空調会社営業所の事務室と資材置き場全焼――営業は休みで無人、近隣住民が119番　鹿児島市中山町　（南日本新聞）,https://news.yahoo.co.jp/articles/6f49c5286a72a8ae4b543e96dda5853ac0f974ea,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260712-00000001-minami-000-1-view.jpg?exp=10800,2026-07-12T19:35:21+09:00,2026-07-12T19:35:21+09:00,南日本新聞,minami,南日本新聞,181,空調会社営業所の事務所などを全焼した現場＝１２日午後３時２５分ごろ、鹿児島市中山町 １２日午後２時５分ごろ、鹿児島市中山町の照国空調南営業所から出火、鉄骨一部木造平屋の事務室と資材置き場の２室計約１４０平方メートルを全焼した。 鹿児島南署によると、この日は営業が休みで、人はいなかった。近くの住民が「建物から火が出ている」と１１９番した。 南日本新聞 | 鹿児島,[],[]
