headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
3〜4日ごろ奄美地方に接近　台風24号　動き遅く影響が長引く恐れ（南日本新聞）,https://news.yahoo.co.jp/articles/291991a863c80555ed2332fe695d99cd779cae8a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260901-00000004-minami-000-2-view.jpg?exp=10800,2026-09-01T22:05:21+09:00,2026-09-01T23:45:50+09:00,南日本新聞,minami,南日本新聞,356,（写真：南日本新聞社） 台風２４号は１日、日本の南でほとんど停滞した。３〜４日ごろ奄美地方に近づいた後、動きが遅くなる見込みで影響が長引く恐れがある。鹿児島地方気象台は、大雨や土砂災害、低地の浸水、河川増水に注意を呼びかけている。 気象台と名瀬測候所によると、奄美地方の３日午後６時までの２４時間降水量は多い所で北部１２０ミリ。２日朝から強風の恐れがあり、最大風速１５メートル、最大瞬間風速２５メートルと予想される。２日の波はうねりを伴い、３〜４メートルの見込み。 台風２４号は午後９時現在、日本の南にあった。中心気圧は９９６ヘクトパスカル、中心付近の最大風速１８メートル、最大瞬間風速２５メートルで、中心の南側５６０キロ以内と北側３３０キロ以内で風速１５メートル以上の強風が吹いている。 南日本新聞 | 鹿児島,[],[]
60代男性、駐車場で渡した1500万円…信じた「1億8千万円の収益」――LINEで誘導、京都の無職男(45)再逮捕（南日本新聞）,https://news.yahoo.co.jp/articles/7a0b174e68d9d39299da668c0d1ba28f07e7b3ee,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260901-00000003-minami-000-1-view.jpg?exp=10800,2026-09-01T21:35:23+09:00,2026-09-01T21:35:23+09:00,南日本新聞,minami,南日本新聞,449,（写真：南日本新聞社） 鹿児島市の６０代男性から現金１５００万円をだまし取ったとして、鹿児島南署と中央署、県警組織犯罪対策課は１日、詐欺と組織犯罪処罰法違反（犯罪収益仮装）の疑いで、京都市右京区西院三蔵町、無職の男（４５）を８月２５日に再逮捕したと発表した。県警は匿名・流動型犯罪グループ（匿流）の受け子役とみている。 逮捕容疑は、氏名不詳者らと共謀し、２月３日〜４月２５日、証券会社の財務担当者になりすまし、男性にＬＩＮＥ（ライン）で「市場価値より安く購入できる株で、多額の利益が得られる。最終的に１億８０００万円の収益が予想される」などとうそのメッセージを送信。４月２５日、市内の時間貸し駐車場で現金１５００万円をだまし取った疑い。 県警によると、男性はネット上の株式投資の広告から誘導され、ライングループに入った。相手と連絡が取れなくなった男性が不審に思い、中央署に被害を届け出た。容疑者は同様の手口で現金１３００万円をだまし取った疑いで、８月４日に逮捕され、勾留中。 南日本新聞 | 鹿児島,[],[]
九州道　えびの－溝辺鹿児島空港　通行止め解除（南日本新聞）,https://news.yahoo.co.jp/articles/e6c8971652fc13068c8b6b2356463e6902f75dbf,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260901-00000002-minami-000-1-view.jpg?exp=10800,2026-09-01T16:15:22+09:00,2026-09-01T16:15:22+09:00,南日本新聞,minami,南日本新聞,177,（写真：南日本新聞社） 九州自動車道のえびのインターチェンジ（ＩＣ）－溝辺鹿児島空港ＩＣと、宮崎自動車道の小林ＩＣ－えびのジャンクション（ＪＣＴ）の通行止めは１日午後３時３２分、上下線ともそれぞれ解除された。 西日本高速道路によると、栗野ＩＣ付近で発生した車両や、道路周辺の草木火災のため、午後１時２０分から通行止めとなっていた。 南日本新聞 | 鹿児島,[],[]
九州道えびの―溝辺鹿児島空港で通行止め　車両火災（南日本新聞）,https://news.yahoo.co.jp/articles/b54f8905014f42d06ceb0c0064cbd1ee6a61e5dc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260901-00000001-minami-000-2-view.jpg?exp=10800,2026-09-01T13:45:27+09:00,2026-09-01T13:55:22+09:00,南日本新聞,minami,南日本新聞,168,（写真：南日本新聞社） 西日本高速道路によると、九州自動車道は１日午後１時２０分から、えびのインターチェンジ（ＩＣ）－溝辺鹿児島空港ＩＣと、宮崎自動車道の小林ＩＣ－えびのジャンクション（ＪＣＴ）の上下線でそれぞれ通行止めとなっている。 栗野ＩＣ付近で発生した車両火災のため。消火活動中で解除のめどは立っていない。 南日本新聞 | 鹿児島,[],[]
