headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
解体工事で従業員が指を骨折して2カ月休む→労基署に報告せず――労災隠し容疑で業者と社長を書類送検　加治木労基署（南日本新聞）,https://news.yahoo.co.jp/articles/d147a0207d3449126c43d6e67b3e4955d3404e78,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260319-00000018-minami-000-1-view.jpg?exp=10800,2026-03-19T22:00:22+09:00,2026-03-19T22:00:22+09:00,南日本新聞,minami,南日本新聞,343,〈イメージ〉解体工事現場で男性従業員は左人さし指を骨折した 鹿児島県の加治木労働基準監督署は１９日、労働安全衛生法違反（労災隠し）の疑いで、霧島市隼人町真孝の解体工事業「曻（しょう）」と代表取締役社長の４０代男性を鹿児島地検に書類送検した。書類送検容疑は２０２３年９月１３日、同市国分重久の木造家屋の解体工事現場で、同社の男性従業員が重機の先端に廃材入りの袋をかける際、指を挟み、速やかな報告義務がある４日以上休むけがを負ったにもかかわらず、同労基署に報告しなかった疑い。 ▶選別作業中。70代女性がフォークリフトひかれて死亡…接触防止措置をしなかった疑いで、枕崎市漁協と総括参事を書類送検 鹿児島労基署 同署によると、男性は左人さし指の骨折で約２カ月間休んだ。 南日本新聞 | 鹿児島,[],[]
木材運搬車と荷台に従業員が挟まれ、下半身まひに…必要な特別教育を運転手にしていなかった――容疑で木材伐出業者と社長を書類送検　加治木労基署（南日本新聞）,https://news.yahoo.co.jp/articles/cfda1d738430ff0e77670d078021a2fd2fa61df0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260319-00000017-minami-000-1-view.jpg?exp=10800,2026-03-19T21:30:21+09:00,2026-03-19T21:30:21+09:00,南日本新聞,minami,南日本新聞,326,【※イメージ写真 実在する場所とは関係ありません】 鹿児島県の加治木労働基準監督署は１９日、労働安全衛生法（安全衛生教育）違反の疑いで、宮崎県都城市立野町の木材伐出業「園田林業」と、同社代表取締役社長の３０代男性を鹿児島地検に書類送検した。書類送検容疑は２０２５年２月２０日、鹿児島県霧島市横川の木材伐出現場で、木材運搬車の運転に必要な特別教育をせず、男性従業員に運転させた疑い。 ▶選別作業中。70代女性がフォークリフトひかれて死亡…接触防止措置をしなかった疑いで、枕崎市漁協と総括参事を書類送検 鹿児島労基署 同署によると、原木を載せた荷台を下ろす際、近くに座っていた別の男性従業員が荷台と車体に挟まれ、下半身まひとなった。 南日本新聞 | 鹿児島,[],[]
里道に開いた3メートルの穴…埋め戻し中にショベルカーごと作業員が転落死――防止措置しなかった疑いで個人事業主を書類送検　加治木労基署（南日本新聞）,https://news.yahoo.co.jp/articles/dab84b07ca5a6194abb54d7b1eed65089a2158eb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260319-00000016-minami-000-2-view.jpg?exp=10800,2026-03-19T21:15:23+09:00,2026-03-19T21:25:29+09:00,南日本新聞,minami,南日本新聞,358,【※イメージ写真 実在する場所とは関係ありません】里道に開いた穴を埋め戻す際、作業員は深さ約３メートルの穴にショベルカーごと転落し死亡した 鹿児島県の加治木労働基準監督署は１９日、労働安全衛生法（事業者の講ずべき措置等）違反の疑いで、霧島市国分松木東の土木工事業「ＭＭ土木」の６０代個人事業主男性を鹿児島地検に書類送検した。書類送検容疑は２０２５年１０月２１日、同市隼人の災害復旧工事現場で、里道に開いた穴を埋め戻す際、転落防止措置を取らず、男性作業員にショベルカーを使わせた疑い。 ▶選別作業中。70代女性がフォークリフトひかれて死亡…接触防止措置をしなかった疑いで、枕崎市漁協と総括参事を書類送検 鹿児島労基署 同署によると、作業員は深さ約３メートルの穴にショベルカーごと転落し死亡した。 南日本新聞 | 鹿児島,[],[]
水や土砂流入で通行止め続く北薩トンネル　復旧工事は早ければ2027年春完了か　鹿児島県は6月議会に契約議案を提案方針（南日本新聞）,https://news.yahoo.co.jp/articles/a5f42f7dd30981bf6e243207db1cc2e84f78fed7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260319-00000015-minami-000-2-view.jpg?exp=10800,2026-03-19T21:00:21+09:00,2026-03-19T21:03:35+09:00,南日本新聞,minami,南日本新聞,703,北薩トンネルの全面通行止め区間が一目で分かる地図 ２０２４年７月に土砂や水が流入し通行止めが続く北薩横断道路・北薩トンネル（鹿児島県出水市、さつま町）の本体復旧工事について、鹿児島県は９カ月（２７０日間）の工期を見込んでいると明らかにした。現在は入札手続き中で、県議会６月定例会で契約議案を提案する方針。議決を得て工事が順調に進めば、来春にも完了する。１８日の県議会総合政策建設委員会で説明した。 【写真】〈トンネル内の写真を見る〉北薩トンネル内の湧水の様子を視察する塩田康一知事（左）＝２０２４年８月３１日、出水市高尾野町柴引 県道路維持課によると、トンネル内には現在、崩壊箇所の前後１２０メートルにわたり土砂が堆積している。２６年度に実施する本体復旧工事では、土砂の撤去後に、改めてトンネル下部などの被災状況を調査。被災箇所周辺のコンクリートを５０メートルにわたり復旧する。 土砂で埋まった部分は路面が最大４０センチ隆起していることが分かっているが、詳しい状況は不明。同課は「不可視部分の調査をする。秋ごろまでには（詳細な）復旧時期のめどが立つ」としている。工期は調査結果により延びる可能性がある。 県は復旧に向け、水抜き用のトンネル（長さ１６０メートル）を新設。時間当たり２００立方メートルを処理しており、被災箇所の湧水はほぼなくなったという。２月にはトンネル壁外側の地盤を急速に固める注入剤を使って安定させた。現在はさらに広範囲の地盤改良を進めている。 被災当初の応急対策や水抜き工事など、これまで復旧にかかった費用は２７億円。県は最終的に６０億円程度となると見込んでいる。 南日本新聞 | 鹿児島,[],[]
胸ぐらつかまれ倒された妻　急性硬膜下血腫でその後死亡　70歳夫を傷害致死罪で起訴（南日本新聞）,https://news.yahoo.co.jp/articles/0b0c7ac8b60e584f91351d6bd652d85e2d3764f7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260319-00000014-minami-000-1-view.jpg?exp=10800,2026-03-19T19:45:23+09:00,2026-03-19T19:45:23+09:00,南日本新聞,minami,南日本新聞,287,（写真：南日本新聞社） 妻を突き飛ばして頭にけがをさせたとして、傷害の疑いで逮捕されていた鹿児島市小野２丁目、パート従業員の男（７０）について、鹿児島地検は１９日、傷害致死の罪に切り替えて鹿児島地裁に起訴した。 起訴状などによると、男は２月２７日午後５時ごろから同１１時５５分ごろまでの間、自宅で妻の胸ぐらを両手でつかんで押し倒し、後頭部を打ち付けて急性硬膜下血腫などの傷害を負わせ、死亡させたとされる。 女性は意識不明の重体で病院に搬送されたが、３月１０日に死亡した。地検は傷害致死に切り替えた理由について「証拠関係を総合的に判断した」としている。 南日本新聞 | 鹿児島,[],[]
「くらわすぞ」「すれ違うなよ」――スマホに届いた複数のメッセージ　自称配送業の男を脅迫容疑で逮捕（南日本新聞）,https://news.yahoo.co.jp/articles/8c596e1ef87566c2aba3c6b02ebd013f0471a6e4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260319-00000013-minami-000-1-view.jpg?exp=10800,2026-03-19T18:05:29+09:00,2026-03-19T18:05:29+09:00,南日本新聞,minami,南日本新聞,195,（写真：南日本新聞社） 鹿児島中央署は１９日、脅迫の疑いで鹿児島市下福元町、自称配送業の男（２７）を逮捕した。逮捕容疑は１８日午前９時半ごろ、県内の２０代女性に対し、スマートフォンのメッセージアプリで、女性の名誉を害する内容の画像や「すれ違うなよ。くらわすぞ」などのメッセージを複数回送信し脅迫した疑い。署によると、２人は面識がある。女性が同日、署に被害を届け出た。 南日本新聞 | 鹿児島,[],[]
はしか感染、鹿児島市で新たに4人　今年、県内累計12人（南日本新聞）,https://news.yahoo.co.jp/articles/500a30402c7082d162947240de2f81ee021589cb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260319-00000012-minami-000-1-view.jpg?exp=10800,2026-03-19T18:00:21+09:00,2026-03-19T18:00:21+09:00,南日本新聞,minami,南日本新聞,325,（写真：南日本新聞社） 鹿児島市は１９日、市内の１０〜５０代の男女４人が、はしか（麻しん）に感染したと発表した。うち２人は感染可能期間中、不特定多数と接触したとし、市は注意を呼びかけている。今年の県内の感染確認は計１２人。 感染したのは、１０代の男女各１人と４０代女性、５０代女性。５０代女性は陽性が確認された患者と接触があった。４人は１５日までに発熱などの症状が現れ、１８日に陽性が確認された。１３〜１５日に市内の商業施設や飲食店を訪れている。 市感染症対策課は「疑いのある症状が出た人は、医療機関に連絡した上で受診し、公共交通機関の利用は控えてほしい」と呼びかける。市は感染者の利用施設や利用時間をホームページで公表する。 南日本新聞 | 鹿児島,[],[]
曽於市で牛舎の一部焼く　木造平屋約40平方㍍とトラクター１台　けが人なし（南日本新聞）,https://news.yahoo.co.jp/articles/56b139775f2c7510e334e8d4fff6bfb63b660f8e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260319-00000011-minami-000-3-view.jpg?exp=10800,2026-03-19T17:55:33+09:00,2026-03-19T22:25:56+09:00,南日本新聞,minami,南日本新聞,147,（写真：南日本新聞社） １９日午前８時１５分ごろ、鹿児島県曽於市大隅町月野、畜産業男性（３４）方の敷地内にある牛舎から出火、木造平屋約２２０平方メートルの一部約４０平方メートルとトラクター１台を焼いた。 曽於署によると、けが人はなかった。煙に気付いた男性が１１９番した。 南日本新聞 | 鹿児島,[],[]
九州大と福岡大の小型ロケット「おおむね成功」　肝付の岸良海岸で打ち上げ（南日本新聞）,https://news.yahoo.co.jp/articles/108a2368e06500e9a088bd86ef0132d7801a2d59,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260319-00000010-minami-000-1-view.jpg?exp=10800,2026-03-19T17:00:21+09:00,2026-03-19T17:00:21+09:00,南日本新聞,minami,南日本新聞,579,ロケットを発射台に取り付ける学生たち＝肝付町の岸良海岸 九州大学と福岡大学（いずれも福岡市）が１５日、鹿児島県肝付町の岸良海岸で、学生が製作した小型ハイブリッドロケットを１機ずつ打ち上げた。目標高度に達しないなど課題は残ったが、おおむね成功した。 【写真】上昇する九州大学のロケット＝肝付町の岸良海岸 地元との交渉・調整に大学が連携する「共同実験」の枠組みで実施し、九州では初。九州大は新エンジンの実験などが目的で、福岡大は初めて海に向けて打ち上げて成果を確かめた。 どちらも固体燃料と液体酸化剤を使うタイプで、機体は全長約１．６５メートル、直径約１１センチ。重さは九州大機９．５２キロ、福岡大機７．６３キロで、それぞれ午前９時ごろ、同１１時ごろ発射し、海に着水して回収した。合わせて約６０人が参加した。 学生たちによると、目標高度（九州大１６０メートル、福岡大２００メートル）には、ともに届かなかった。飛行データは取得できたが、パラシュートや着水時に使う浮きが出ず、発射時に遠くから点火のタイミングを見極めづらいことも分かった。 双方のリーダー、九州大２年の河野雅宏さんは「７０点くらいの出来。岸良は障害物が少なく、打ち上げに適した環境だ」、福岡大２年の山本雄太さんは「下級生中心で海打ちを試し、課題を発見できて良かった」と話した。 南日本新聞 | 鹿児島,[],[]
ロケット発射場で結婚式…一風変わったふるさと納税返礼品、第1号は名古屋のペア　内之浦宇宙空間観測所で記念撮影（南日本新聞）,https://news.yahoo.co.jp/articles/9c8bfdae073001b3f99d0595e2a88da496fdf26e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260319-00000009-minami-000-1-view.jpg?exp=10800,2026-03-19T14:55:22+09:00,2026-03-19T14:55:22+09:00,南日本新聞,minami,南日本新聞,632,返礼品の撮影に臨む春日井貴久さん、七重さん夫妻＝肝付町の内之浦宇宙空間観測所 鹿児島県肝付町のユニークなふるさと納税返礼品「ロケットフォトウエディング」第１号となるペアの撮影会があった。ロケット発射場がある内之浦宇宙空間観測所（同町南方）で婚礼衣装を着て写真が撮れる特典が売り。関係者はさらにＰＲし、申し込みを増やしたい考えだ。 【写真】（引いたアングルで）肝付町の内之浦宇宙空間観測所 「宇宙のまち」で思い出をつくってもらおうと、町が宇宙航空研究開発機構（ＪＡＸＡ）の協力を得て企画した。衣装の貸し出しの有無などによって３コースあり、寄付額は「１０万円以上」から。２０２３年度に受け付けを始めた。 １４日にあり、１組目となった名古屋市の医師、春日井貴久さん（３８）と妻の七重さん（２９）が参加。七重さんが観測所で打ち上げられた小惑星探査機はやぶさのファンだったことなどから、申し込んだという。 撮影はふるさと納税業務を受託する「きもつき未来商社そらまち」（同町南方）のスタッフらが担当。遠くに屋久島を望む場所などで次々にシャッターを切った。貴久さんは「大きなアンテナを見てＪＡＸＡの施設と実感した」、七重さんは「きれいな場所で撮影できて良かった」と話した。 地域おこし協力隊時代に発案し、この返礼品を提供する企業ｕｍｉｄａｓ（同町南方）の一員、楢崎恵さん（４８）は「よそでできない体験を発信し、町のファンづくりにもつなげたい」と意気込む。 南日本新聞 | 鹿児島,[],[]
【速報】教職員異動は2814人、女性管理職過去最高の19．3％に鹿児島県教育委員会が発表（南日本新聞）,https://news.yahoo.co.jp/articles/689a03a9e58c005c4a9e90732b764b5b7120dbe4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260319-00000008-minami-000-2-view.jpg?exp=10800,2026-03-19T14:15:23+09:00,2026-03-19T14:33:14+09:00,南日本新聞,minami,南日本新聞,541,（写真：南日本新聞社） 鹿児島県教育委員会は１９日、４月１日付の２０２６年度教職員人事異動を発表した。異動規模は前年度より４４人多い２８１４人。新規採用は１２人少ない５２１人だった。管理職に占める女性の割合は１９．３％で、２５年度を１．１ポイント上回り過去最高を更新した。 副教育長に兼広智道総務福利課長（５８）が就任。紺屋宏昭教育次長兼生徒指導総括監（５８）は鹿児島中央高校長に転出し、後任に中島靖治教職員課長（５８）が就く。同課長は徳留敏郎総合教育センター所長（５７）が務める。 主な女性管理職では、社会教育課長に大原暁子青少年研修センター所長（５４）、南薩少年自然の家所長には林智美かごしま県民大学中央センター主幹兼生涯学習課学習情報係長（５２）が就任する。 総合体育センター所長には寺原和照同センター指導課長（５６）が昇格する。 校長の交代も相次ぐ。明桜館高校は池畑辰也同センター所長（５６）、南薩特別支援学校は佐藤誠鹿児島大学術研究院准教授（５４）、吉野東中は大迫勝則北薩教育事務所長（５４）。西田小は鹿児島市教委の山口伸一保健体育課長（５８）、荒田小は橋口盛文県教委社会教育課長（５６）、皇徳寺小には上拂博文姶良・伊佐教育事務所長（５３）が就く。 南日本新聞 | 鹿児島,[],[]
