headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
鹿児島・枕崎で住家など4棟全焼…鎮火まで2時間半、計215平方メートル焼失、けが人なし（南日本新聞）,https://news.yahoo.co.jp/articles/a70e1b9903caa19c0388baae9499e9a9b4807532,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260923-00000003-minami-000-1-view.jpg?exp=10800,2026-09-23T23:35:26+09:00,2026-09-23T23:35:26+09:00,南日本新聞,minami,南日本新聞,261,消火に当たる消防関係者＝２３日午後６時すぎ、枕崎市東本町 ２３日午後５時２５分ごろ、枕崎市東本町、介護士の男性（６２）方から出火、木造２階建て住家５４平方メートルと併設する木造平屋の倉庫２０平方メートルのほか、隣接する会社員男性（４０）の木造２階建て住家１棟と、空き家１棟＝同市東本町、会社員男性（６６）管理＝の計４棟を全焼した。焼失面積は合計２１５平方メートル。けが人はなかった。 枕崎署によると、介護士の男性は１人暮らしで出火当時は外出中。近隣住民が１１９番し、出火から約２時間半後に鎮火した。 南日本新聞 | 鹿児島,[],[]
桜島、20日以降43回噴火――「噴煙が流されにくい」気象条件で回数増、入山規制は継続中（南日本新聞）,https://news.yahoo.co.jp/articles/47048f3dda356616822815e0c54f5938d7faa1de,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260923-00000002-minami-000-2-view.jpg?exp=10800,2026-09-23T22:35:22+09:00,2026-09-23T23:30:04+09:00,南日本新聞,minami,南日本新聞,230,（写真：南日本新聞社） 桜島の南岳山頂火口は２３日、噴火が相次ぎ、同日午後１０時現在１７回が観測された。２０日以降で合計４３回になった。鹿児島地方気象台によると、２３日は噴煙の量が中量からやや多量で、高さは最高２２００メートルまで上がった。桜島の噴火回数は噴煙量が中量以上（噴煙の高さがおおむね千メートル以上）のものを数える。上空の風が弱く、噴煙が流されにくい気象条件となり、回数が増えたという。噴火警戒レベルは３（入山規制）が継続中。 南日本新聞 | 鹿児島,[],[]
「動物のゴリラは平和の象徴。地に足をつけて平和を守る」…新政治団体「護憲リベラル共生」代表・川内博史元衆院議員が語る設立の狙い（南日本新聞）,https://news.yahoo.co.jp/articles/1d14a584ee5434c7de2b79f9c8f007cd5833869d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260923-00000001-minami-000-2-view.jpg?exp=10800,2026-09-23T15:45:26+09:00,2026-09-23T23:28:22+09:00,南日本新聞,minami,南日本新聞,1161,「永田町的数合わせに信念を曲げることがあってはならない」と語る川内博史元衆院議員＝１５日、東京都内 ２月の衆院選で中道改革連合から鹿児島１区に立候補し落選した川内博史元衆院議員（６４）は８月、自身が代表を務める政治団体「護憲リベラル共生」（略称・ゴリラ）を設立すると表明した。中道を離れ立憲民主党へ復党する意向を固め、「自民党との対峙（たいじ）」を明確に打ち出す川内氏に政治団体設立の経緯や狙いを聞いた。 【2026衆院選】「主張は間違っていない」…が、高市人気に勝てず 中道・川内さん（鹿児島1区）「申し訳ない」 －設立の経緯は。 「衆院選後の特別国会を見ていて仲間と危機感を共有した。国旗損壊罪や国家情報会議の創設をはじめ、高市内閣は国家主義的な政策に注力している。明確に対峙する理念と政策を掲げる必要があると考えた」 －どういう団体なのか。 「平和を守り、生活を守り、誰もが自分らしく生きられる社会をつくりたい。日本国憲法は第２次世界大戦の深い反省が下敷きになっている。それを大事にすることは庶民の生活を大事にすることでもある」 「設立宣言や基本政策１１項目で、対米自立による安全保障政策の転換、女性天皇の実現、脱原発と再生可能エネルギーの最大化、真の中小企業支援などを掲げた。自民党政治による『失われた３０年』を転換する」 －８月１９日に設立の方針を発表した理由は。 「仲間が１０人を超えたところで旗揚げを判断し、終戦記念日の前後に日本国憲法の価値を問い直そうと思った。国会近くに事務所を探していて、臨時国会が始まるまでに設立を届け出たい」 「現時点で、（出身の）立民を中心に２０人程度が集まった。（現職国会議員が５人以上いるなどの）政党要件は満たしていないが、現職もいる。永田町の離合集散と一線を画し、コツコツと共感の輪を広げたい」 －略称の由来は。 「地元で『これから護憲リベラルの旗を握る』という話をした際、支援者の一人が『それはゴリラですね』と言った。動物のゴリラは平和の象徴。『力強く地に足をつけて平和を守る』という意思を込めている」 －中道は解散する。 「最も大事な安保政策やエネルギー政策、憲法問題などで曖昧さを残したままだったが故に衆院選で惨敗し、今回の分裂に至った。反省を踏まえて自分なりの行動につなげている」 －政治家として今後は。 「とにかく国政での活動を目指す。衆院鹿児島１区から引き続きチャレンジしたい。護憲リベラル共生の旗の下で国政選挙を戦う」 かわうち・ひろし氏 １９６１年生まれ。鹿児島市出身。早稲田大卒。９６年衆院選に民主党から鹿児島１区に立候補し比例で当選。衆院の国土交通委員長などを務めた。２月の衆院選で立民を離党し中道に合流したが落選した。衆院８期。 南日本新聞 | 鹿児島,[],[]
