headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
鹿屋航空基地の自衛官が廃校侵入疑い――「ほしい物あれば盗むつもりだった」　鹿屋署が29歳3等海曹逮捕（南日本新聞）,https://news.yahoo.co.jp/articles/5a887706051278e7b2f8fbfc99dea56aa9c2223c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260709-00000005-minami-000-1-view.jpg?exp=10800,2026-07-09T22:15:26+09:00,2026-07-09T22:15:26+09:00,南日本新聞,minami,南日本新聞,380,（写真：南日本新聞社） 鹿児島県警鹿屋署は９日、建造物侵入と窃盗未遂の疑いで、海上自衛隊鹿屋航空基地（鹿屋市）所属の自衛官男（２９）＝同市西原３丁目＝を逮捕した。逮捕容疑は５月１６日午後１時１５分ごろ、垂水市が管理する市内の学校跡地の校舎に侵入し金品を盗もうとした疑い。管内で廃校を狙った空き巣被害がこの１年で数件あり、署は関連を調べる。 署によると、警備用の機器が侵入を検知し、警備会社が１１０番した。１階の無施錠の窓から侵入したとみている。署員の現場到着時には誰もおらず、聞き込みなどで特定した。男は「廃校の校舎内に無断で入ったのは間違いない。ほしい物があれば盗むつもりだった」と容疑を認めている。 基地によると、男は第１整備補給隊所属の３等海曹。同隊司令の本多正敏１等海佐は「事実関係を基に厳正かつ適切に対応する」とコメントした。 南日本新聞 | 鹿児島,[],[]
硫化水素を検知、下水処理施設の作業員重体――水質検査の準備中　宇検村（南日本新聞）,https://news.yahoo.co.jp/articles/593b6f877549a67f5cb55be420fdc2a0ab9baff5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260709-00000004-minami-000-2-view.jpg?exp=10800,2026-07-09T22:15:23+09:00,2026-07-09T23:26:20+09:00,南日本新聞,minami,南日本新聞,313,（写真：南日本新聞社） ９日午前８時４０分ごろ、鹿児島県宇検村湯湾の宇検中央地区集落排水処理施設の地下１階で、水質検査の準備中だった男性作業員（４８）＝奄美市＝が倒れていると１１９番があった。男性は病院に搬送され、意識不明の重体。付近で硫化水素が検知された。瀬戸内署が原因を捜査している。 村によると、現場は下水処理場。男性は村の委託を受けた業者の社員で、下水を川に流す前の水槽前で準備をしていた。硫化水素は浄化作業で発生することはあるが、男性がいた現場で確認されることはないといい、村は施設に不備がないか調べる。１階で別の作業をしていた同僚があおむけで倒れている男性を見つけた。同僚に体調不良はない。 南日本新聞 | 鹿児島,[],[]
不同意わいせつ疑い、男子高校生を再逮捕　鹿児島県警（南日本新聞）,https://news.yahoo.co.jp/articles/14dc132910bfb909d80986082be67d034b85a74d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260709-00000003-minami-000-1-view.jpg?exp=10800,2026-07-09T19:55:28+09:00,2026-07-09T19:55:28+09:00,南日本新聞,minami,南日本新聞,214,（写真：南日本新聞社） 鹿児島県警は９日、不同意わいせつの疑いで、姶良市の男子高校生（１７）を再逮捕した。再逮捕容疑は４月下旬、県内の屋内で、県内の１０代女性の体を触るなどわいせつな行為をした疑い。 県警によると、女性が警察施設に被害を届け出た。男子高校生は容疑を一部否認している。別の少年２人と共謀し、面識のない２０代男性に脳挫傷など約１カ月の重傷を負わせたとして、６月３日に傷害容疑で逮捕されていた。 南日本新聞 | 鹿児島,[],[]
口永良部島、噴火警戒レベルを2に引き上げ（南日本新聞）,https://news.yahoo.co.jp/articles/e413d5039e0af57b39758c38d21dd88b50373105,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260709-00000002-minami-000-2-view.jpg?exp=10800,2026-07-09T09:15:22+09:00,2026-07-09T09:15:27+09:00,南日本新聞,minami,南日本新聞,337,（写真：南日本新聞社） 福岡管区気象台は９日午前２時２５分、屋久島町・口永良部島の火山活動が高まっているとして、噴火警戒レベルを１（活火山であることに留意）から２（火口周辺規制）に引き上げたと発表した。新岳火口と古岳火口からおおむね１キロの範囲で大きな噴石や火砕流に、新岳火口から西側のおおむね２キロの範囲で火砕流に警戒するよう求めている。 口永良部島では９日午前１時ごろから、古岳付近の浅い所が震源とみられる火山性地震が増え、午前２時１５分までの１時間に１１回発生した。気象台によると、火山性地震が１時間に１０回以上というレベル２への引き上げ基準の一つに該当した。 噴火警戒レベルは、２０２５年９月１９日にレベル２からレベル１に引き下げられていた。 南日本新聞 | 鹿児島,[],[]
霧島市の川沿いに男性遺体――家族が行方不明届（南日本新聞）,https://news.yahoo.co.jp/articles/add08b62c3845739164284d55791d12e41bf0662,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260709-00000001-minami-000-1-view.jpg?exp=10800,2026-07-09T09:05:29+09:00,2026-07-09T09:05:29+09:00,南日本新聞,minami,南日本新聞,177,（写真：南日本新聞社） ８日午後４時５分ごろ、鹿児島県霧島市国分下井の検校川沿いの砂地で、近くの無職男性（８９）がうつぶせで倒れているのが見つかり、駆け付けた救急隊がその場で死亡を確認した。 霧島署によると、近隣住民が「川の砂地に人が倒れている」と１１０番した。家族が同日午後、「家の中からいなくなった」と行方不明届を出していた。 南日本新聞 | 鹿児島,[],[]
