headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
鹿児島から始まった…「3.11」鎮魂の街頭ピアノ、今年も響いた――県内10会場含む11道県で同時開催（南日本新聞）,https://news.yahoo.co.jp/articles/1827dd07e93a9f6cb8fcd8452821c702decf3f4c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260311-00000013-minami-000-1-view.jpg?exp=10800,2026-03-11T21:35:23+09:00,2026-03-11T21:35:23+09:00,南日本新聞,minami,南日本新聞,623,手話を交えて歌う心光保育園の園児ら＝１１日、鹿児島県湧水町のＪＲ栗野駅 東日本大震災から１５年となる１１日、追悼セレモニー「ストリートピアノでつなぐ祈りのハーモニー」が鹿児島県内１０会場を含む全国１１道県２３会場であった。震災翌年の２０１２年に鹿児島で始まり全国に広がった取り組み。大人から子どもまでが、地震発生時刻の午後２時４６分に黙とうをささげ、ピアノに合わせ童謡「ふるさと」や復興支援ソング「花は咲く」を歌い、犠牲者を悼んだ。 【写真】震災復興を願って集う参加者＝１１日午後２時５４分、鹿児島市中央町 鹿児島市のＪＲ鹿児島中央駅近くの一番街商店街では買い物客らが合唱。１００人を超える歌声は終盤にかけ一体感を増した。鹿児島市の会社員山本美仁さん（３１）は「皆で心を寄せ合う大切な日にしたい」。実行委員のピアニスト柴藤ひろ子さん（５７）は「悲しみに寄り添い、震災を忘れないでいるための活動を続けたい」と誓った。 湧水町のＪＲ栗野駅では近くの心光保育園の園児２４人が手話を交えて歌った。同町木場の梅古川美代子さん（８４）は「子どもたちの歌声は元気がよく手話にも感動した。災害はいつ起こるか分からないので気をつける」と話した。 会場では防災講話もあった。日本防災士会県支部の吉水康夫支部長（７４）は昨年８月の記録的大雨の被害状況など説明し「自分の命は自分で守るとともに、地域で助け合わないと尊い命は助けられない」と語った。 南日本新聞 | 鹿児島,[],[]
「戻りたい」と思ったまま亡くなった人が大勢いる――原発事故避難から帰還まで11年5カ月　福島県双葉町長が語る「マイナスからの出発」　　廃炉完了時期の見直しに理解（南日本新聞）,https://news.yahoo.co.jp/articles/77fcfec80d9c1a360f25430fe0ee6207458f00b1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260311-00000012-minami-000-1-view.jpg?exp=10800,2026-03-11T21:25:21+09:00,2026-03-11T21:25:21+09:00,南日本新聞,minami,南日本新聞,1178,取材団の質問に答える伊澤史朗町長＝福島県双葉町役場 東京電力福島第１原発が立地する福島県双葉町の伊澤史朗町長（６７）は１１日までに、南日本新聞など日本記者クラブ取材団の会見に応じた。政府と東電が２０５１年までの完了を目標に掲げる廃炉作業について、「放射性物質の飛散など人的被害がないことが絶対条件」と述べ、目標時期の見直しに理解を示した。主なやりとりは次の通り。 －原発事故から１５年だ。 「商業施設や役場など生活に必要な施設を除染し、一から造り直すというマイナスからの出発だった。避難していた住民の帰還開始は東日本大震災から１１年５カ月後で、戻りたい気持ちを持ったまま亡くなった人が大勢いる。その思いを忘れてはならない。避難先に住む住民にも町へ関心を持ち、つながり続けたいと思ってもらうことが大切だ」 －廃炉作業のうち、溶融核燃料（デブリ）の本格的な取り出しの着手が、当初予定の２０３０年代初頭から３７年度以降にずれた。 「これまでに経験のない取り組みだ。燃料の再臨界や大気中に放射性物質が飛散することがあってはならない。人的被害や戻ってきた住民に影響のないことが絶対条件。時間にこだわる必要はない。今後の検証次第で、廃炉完了の目標時期の改正はあっていい」 －廃炉完了後はどういった姿を望むか。 「（原子炉を冷却できず炉心溶融や水素爆発を起こした）１〜４号機は更地にすることが当然ではないか。健全性を保つ５、６号機は、廃炉の技術者や研究者を育成する最先端の施設として活用を提唱する」 －事故で出た除染土は、４５年３月までに福島県外で最終処分することが法に明記されている。そんな中で昨年、町内で除染土の再利用を検討すると発言した。 「県外処分の議論が進んでいないという問題意識から発言した。県民から福島が除染土を再利用するのはおかしいという声があるが、全国で少しずつ協力したらどうか。福島第１原発の電気は全て首都圏に送っていた経緯もあり、首都圏の人にも除染土の再利用を考えてほしい」 －東電が柏崎刈羽原発６号機（新潟県）で事故後初となる原発の運転を再開した。全国で再稼働が続くが、原発を稼働させたい国と電力会社に対し、自治体がその可否を主体的に判断することはできるか。 「福島事故は人災だ。もし高台に非常用電源を設置していたら、過酷事故は起こらなかったと思う。他の原発に賛否を示す立場にはないが安全対策を徹底するべきだ。人間が造るものに１００％はないと常に意識して取り組むことが大切」 「原発の安全性を確立した仕組みがなければ、再稼働はあり得ない。ただ日本経済が苦しく、将来より今の生活に目が向いてしまわないか。原発は過疎地に多く、元々裕福な自治体は少ないはずだ。経済性を抜きに可否を考えられる環境にない中、難しい判断になると思う」 南日本新聞 | 鹿児島,[],[]
同じ公衆トイレで火事続発…放火か――おむつ交換台や子ども用椅子など焼く　鹿児島市・脇田公園（南日本新聞）,https://news.yahoo.co.jp/articles/df6f96376a3ce869a399fc5c2093293e8039a742,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260311-00000011-minami-000-1-view.jpg?exp=10800,2026-03-11T21:05:32+09:00,2026-03-11T21:05:32+09:00,南日本新聞,minami,南日本新聞,298,おむつ交換台などが燃えた公衆トイレ＝１１日午前０時２６分、鹿児島市宇宿３丁目の脇田公園 １０日午後１０時２０分ごろ、鹿児島市が管理する、同市宇宿３丁目、脇田公園の多目的トイレから出火、おむつ交換台や子ども用の椅子、壁の一部の計約４平方メートルを焼いた。昨年１２月にも、同じトイレで同様の火事があった。火を使用する設備はなく、鹿児島南署は放火の可能性も視野に調べている。 署によると、通行人が「脇田公園のトイレが火事になっている」と１１０番した。人的被害はない。 公園を管理する市公園緑化課によると、１２月の火事以降、多目的トイレは一時的に使用禁止として、扉を施錠していた。 南日本新聞 | 鹿児島,[],[]
「返礼品としてかなり人気の牛肉だったので残念」…黒毛和牛ステーキのはずが交雑種、ホルスタイン種――表示不正の水迫畜産に立ち入り　ふるさと納税4市（南日本新聞）,https://news.yahoo.co.jp/articles/839fa831e5426af682770d2fe04fd8f6db110b0b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260311-00000010-minami-000-1-view.jpg?exp=10800,2026-03-11T21:05:30+09:00,2026-03-11T21:05:30+09:00,南日本新聞,minami,南日本新聞,638,牛肉商品の不適正表示があった水迫畜産に立ち入り調査する県内４市の担当職員＝１１日午前１０時ごろ、鹿児島市 水迫畜産（鹿児島県指宿市山川）が牛肉商品の牛種や原産地、個体識別番号を不適正表示していた問題を受け、同社の牛肉を使ったふるさと納税返礼品を扱っていた鹿児島県内の４市は１１日、鹿児島市にある同社の加工施設へ立ち入り調査した。 【写真】〈別カット〉牛肉商品の不適正表示があった水迫畜産に立ち入り調査する県内４市の担当職員＝１１日午前９時５０分、鹿児島市 調査したのは、鹿児島、指宿、南九州、姶良４市のふるさと納税の担当職員。同日午前１０時ごろから計１０人が施設に入り、約２時間半かけヒアリングや製造現場の確認をした。４市によると、不適正表示に至った経緯や現在は改善されているのかなどを聞き取った。 ４市は今後、不適正表示のあった牛肉を含む返礼品や寄付者などを特定し、必要な対応を取る。必要に応じ調査を続け、総務省へ報告する。 鹿児島市の担当職員は「（水迫畜産の牛肉は）返礼品の中でもかなり人気が高かったので残念。必要な対策や確認をして、寄付者に安心してもらえるように努めたい」と話した。 水迫畜産はステーキや切り落としなどの原料牛肉に肉専用種や交雑種、ホルスタイン種を使っていながら「黒毛和牛」と表示。沖縄県産や宮崎県産を含んだ商品も「鹿児島県産」として販売した。さらに、異なる個体識別番号の原料牛肉を複数使っているのに一つの識別番号のみを表示した。 南日本新聞 | 鹿児島,[],[]
「Ｈ3」補助なしロケット6号機…15日にエンジン燃焼再試験　種子島でJAXA（南日本新聞）,https://news.yahoo.co.jp/articles/fc018a9769fefc9ca8f7b4967dab3ee11afb46da,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260311-00000009-minami-000-2-view.jpg?exp=10800,2026-03-11T20:25:31+09:00,2026-03-11T20:37:03+09:00,南日本新聞,minami,南日本新聞,452,＜資料写真＞Ｈ３ロケット６号機のエンジン燃焼試験＝２０２５年７月２４日、南種子町の種子島宇宙センター 宇宙航空研究開発機構（ＪＡＸＡ）は１１日、Ｈ３ロケット６号機の実機を使ったメインエンジン「ＬＥ９」の燃焼再試験を１５日に鹿児島県南種子町の種子島宇宙センターで実施すると発表した。 ６号機は液体燃料を使う主エンジンが３基、固体燃料を使う脇の補助ロケットが０基の「３－０形態」と呼ばれる新たなタイプ。昨年７月の試験で、水素と酸素タンクの圧力が不足し、エンジンに燃料を十分に送り出せない恐れがあることが判明した。 再試験は燃料の流量を増やすなど対策を取り、エンジンを前回の２倍の約５０秒間燃焼。計画通りにタンク圧を制御できるか確認する。担当者は「打ち上げ再開までの期間を有効に利用して、６号機をしっかり仕上げたい」と話した。 Ｈ３は昨年１２月に８号機の打ち上げに失敗し、ＪＡＸＡが原因究明を続けている。ＬＥ９エンジンは燃焼終了まで正常に機能し、失敗の原因ではないと分析しているという。 南日本新聞 | 鹿児島,[],[]
わいせつ目的で面会求め乱暴　不同意性交容疑などで53歳会社員男を逮捕　鹿児島県警（南日本新聞）,https://news.yahoo.co.jp/articles/162b6120c7ddea75c0d96ea7268edcc008ea64f9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260311-00000008-minami-000-1-view.jpg?exp=10800,2026-03-11T19:55:32+09:00,2026-03-11T19:55:32+09:00,南日本新聞,minami,南日本新聞,193,（写真：南日本新聞社） 鹿児島県警は１１日、わいせつ目的面会と不同意性交の疑いで、鹿屋市西原２丁目、会社員男（５３）を逮捕した。逮捕容疑は２０２５年１２月下旬、県内の１６歳未満の少女に、拒まれたにも関わらずわいせつ目的で面会を要求し、県内で乱暴した疑い。 県警によると、要求は交流サイト（ＳＮＳ）で行っていた。女性の関係者が今年１月上旬に警察へ連絡して発覚した。 南日本新聞 | 鹿児島,[],[]
20分まで無料、超えたら30分300円…JR鹿児島中央駅の送迎用駐車場が値上げ　混雑緩和目指す（南日本新聞）,https://news.yahoo.co.jp/articles/ca6751d8178fa030b6e81542efa4865e334590d5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260311-00000007-minami-000-2-view.jpg?exp=10800,2026-03-11T14:00:23+09:00,2026-03-11T17:03:30+09:00,南日本新聞,minami,南日本新聞,243,〈資料写真〉 鹿児島市は１０日の市議会建設消防委員会で、ＪＲ鹿児島中央駅の送迎用駐車場の料金を、６月から３０分３００円に値上げする方針を示した。２０分以内無料は変わらない。 ▶新幹線で九州大冒険――期間限定、2日間乗り放題 中学生以上2万円、小学生3000円 全線開業15年記念、3月10日から発売 現在は３０分２００円で、東口側に３０台（障害者用２台）、西口側に１０台（同１台）。市道路管理課によると、長時間駐車を抑制して回転率を上げ、混雑緩和につなげる狙い。 南日本新聞 | 鹿児島,[],[]
子どもの発熱で早退続き、上司は嫌な顔…育児と家事の8割を負担　限界感じた共働きの女性営業職は転職を決めた（南日本新聞）,https://news.yahoo.co.jp/articles/4310985eb233a35161b1c305079e5cf2e8e950d5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260311-00000006-minami-000-1-view.jpg?exp=10800,2026-03-11T12:15:23+09:00,2026-03-11T12:15:23+09:00,南日本新聞,minami,南日本新聞,1298,女性社員向けに仕事のやりがいについて説明する女性管理職＝鹿児島市のリコーＩＴソリューションズ鹿児島事業所（同社提供） ８日公表された２０２６年の都道府県版ジェンダー・ギャップ指数。鹿児島県は公表が始まった２２年と比べて政治と経済の２分野で改善したが、行政と教育は４０位前後と低迷が続く。男女平等への道のりはまだ遠い。この５年間の変化を追い、課題を探った。（連載「鹿児島の景色は～男女平等度のリアル」④より） 【連載①】 政治は男性が行うもの。出馬に反対する親…女性首長いまだゼロ ４歳の娘を育てる鹿児島市の女性（３４）は２年前、飲食業に転職した。 前職は、保険会社の営業職。出産前は午前８時から午後８時まで働いた。１歳になって職場復帰したが、夕方には娘を保育園に迎えに行き、寝かしつけてから持ち帰った仕事をした。 夫も仕事が忙しく、女性が育児と家事の８割を担う。娘が発熱した時の迎えももっぱら女性。早退が続き、上司に嫌な顔をされたこともある。ストレスがたまる生活を２年間続け、限界を感じて転職した。 今は夜の勤務で娘の急な迎えにも対応できる。休日に娘と遊ぶ時間も増えた。 選択に後悔はない。けれども前の仕事が好きで、続けたい気持ちもあった。「子育てがキャリアの妨げになるのはおかしい。両立できる環境をつくってほしい」と強調。「男性の働き方も変えなければ、女性への家事や育児の偏りはなくならない」と訴える。 □■□ ２０２６年の都道府県版ジェンダー・ギャップ指数で経済は１１位。政治・教育・行政・経済の４分野では最も上位で、２２年の３９位から大きく伸びた。 ただ、格差解消の道のりは遠い。フルタイムで働く男性の賃金に対する女性の賃金割合は７６．９％。２２年（７４．６％）から２．３ポイントしか縮まっていない。 格差の背景には、女性は出産や育児でキャリアが中断されがちなため、平均勤続年数が短いことや非正規雇用の多さが挙がる。 女性管理職の少なさも影響している。帝国データバンクが昨年実施し、県内企業９４社が回答した意識調査で、女性管理職割合の平均は８．３％だった。 □■□ 仕事と家庭を両立する仕組みを整えようとする動きもある。リコーＩＴソリューションズ鹿児島事業所（鹿児島市）は１０年以上前から、フレックスタイム制度やリモートワーク、育休復帰前の面談を導入する。 黒木麻理恵さん（３８）は、熱発などで急に子どもを保育園に迎えに行く時、１時間単位で使える有休を活用する。「制度を使う人が男女問わず多く、文化として根付いているからこそ気軽に利用できる」と語る。 同社は性別にかかわらず活躍できる環境をつくろうと、女性管理職と一般社員の交流や「負担の少ない仕事を女性に当てる」といったアンコンシャス・バイアス（無意識の思い込み）を取り除くため管理職向けの研修を実施。２４年に初めて女性管理職が誕生、２５年１０月時点で５．３％に上る。 人事部の隈田原幸子さん（４８）は「女性が働きやすくなると男性も働きやすくなる。人手不足の中、働きやすい職場は、採用の強みにもなる」と力を込めた。 南日本新聞 | 鹿児島,[],[]
その行為、丸見えですよ――痴漢や盗撮防止へ特殊ミラーを設置　JR鹿児島中央駅の上りエスカレーター（南日本新聞）,https://news.yahoo.co.jp/articles/58ef1dfbef038755cd264ebc827d0303141beec5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260311-00000005-minami-000-1-view.jpg?exp=10800,2026-03-11T11:25:22+09:00,2026-03-11T11:25:22+09:00,南日本新聞,minami,南日本新聞,466,一般的な鏡（右）に比べて周囲を広角に映す特殊ミラー（左）＝１０日、鹿児島市のＪＲ鹿児島中央駅東口エスカレーター 痴漢や盗撮被害を防ごうと、鹿児島県警とＪＲ九州鹿児島支社はＪＲ鹿児島中央駅（鹿児島市）の上りエスカレーターや階段の壁に特殊ミラー６枚を設置し、報道陣に１０日公開した。駅利用者に周囲の目を意識してもらう狙い。通常の鏡より広角に映す加工がされている。 【写真】上りエスカレーターの壁に設置された特殊ミラー＝１０日、鹿児島市のＪＲ鹿児島中央駅 県警は子どもや女性に対する痴漢や盗撮、声かけ行為を重大犯罪の前兆事案とする。２０２５年の摘発や被害相談は痴漢６０件（前年比２件増）、盗撮１０９件（９件減）で、女子中学生が駅のエスカレーターでスマートフォンを向けられたケースもあった。 高校生の娘がいる鹿児島市喜入町のパート従業員、前薗かおりさん（５１）は「周りが異変に気づくきっかけになれば」と期待。鹿児島中央駅の杉谷昌紀駅長（５１）は「安心して利用してもらえるよう犯罪を許さない環境をつくりたい」と話した。 南日本新聞 | 鹿児島,[],[]
鹿児島市でまた公衆トイレ焼く　脇田公園　おむつ交換台や子ども用椅子など約4平方メートル（南日本新聞）,https://news.yahoo.co.jp/articles/da8b5d5b8a1d7c3580e6765b149b2703fafa0ce0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260311-00000004-minami-000-2-view.jpg?exp=10800,2026-03-11T10:25:22+09:00,2026-03-11T11:28:01+09:00,南日本新聞,minami,南日本新聞,258,おむつ交換台などが燃えた公衆トイレ＝１１日午前０時２６分、鹿児島市宇宿３丁目の脇田公園 １０日午後１０時２０分ごろ、鹿児島市が管理する、同市宇宿３丁目、脇田公園の公衆トイレから出火、おむつ交換台や子ども用の椅子、壁の一部の計約４平方メートルを焼いた。 【写真】おむつ交換台などが燃えた公衆トイレ＝１１日午前０時２６分、鹿児島市宇宿３丁目の脇田公園 鹿児島南署によると、通行人が「脇田公園のトイレが火事になっている」と１１０番した。人的被害はない。昨年１２月にも同じトイレで同様の火事があった。 南日本新聞 | 鹿児島,[],[]
地に落ちる…“和牛日本一”のブランド信頼――「畜産県に大打撃」「偽装は許せない」。怒りあらわの同業者　水迫畜産が表示不正（南日本新聞）,https://news.yahoo.co.jp/articles/13b1c5dc4e105810fa2355b9c41207002f945ebf,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260311-00000003-minami-000-2-view.jpg?exp=10800,2026-03-11T06:23:23+09:00,2026-03-11T08:54:12+09:00,南日本新聞,minami,南日本新聞,1292,不適正表示で行政指導を受けた水迫畜産の本社農場＝１０日、指宿市山川福元 農林水産省は１０日、水迫畜産（指宿市山川）が牛肉商品の牛種や原産地、個体識別番号を正しく表示せずに販売したとして、食品表示法や牛トレーサビリティー法に基づく表示の是正や再発防止策の実施を指示・勧告する行政指導をした。商品の原料に黒毛和種以外や他県産を使用しているのに「黒毛和牛」「鹿児島県産」と表示、事実と異なる個体識別番号を使うなどしていた。 【写真】〈関連〉不適正表示が確認された水迫畜産の商品（農林水産省提供。赤線部分が不適正表示） 水迫畜産はステーキや切り落としなどの原料牛肉に肉専用種や交雑種、ホルスタイン種を使っていながら「黒毛和牛」と表示。沖縄県産や宮崎県産を含んだ商品も「鹿児島県産」として販売した。さらに、異なる個体識別番号の原料牛肉を複数使っているのに一つの識別番号のみを表示した。 ◇ 水迫畜産（指宿市山川）の牛種や原産地、個体識別番号の不適正表示が１０日、明らかになった。県産和牛の需要は新型コロナウイルス禍での消費低迷から回復途上で、県は一層のブランド力向上や国内外での販路拡大に取り組む最中だった。県内畜産関係者からは「畜産県にとって大ダメージ」「偽装は許せない」などの声が上がった。 帝国データバンクによると、水迫畜産は業種別売上高が県内２位の大手。和牛の生産から加工まで手がける北薩地方の畜産業者は「（水迫畜産は）かなり規模が大きく、鹿児島の畜産業全体の信頼失墜につながるのでは」と危惧する。 加工・販売の際は、個体識別番号などに間違いがないよう気を遣っており、「交雑種を黒毛和種とうたうと、キロ単価が１０００円ほど上がる。偽装はあってはならない」と強調した。 水迫畜産と業務提携を結ぶ食肉卸大手のスターゼン（東京）の担当者は一報に触れ「驚いている」。阿久根と南さつま両市の工場で水迫畜産の牛を仕入れている。購入した牛は個体識別番号を厳重にチェックしており、安全性に問題がないことを急ぎ確認した。「水迫畜産の改善への取り組みを注視したい。取引先や消費者へも誠実に対応する」 県内のある生産者は「風評被害を受けかねない。（ライバルの）宮崎牛を選ぶ客が増えるのでは」と憤る。不適正表示のあった２０２３年はコロナ禍の影響が残り外食需要も戻らず、業界は苦しい時期だった。「黒毛和種が動かない代わりに、交雑種やホルスタインなどの安い肉を加えて売り上げを伸ばしたかったのでは」といぶかしむ。 鹿児島県は全国和牛能力共進会（全共）で２連覇し、県は「和牛日本一」を掲げ応援店の登録や県外でのキャンペーンなどＰＲに注力していた。県畜産振興課などの担当は「関係機関と一体となって取り組んできた矢先。出はなをくじかれた思い」と口をそろえた。 県内畜産関係の不適正表示問題は、県外産牛肉を鹿児島県産などと表示していたことが２４年に判明した蓬の郷（よもぎのさと）＝志布志市＝以来。蓬の郷は牛肉約５０キロ、豚肉約８５キロを志布志市の返礼品として販売し、九州農政局から是正勧告を受けた。 南日本新聞 | 鹿児島,[],[]
