headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【速報】J3鹿児島ユナイテッド、開幕連勝　敵地で奈良に3－1（南日本新聞）,https://news.yahoo.co.jp/articles/dbfe08ddc42d731e1705dcb4031190f8795b4c08,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260816-00000003-minami-000-1-view.jpg?exp=10800,2026-08-16T20:15:30+09:00,2026-08-16T20:15:30+09:00,南日本新聞,minami,南日本新聞,116,（写真：南日本新聞社） 明治安田Ｊ３は１６日、第２節があった。鹿児島ユナイテッドＦＣは奈良市のロートフィールド奈良で奈良に３－１で勝ち、開幕２連勝とした。 次節は２２日、鹿児島市の白波スタジアムで岐阜と戦う。 南日本新聞 | 鹿児島,[],[]
鹿児島市中心部の空襲、父と裏山から見た桜島は…真っ暗な山並みの先で街のあちこちから火が上がり――赤々と浮き上がっていた【証言 語り継ぐ戦争】（南日本新聞）,https://news.yahoo.co.jp/articles/047f6a1d5655b0ab18823eaf6a412c12cee6ef0c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260816-00000002-minami-000-1-view.jpg?exp=10800,2026-08-16T18:00:21+09:00,2026-08-16T18:00:21+09:00,南日本新聞,minami,南日本新聞,1226,米軍機の機銃掃射を受けたときの記憶を語る夏迫勇さん＝鹿児島市小山田町 ■夏迫 勇さん（８６）＝鹿児島市小山田町 鹿児島市街地を離れて１０キロ余り、旧伊敷村小山田段ノ山の郡山街道（現在の国道３２８号の一部）沿いにわが家はあった。父はまだ２０代だったが胸を患って兵隊に取られず、両親と祖母、長男で就学前だった私を含む子ども３人の６人家族だった。 道路脇に「タコツボ」と呼ばれる塹壕（ざんごう）がいくつもあった。敵が上陸したときに、ここに潜んで迎え撃つためだったのだろうが、子どもはよく隠れて遊んでいた。 銃を担いだ大勢の兵隊さんが行軍する様子も見た。ある暑い日、その中の数人が家を訪れ、井戸で行水をしたことがある。その人たちに「夫婦一緒でうらやましい」と言われたと、両親が話したのを覚えている。今となっては幸いだったが、同世代が応召する中で残された父の心中は複雑だっただろうと思う。 米軍機の機銃掃射にも遭遇した。家から東側の山を越えて田んぼのある平地に姿を現すと、急に高度を下げて撃ってきた。パイロットの顔も見えた。昼間だったので家族みんなで防空壕（ぼうくうごう）に逃げ込んだが、まだ２歳だった弟が逃げ遅れた。幸い無事だったものの、弟の泣き叫ぶ声と両親の慌てた顔は忘れられない。 市中心部が空襲に遭ったときは、夜中に父と裏山に登って遠くを眺めた。真っ暗な山並みの向こうで街のあちこちから火が上がり、桜島が赤々と浮き上がって見えた。 その頃から、集落に市内から避難してくる人が増えた。つてのある人は農家の釜小屋や納屋を借りて住んでいたが、中には竹で組んだ小屋で寝泊まりし、道路脇で煮炊きをしている人もいた。 日ごとに避難者が増えていたある日、わが家も一家で逃げることになった。荷車に鍋釜などを積み、牛に引かせて急坂を３キロほど進み、郡山の山奥に入った。今は木や竹が茂っているが、当時は畑地だった一角に蚊帳を張った。 ８月１５日前後だったのだろう。集落に「米軍が近くに迫っている」とのうわさが流れ、それぞれ逃げたらしい。終戦を知らせるラジオ放送は聞いていない。 山中では、昼は静かに畑仕事をし、夜は息を潜めて野宿で２晩過ごした。今ならキャンプ気分かもしれないが「敵に見つかるかもしれない」と追い詰められた気持ちでとても怖かった。 父が山を下りて戦争が終わったことが分かり、みんなで家に戻った。集落には避難者がたくさん残っていた。 翌年春に入学したが当初は国民学校のままで、学校には天皇陛下の写真を収めた奉安殿もあった。それでも、上の世代のように「兵隊さんになりたい」と考えたことはなかった。子どもながらに「戦争は怖い」という思いの方が強かった。 ニュースでパレスチナなどの難民キャンプの様子を見ると、終戦前後に近所の道路脇で煮炊きしていた人たちの姿を思い出す。戦争のない世界を願わずにはいられない。 （２０２６年８月１３日付紙面掲載） 南日本新聞 | 鹿児島,[],[]
学校の「奉安殿」に最敬礼、校長は教育勅語を読み上げた――「男の子はみんな兵隊に」と植え付けられた少年時代……父の一言「戦争が終わった」で知った終戦【証言 語り継ぐ戦争】（南日本新聞）,https://news.yahoo.co.jp/articles/753eac94bbb0bd65a991a3b30ba6539002a7823c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260816-00000001-minami-000-1-view.jpg?exp=10800,2026-08-16T13:30:22+09:00,2026-08-16T13:30:22+09:00,南日本新聞,minami,南日本新聞,1055,奉安殿の落成式の写真を見つめる一木法明さん。前列に亡父が写る＝志布志市志布志町内之倉 ■一木法明さん（９０）＝志布志市志布志町内之倉 １９４２（昭和１７）年１０月１２日に撮影された「奉安殿」の落成式の写真を実家で見つけた。小学４年生で終戦を迎えた私にとって戦争の記憶はうっすらとしかないが、天皇陛下のご真影と教育勅語を収めた奉安殿は印象に残っている。 志布志市の森山国民学校（現森山小学校）の正門から真正面に見える場所に設置されていて、登校したら必ず最敬礼しなければならなかった。当時はどこの学校にもあったはずだが戦後すぐ取り壊され、今の人たちはほとんど知らないだろう。 行事や紀元節など、ことあるごとに校長先生が教育勅語を取り出し、うやうやしく壇上に持って来て、「朕（ちん）惟（おも）フニ我カ皇祖皇宗國（くに）ヲ肇（はじ）ムルコト宏遠ニ－」と読み上げた。軍国主義の教育を徹底して教えられ、男の子はみんな兵隊になるよう植え付けられた。 一方、実家の専念寺の本堂は兵隊の宿舎となり、２０代くらいの若者が数十人も雑魚寝していた。山を切り開いて軍事用の道路造りをしていて、アケビを取ってきてくれることもあった。 そんな優しい彼らも戦争が激しくなるとどんどん召集されていった。小学校で壮行会をし、現在の内之倉郵便局の前の広場辺りまで万歳をして見送った。大半は前線に送られ戦死したはずだ。 終戦間際には志布志の田舎にも爆弾が落ちた。父は在郷軍人として毎日のように竹やりを持って訓練していた。母が「相手は飛行機でやって来るのに竹やりを持って行って何になるの」とつぶやいたら、父が「ばかなことを言うな。非国民と言われるぞ」と声を荒らげた。戦争反対は許されない時代だった。 ４５年８月１５日は家族と正座してラジオを聞いた。「ガーガー」と雑音がひどく、言葉も難しく、天皇陛下が何をおっしゃったのか分からなかった。父の「戦争が終わった」という一言で終戦を知った。 空襲警報がなくなってホッとしたが、苦しい思いをしたのは戦後だった。たくさんの人たちが引き揚げてきて衣食住が不足した。食べるものに困り、靴が手に入らず、冬もわら草履で過ごした。昭和３０年ごろまで貧しかった。 今も世界中で争いが絶えない。老後の趣味で始めた川柳でこんな句を詠んだ。＜地球儀を回せば銃の音がする＞。街は木っ端みじんになり、民間人も犠牲になる。勝っても負けても禍根が残る。戦争ほど惨めなものはない。 （２０２６年８月１１日付紙面掲載） 南日本新聞 | 鹿児島,[],[]
