headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
奄美地方　８日未明から落雷・竜巻・強い雨に注意　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/43a895be76b52199f1cc437fed7a93f92ffd6c2a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240407-00070756-mbcnewsv-000-2-view.jpg?exp=10800,2024-04-07T16:22:00+09:00,2024-04-07T16:23:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,271,\n鹿児島県の奄美地方ではあす８日未明から夜遅くにかけて、落雷や竜巻などの激しい突風や急な強い雨に注意が必要です。\n\n名瀬測候所によりますと、停滞する前線に向かって暖かく湿った空気が流れ込み、奄美地方では大気の状態が非常に不安定となる見込みです。このため奄美地方では、８日未明から夜遅くにかけて、局地的に積乱雲が発達するおそれがあります。\n\n名瀬測候所は、落雷や竜巻などの激しい突風、急な強い雨に注意し、発達した積乱雲が近づく兆しがある場合は、建物の中に移動するなど安全を確保するよう呼びかけています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240407-00070756-mbcnewsv-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/43a895be76b52199f1cc437fed7a93f92ffd6c2a/images/000']
鹿児島レブナイズ　レギュラーシーズン最終戦に勝利　初の１４連勝で締めくくる（MBC南日本放送）,https://news.yahoo.co.jp/articles/75312a5e68f4302f71b0479284a2df14d70ce0b2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240407-00070759-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-04-07T18:18:00+09:00,2024-04-07T18:18:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,382,\nMBC南日本放送\nバスケットボールＢ３の鹿児島レブナイズは７日、ホームでのレギュラーシーズン最終戦を制し、初の１４連勝を飾りました。\n\n過去最多３８６０人のブースターが駆けつけたレギュラーシーズン最終戦。ここまで３位のレブナイズは、８位の湘南ユナイテッドＢＣと対戦しました。\n\nレブナイズは前半、エースのゲインズ・ジュニアが攻撃をけん引。前半だけで１７得点を挙げます。\n\n３点リードで迎えた後半もレブナイズの勢いは止まらず。固いディフェンスからの攻撃でリードを広げ９５対６０で勝利。クラブ史上初の１４連勝でレギュラーシーズン最終戦を締めくくりました。\n\nレギュラーシーズンを３位で終えたレブナイズ。Ｂ２昇格をかけたプレーオフ初戦は、今月１９日から。西原商会アリーナでレギュラーシーズン６位のチームと対戦します。\nMBC南日本放送 | 鹿児島,[],[]
陸自国分駐屯地で一般陸曹候補生１６９人が入隊「自衛官の父見て憧れ志した」　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/ef796ce9bb618d4af8a27d33fb516b214e40ab8f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240407-00070758-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-04-07T18:21:00+09:00,2024-04-07T18:21:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,307,\nMBC南日本放送\n鹿児島県霧島市国分の陸上自衛隊国分駐屯地で、一般陸曹候補生の入隊式がありました。\n\n陸上自衛隊国分駐屯地の第１１３教育大隊では、将来、下士官に相当する、部隊の中堅を担う１８歳から３２歳までの一般陸曹候補生１６９人が入隊しました。\n\n７日の入隊式では、新入隊員が宣誓文を読み上げ、教育大隊の上級部隊、西部方面混成団の副団長・中村智志１等陸佐が式辞で「全員が自信と誇りをもった新しい自衛官として成長することを祈念する」とエールを送りました。\n\n隊員たちはこれからおよそ３か月間、自衛官の基礎などを学び、その後、全国各地の部隊で専門的な訓練を受けます。\nMBC南日本放送 | 鹿児島,[],[]
鹿児島市議選が告示　１週間の選挙戦スタート　６１人が立候補（MBC南日本放送）,https://news.yahoo.co.jp/articles/998e1e2d982ce7a9f49c1edd0411e6dbd84b4d67,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240407-00070757-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-04-07T18:23:00+09:00,2024-04-07T18:23:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,410,\nMBC南日本放送\n任期満了に伴う鹿児島市議会議員選挙が７日に告示され、定数４５に対し、６１人が立候補しました。\n\n鹿児島市役所では、午前８時半に立候補の受け付けが始まりました。各陣営は、くじで順番を決めて届け出をした後、腕章や選挙カーの表示板などいわゆる「選挙の七つ道具」を受け取り、会場を後にしました。\n\nそして早速、出陣式を開き、選挙カーで支持を呼びかけるなどし、１週間の選挙戦がスタートしました。\n\n午後５時に立候補の受け付けは締め切られ、定数４５に対して、前回より１人多い、現職３４人、元職１人、新人２６人のあわせて６１人が立候補しました。そのうち女性の候補者は１５人で、過去最多となりました。\n\n期日前投票は８日以降、市役所の本庁や支所など１４か所で行われ、うちイオンモール鹿児島でも１１日から１３日に行われます。\n投票日は今月１４日で即日開票されます。\nMBC南日本放送 | 鹿児島,[],[]
行方不明だった指宿市の７０代女性　無事発見　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/137572d2f2dcaa4c35aaec6774546f3f8aaf81bd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240407-00070760-mbcnewsv-000-1-view.jpg?exp=10800,2024-04-07T18:25:00+09:00,2024-04-07T18:25:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,183,\n鹿児島県指宿市で６日から、７０代の女性の行方が分からなくなっていましたが、７日夕方、無事発見されました。\n\n警察によりますと、女性は６日午後１１時ごろ、一緒に住む家族が自宅で確認したのを最後に行方が分からなくなっていました。\n\n警察が捜索にあたっていたところ、７日午後５時すぎ、指宿市内で女性を無事見つけたということです。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240407-00070760-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/137572d2f2dcaa4c35aaec6774546f3f8aaf81bd/images/000']
鹿児島市議選が告示　１週間の選挙戦スタート　これまでに６１人が立候補（MBC南日本放送）,https://news.yahoo.co.jp/articles/086b78f778f80633eb9bc9d9ea0c937392e453c2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240407-00070754-mbcnewsv-000-3-thumb.jpg?exp=10800,2024-04-07T11:07:00+09:00,2024-04-07T11:09:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,404,\nMBC南日本放送\n任期満了に伴う鹿児島市議会議員選挙が７日に告示され、１週間の選挙戦がスタートしました。定数４５に対し、これまでに６１人が立候補しています。\n\n鹿児島市役所では、午前８時半に立候補の受け付けが始まりました。\n各陣営は、くじで順番を決めて届け出をした後、腕章や選挙カーの表示板などいわゆる「選挙の七つ道具」を受け取り、足早に会場を後にしました。\nそして早速、出陣式を開き、選挙カーで支持を呼びかけるなど１週間の選挙戦をスタートさせました。\n\n今回の鹿児島市議選には、定数４５に対して、これまでに現職３４人、元職１人、新人２６人のあわせて６１人が立候補しています。\n\n立候補の受け付けは、７日午後５時まで鹿児島市役所で行われます。\n期日前投票はあす８日以降、市役所の本庁や支所など１４か所で行われます。投票日は今月１４日で即日開票されます。\nMBC南日本放送 | 鹿児島,[],[]
