headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
「予算審議急ぐ高市政権の姿勢が表れ」…衆院予算委の地方公聴会が鹿児島市で異例の日曜開催、知事ら要望（南日本新聞）,https://news.yahoo.co.jp/articles/b4a426364b293620c181174b1f27a4c8d4f89c7b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260308-00000015-minami-000-2-view.jpg?exp=10800,2026-03-08T22:05:27+09:00,2026-03-08T22:58:55+09:00,南日本新聞,minami,南日本新聞,621,意見を述べる亀割浩介社長（手前）ら＝８日、鹿児島市の城山ホテル鹿児島 ２０２６年度政府予算案に関する衆院予算委員会の地方公聴会が８日、鹿児島市の城山ホテル鹿児島で開かれた。塩田康一知事ら４人が意見陳述し、消費税や原油高、産業振興について要望を述べた。塩田知事は予算案に関して「遅れた場合は、自治体の事業に支障が生じる。早期の成立をお願いしたい」と述べた。 【写真】意見陳述する塩田康一知事（右）ら＝８日、鹿児島市の城山ホテル鹿児島 海蔵伸一・連合鹿児島会長、岡恒憲・鹿児島経済同友会代表幹事、亀割浩介・Ｆａｒｍ－Ｋ社長も意見陳述した。衆院予算委によると、休日開催は異例。 塩田知事は「農林水産物の輸出額の半分が米国。トランプ関税の影響から他国への多角化に取り組んでいる」と述べた。海蔵氏は食料品を２年間消費税の対象外とする案について「税率を元に戻す際、再び物価が上昇し実質賃金を押し下げる恐れがある」と指摘した。 岡氏は米イスラエルのイラン攻撃による原油価格上昇に触れ「県民の生活や経済に直接影響する」。伊佐市で米作りに取り組む亀割氏は「中山間地域はなり手がいない。地元の人材を生かせる制度設計を」と求めた。 同日は与野党６党の派遣委員１５人が参加。中道改革連合の野間健氏（衆院鹿児島３区）は「現場の声を伝えられたので良かった。ただ、予算審議を急ぐ高市政権の姿勢が表れ、日曜開催は皆さんに迷惑をかけたと思う」と語った。 南日本新聞 | 鹿児島,[],[]
草刈り機の下敷き、83歳男性死亡　畑の土手から転落か（南日本新聞）,https://news.yahoo.co.jp/articles/d93888d6385228f69b444106436bbe439a68355e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260308-00000014-minami-000-1-view.jpg?exp=10800,2026-03-08T22:05:26+09:00,2026-03-08T22:05:26+09:00,南日本新聞,minami,南日本新聞,229,（写真：南日本新聞社） ８日午前１１時２５分ごろ、鹿児島県日置市伊集院町麦生田の畑で、同町郡の無職男性（８３）が、横転した乗用草刈り機の下敷きになっているのが見つかり、その場で死亡が確認された。 日置署によると、男性は高さ約３メートルの傾斜がある土手の近くで倒れていた。作業中に運転操作を誤り、土手から転落した可能性があるとみて調べている。家族の話から、養蜂作業をしていたとみられる。通行人が発見し、依頼された近隣住民が１１９番した。 南日本新聞 | 鹿児島,[],[]
水筒の熱湯を女性の肩に…広範囲にやけど　鹿児島市の会社員の男を傷害容疑で逮捕（南日本新聞）,https://news.yahoo.co.jp/articles/cd8ad9b6922bb46dfd1bd72fc6baeaf596c63455,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260308-00000013-minami-000-2-view.jpg?exp=10800,2026-03-08T22:05:23+09:00,2026-03-08T22:58:13+09:00,南日本新聞,minami,南日本新聞,161,（写真：南日本新聞社） 鹿児島中央署は８日、傷害の疑いで、鹿児島市の会社員の男（１９）を逮捕した。逮捕容疑は２月１２日午後１１時半ごろ、男の自宅で、水筒に入った熱湯を同市の２０代女性にかけ、肩の広範囲に水ぶくれやケロイド状のやけどを負わせた疑い。署によると、２人に面識はある。女性が被害届を出した。 南日本新聞 | 鹿児島,[],[]
南日本新聞社員ら5人が死亡した日比谷線脱線事故から26年　東京都目黒区の現場で犠牲者を追悼（南日本新聞）,https://news.yahoo.co.jp/articles/704ce37eaf5fbd0a4c29e19aea1d38e00a796fee,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260308-00000012-minami-000-1-view.jpg?exp=10800,2026-03-08T20:30:21+09:00,2026-03-08T20:30:21+09:00,南日本新聞,minami,南日本新聞,648,地下鉄日比谷線の列車脱線衝突事故の発生から２６年となり、慰霊碑に献花する東京メトロの小坂彰洋社長（中央）ら役員＝８日午前９時３分、東京都目黒区（代表撮影） 営団地下鉄（現東京メトロ）日比谷線で列車が脱線し、南日本新聞社社員の槙保代さん＝当時（３７）、鹿児島県南大隅町出身＝ら乗客５人が死亡、６４人が重軽傷を負った事故から８日で２６年となった。東京メトロの幹部らが東京都目黒区の現場で犠牲者を追悼し、「たゆみなき安全の追求」を誓った。 【写真】地下鉄日比谷線の列車脱線衝突事故の発生から２６年となり、「安全の誓い」を黙読する東京メトロの小坂彰洋社長（右）ら役員＝８日午前９時５分、東京都目黒区（代表撮影） 小坂彰洋社長（６３）らは発生時刻の午前９時１分に合わせて慰霊碑に黙とうをささげ、「安全の誓い」を黙読した。事故後に入社した社員は全体の７割超を占める。小坂社長は「事故の教訓を継承し、安全最優先の意識で日々の業務に取り組む企業風土の構築に全力を挙げたい」と述べた。 槙さんのいとこ渡邉由利子さん（５０）＝埼玉県＝は悲惨な事故を語り継ごうと、１１歳の長男を連れて献花に訪れた。「保代さんは穏やかで優しくて、おしゃれな憧れの女性だった。普通の日常が一瞬にして壊れ、本当に無念だったと思う。今までもこれからも忘れることはない」としのんだ。 事故は２０００年３月８日、中目黒－恵比寿間で発生。恵比寿駅から中目黒駅に向かっていた列車の最後尾がカーブで脱線し、対向の列車と衝突した。 南日本新聞 | 鹿児島,[],[]
黄色い声は消えた。田んぼは荒れ放題…われらが故郷・古園集落を黄色い“楽園”に ―― 住民は地域再生へ立ち上がった（南日本新聞）,https://news.yahoo.co.jp/articles/0a7f3351dc57dac0ce9780f38aa517e896f3aaa3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260308-00000011-minami-000-2-view.jpg?exp=10800,2026-03-08T17:03:21+09:00,2026-03-08T22:45:42+09:00,南日本新聞,minami,南日本新聞,544,満開の菜の花を眺め花見を楽しむ住民＝４日、鹿児島市小山田町 鹿児島市小山田町で山あいの細長い谷を、菜の花が黄色いじゅうたんのように埋めている。古園集落の住民が耕作放棄地を整備し、地元の名物にしようと取り組む。満開になった４日は、竹やぶを切り開いた広場に有志が弁当を持ち寄り、花見を楽しんだ。 「食育」が売りの保育園。園長は34歳、元コンサルタント。耕作放棄地で米作り、食材は地元農家から仕入れる。「挑戦する心を大切にしてほしい。その環境を作りたい」｜白水純平さん 集落は、国道３号神殿交差点から入った山の中。約４５世帯５０人の住民はほとんどが７０代以上で、子どもの声が絶えて久しい。荒れた田んぼの惨状を憂えた有志が５年ほど前から、桜や桃などの花木やアジサイを植えて美化に努めてきた。 ３年前からは一面に菜の花を植え、今季は約１ヘクタールに広がった。国道から都市農業センターにつながる道路沿いで、約５００メートルにわたって植えられている。２月に咲き始め、３月いっぱいは楽しめるという。 呼びかけ人の栫孝二さん（７２）は「過疎高齢化で住民同士が話す機会も減っていた。元気を取り戻すため、共に目的を持って取り組むことが大事。こんな古園を多くの人に見に来てほしい」と話す。 南日本新聞 | 鹿児島,[],[]
【速報】鹿児島ユナイテッドFC　4連勝ならず　J2大分にPK負け（南日本新聞）,https://news.yahoo.co.jp/articles/7d911cb7af168482608d07a828a0fcc1214046db,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260308-00000010-minami-000-1-view.jpg?exp=10800,2026-03-08T16:25:34+09:00,2026-03-08T16:25:34+09:00,南日本新聞,minami,南日本新聞,141,（写真：南日本新聞社） Ｊ２・Ｊ３百年構想リーグは８日、第５節があった。西Ｂ組の鹿児島ユナイテッドＦＣ（鹿児島Ｕ）は敵地でＪ２大分と対戦。０－０からのＰＫ戦（４－５）の末に敗れ、４連勝はならなかった。 次節は１５日、鹿児島市の白波スタジアムでＪ３滋賀と戦う。 南日本新聞 | 鹿児島,[],[]
【速報】B2鹿児島レブナイズ連敗　神戸に78－79（南日本新聞）,https://news.yahoo.co.jp/articles/b8a7ae520310e3d059e91e5af8a4d9447a5370b4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260308-00000009-minami-000-2-view.jpg?exp=10800,2026-03-08T15:25:23+09:00,2026-03-08T15:40:43+09:00,南日本新聞,minami,南日本新聞,169,第１クオーター、シュートを決めるレブナイズのゲインズ＝鹿児島市の西原商会アリーナ バスケットボールりそなＢリーグ２部（Ｂ２）西地区４位の鹿児島レブナイズは８日、鹿児島市の西原商会アリーナで同地区首位の神戸と再戦し、７８－７９で敗れた。通算成績は２４勝２０敗。 次節は１４、１５日、敵地で同地区２位の愛媛と対戦する。 南日本新聞 | 鹿児島,[],[]
“犯人”は体長わずか1mmの線虫…一度は沈静化したが再び食い荒らす――松くい虫被害が桜島で拡大中（南日本新聞）,https://news.yahoo.co.jp/articles/2060bdbe9fe6f8ecdc9828a19ed2551807610198,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260308-00000008-minami-000-2-view.jpg?exp=10800,2026-03-08T15:03:22+09:00,2026-03-08T22:55:35+09:00,南日本新聞,minami,南日本新聞,514,〈資料写真〉松くい虫被害がひどかった２００４年。クレーン台船を使った伐採処理＝鹿児島市有村町 鹿児島市は６日の市議会個人質問で、桜島地域の２０２４年度の松くい虫被害は、樹木の体積を示す材積に換算して１２８４立方メートルだったと報告した。２３年度は８６６立方メートル、２２年度は２５６立方メートルと年々拡大している。自民議員への答弁。 【写真】〈関連〉マツノザイセンチュウの雄成虫（体調約１ｍｍ＝国立研究開発法人 森林研究・整備機構 森林総合研所ホームページより） 市生産流通課によると、「マツノザイセンチュウ」という体長１ミリに満たない線虫が松の中に侵入し、増えることが原因。湯之平展望所（桜島小池町）から野尻町を中心に、桜島地域全体に松枯れが広がっている。同地域では１９９８年ごろから被害が出始め、ピークとなる２００４年度は２万５８００立方メートル、防除対策費は１億７８３２万円だった。１０年ごろにほぼ被害はなくなったものの、近年再び増加傾向にある。 市は２６年度当初予算案に森林保護事業費として４０６９万円を計上。枯れ木の伐倒駆除に加え、５～６月に湯之平展望所周辺４２１ヘクタールで航空防除する予定。 南日本新聞 | 鹿児島,[],[]
政治は男性が行うもの。出馬に反対する親…女性首長いまだゼロ――男女平等は遠い道のり…ジェンダー後進県で続く模索と確かな手応え #国際女性デー（南日本新聞）,https://news.yahoo.co.jp/articles/e0a716a3b53a9fcb438f3d5972a407f95425c2e7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260308-00000006-minami-000-2-view.jpg?exp=10800,2026-03-08T11:43:22+09:00,2026-03-08T11:56:16+09:00,南日本新聞,minami,南日本新聞,1277,議員活動を紹介する知名町議の長山美香さん（左奥から３人目）ら＝２月２２日、鹿児島市のカクイックス交流センター ８日公表された２０２６年の都道府県版ジェンダー・ギャップ指数。鹿児島県は公表が始まった２２年と比べて政治と経済の２分野で改善したが、行政と教育は４０位前後と低迷が続く。男女平等への道のりはまだ遠い。この５年間の変化を追い、課題を探った。（連載「鹿児島の景色は～男女平等度のリアル」①より） 【写真】〈関連＝女性議員の数はどう増えた？〉都道府県版ジェンダー・ギャップ指数「政治分野」の主な指標を確認する ◇ 「女性議員がいない町に新しい風を入れるために、来月出馬します」 ２月、鹿児島市であった女性の政治参画を促すセミナー。参加者の一人が宣言すると、拍手と歓声が上がった。東京の団体とかごしま女性政策研究会が、２７年春の統一地方選に向けて開いた。 政治は男性が行うものという固定観念、育児や介護との両立、家族の理解－。女性の立候補には多くの壁が立ちはだかる。 セミナーでは、薩摩川内、垂水、知名３市町の現職議員が経験談を紹介。男性が圧倒的に多い議会で、困ったことや解決策、出馬に反対する親をどう説得したかなど、率直に明かした。 池田みすずさん（５２）は１９年、垂水市で初の女性市議となった。市にはそれまで全国で唯一、女性議員が一度もいなかったが、現在は２期目の池田さんを含めて２人になった。 「男性の威圧的な発言に対し、自分１人の時は我慢してしまっていた。２人になって声を上げやすくなった。心強い」と明かす。期数が少ない男性議員から「意見しやすくなった」と聞き、「議会の雰囲気が変わったと言われる」と喜ぶ。 □■□ ２６年の都道府県版ジェンダー・ギャップ指数で、鹿児島県は政治分野が２９位となった。２２年の４６位から順位を上げた要因が、女性議員の増加だ。 県議は現員５０人のうち女性１０人で、４年前から倍増した。女性議員が一人もいない「女性ゼロ議会」は、２２年の１３市町村から２６年は６町村に減少。昨夏の参院選では、県内選挙区で衆参通じて初の女性国会議員が誕生した。 □■□ 地域の中核となる女性たちを送り出してきたのが、セミナーを企画したかごしま女性政策研究会だ。県男女共同参画審議会のたもつゆかりさん（７３）が代表を務め、３０年にわたって学びの場を提供している。 会を設立した時代は、良妻賢母を求めた婦人教育から、個人の尊重を基礎とする女性政策への過渡期。手探りで取り組みを進める市町村担当者を支える場が必要だった。定期的に集まってジェンダーや法体系、制度を学び、悩みを語り合った。やがて行政職員以外にもネットワークが広がり、議員を志す女性たちも育った。 当初からのメンバー（６４）は「次の世代に生きづらさを残してはいけないという思いから、女性の連帯でバトンをつないできた」と振り返る。 県内の女性首長はいまだゼロだが、たもつ代表は悲観していない。「この３０年で風景は大きく変わった。歩みを止めなければ、確実に変わる」 南日本新聞 | 鹿児島,[],[]
正しくかぶって「よしっ」。小1時に続く2度目の快挙達成――その成長ぶりに担当教諭も目を細める。「色使いや構図もうまい」（南日本新聞）,https://news.yahoo.co.jp/articles/4940453130d830355489e93b2fc7d046f410dcef,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260308-00000005-minami-000-2-view.jpg?exp=10800,2026-03-08T11:13:22+09:00,2026-03-08T11:56:46+09:00,南日本新聞,minami,南日本新聞,753,ＪＡ共済全国小・中学生交通安全ポスターコンクールで警察庁長官賞を受けた圖師茜音さん＝鹿児島市の桜丘東小学校 ＪＡ共済の２０２５年度全国小・中学生交通安全ポスターコンクールで、鹿児島市の桜丘東小学校５年の圖師（ずし）茜音さんが警察庁長官賞に輝いた。大賞にあたる各大臣賞や長官賞に選ばれた１２人の１人。１年時には内閣府特命担当大臣賞を受けており、２回目の快挙に「びっくりしたけれどうれしい。みんなで気をつけて少しでも交通事故が減ったらいい」と願う。 【写真】〈関連＝受賞作を見る〉自転車に乗る前にヘルメットをかぶる自身を描いた受賞作とともに、警察庁長官賞の賞状を手に笑顔を見せる圖師茜音さん＝鹿児島市の桜丘東小学校 全国から７万３４８１点の応募があった。赤黄青の信号機カラーを背景に、自転車に乗る前にヘルメットをかぶる自身を描いた。ヘルメットの調節ダイヤルに手を添える後ろ姿の構図。「正しくかぶって 安全運転！！」の文字には「自分に合ったサイズが大事。しっかりかぶって命を守ってほしい」との気持ちを込めた。 学校で夏休みに開かれる絵画教室で、１週間ほどかけて仕上げた。教室担当の図工専科で圖師さんを小１から指導する山崎栄一教諭（５５）は「物を見てしっかり形を描く力がさらに付いている。色使いや構図もうまい」と成長に目を細める。 お使いで時々近所のスーパーまで自転車で行く圖師さん。ヘルメットを着用せずに乗ったり、スピードを出し過ぎたりしている自転車をたびたび見かけるという。走行中にスマートフォンを使用する「ながら運転」のドライバーも気がかりだ。「交通安全には一人一人の心がけが欠かせない」と話す。 表彰式は２月６日、東京であった。「絵を描くのが好き。また賞を取りたい」と笑顔を見せた。 南日本新聞 | 鹿児島,[],[]
放課後の居場所は学校か家だけだった…10代の「やってみたい」を応援する場に――霧島市横川の古民家に〝創造研究室〟オープン（南日本新聞）,https://news.yahoo.co.jp/articles/2e140c940e5a7ebfc4ee3e45e4dbfc740ec01dad,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260308-00000003-minami-000-2-view.jpg?exp=10800,2026-03-08T07:00:22+09:00,2026-03-08T11:57:23+09:00,南日本新聞,minami,南日本新聞,730,「霧島・湧水ユースセンターｙｕｋｕｓｕ」に集まり作業する中高生＝霧島市横川町中ノの横川正丸屋 若者の興味関心を育てる拠点となる「霧島・湧水ユースセンターｙｕｋｕｓｕ（ゆくす）」が、鹿児島県霧島市横川の横川正丸屋にオープンした。「『やってみたい』に出会う・踏み出す １０代の創造研究室」をコンセプトに、新たな居場所としての役割を狙う。 【写真】本格始動した「霧島・湧水ユースセンターｙｕｋｕｓｕ」＝霧島市横川町中ノの横川正丸屋 地域活性化を進める一般社団法人「横川ｋｉｔｏ」が運営し、ＪＲ肥薩線沿線の地域に住む中高生を対象に、月・金・土曜の午後５時半～９時に開く。日中はカフェやギャラリーとして使っている古民家を、パソコン作業したり、静かに勉強したり、みんなで遊んだりするスペースに分け、飲み物や菓子、ボードゲーム、画材などを無料で提供する。 ２日、ゆくすに集まった中高生が、画用紙やマーカーを使って、郷土菓子「げたんは」やクッキーのポップ作りに取り組んだ。週末に湧水町の吉松駅であるイベントで販売するためで、価格設定なども自分たちで話し合って決めた。国分高校２年の佐野美翔さんは「平日の放課後は学校か家にいたが、居場所の選択肢が増えた。初めての活動なので成功させたい」と話した。 昨年１１月にプレオープン、２月に活動を本格化させた。オープン前にはゆくすのロゴを考えるワークショップを開催。多世代が集まる学び場として、今後も活動拠点や内容を広げる予定だ。横川ｋｉｔｏの白水梨恵代表理事（３８）は「将来の選択肢が広がるきっかけになる場所にしたい。支援する側、される側という立場ではなく、子どもたちの成長を通して大人も成長できたら」と語った。 南日本新聞 | 鹿児島,[],[]
