headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body
EV車競争が激化か？中国の電気自動車最大手「BYD」が山口県初上陸、来年ショールームも　（ＫＲＹ山口放送）,https://news.yahoo.co.jp/articles/fcd1b2e8e55ceaa20e9b2839ce82dcf1f14954c9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231128-04713297-kry-000-2-thumb.jpg?exp=10800,2023-11-28T19:59:00+09:00,2023-11-28T20:04:25+09:00,ＫＲＹ山口放送,kry,ＫＲＹ山口放送,608,\nＫＲＹ山口放送\n中国のEV最大手「BYD」が山口県に初上陸しました。\n\n 広島県に本社を置く株式会社ワールドモータースがBYDと販売店契約を結び今月25日から山口市で試乗商談が可能になりました。\n\n 商談受付がはじまったのは、2種類。フィットネスジムをイメージし、がっつり走りたい人のニーズに応えた「ATTO3」。\n\n そして、海をイメージし、リラックスできるような工夫が施された「DOLPHIN」。\n\n いずれも1回の充電で500キロ近く走り続けることができるということです。\n\n 「DOLPHIN」は、車内に子どもを残した状態で車を離れてしまうと警報を発する機能が備えられています。\n センサーで子どもを検知して知らせる装備で警告音が鳴った後は車内のエアコンがおよそ30分間作動します。\n\n（ワールドモータースグループ広報担当 渡部葵さん）\n「こだわりの装備かつ先進の安全技術を搭載し、いつものドライブを快適に楽しくお過ごしいただけると思うのでぜひ実車をお確かめください」\n\n 車両価格は300万円台から400万円台前半で国の補助金を活用するとさらに安くなります。\n\n「BYD AUTO 山口」のショールームは、来年末にオープンの予定です。\n\n 海外勢に先を越されている日本のメーカーですがトヨタや日産などは今後、EV車の販売比率を引き上げる方針を打ち出しています。
文化振興に大きな功績をあげた7人と1団体を表彰　山口県文化功労賞の表彰式（ＫＲＹ山口放送）,https://news.yahoo.co.jp/articles/05498e6fd933ae09472e9566684f58d094eb6f6b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231128-01957164-kry-000-2-thumb.jpg?exp=10800,2023-11-28T19:39:00+09:00,2023-11-28T21:49:28+09:00,ＫＲＹ山口放送,kry,ＫＲＹ山口放送,314,\nＫＲＹ山口放送\n山口県の文化振興に大きな功績を挙げた個人や団体が表彰されました。\n\n 県文化功労賞は1996年から毎年、贈られていて今回は、美術や音楽、文化財保護などに大きな功績を挙げた7人と1つの団体が選ばれました。\n\n 音楽指導では県吹奏楽連盟副理事長の芝口英夫さん（70）が表彰されました。\n\n 音楽教諭だった芝口さんは防府市などの小学校で吹奏楽部を立ち上げ、数々のコンクールで上位入賞。\n\n 2011年、山口国体の開会式でもマーチングバンドの全体指導を行うなど次世代育成に尽力しました。\n\n このほか、邦楽や日本舞踊、文化財保護などに貢献のあった個人や団体に表彰状が贈られました。（V0116）
子どもたちの興味や感性を育む・・・周南・櫛浜小学校で“ふるさとプロジェクト”和楽器演奏を披露！（ＫＲＹ山口放送）,https://news.yahoo.co.jp/articles/c2e5c905ce4bf68ac414b1e63138b9db6a7dcbfa,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231128-03765681-kry-000-1-thumb.jpg?exp=10800,2023-11-28T19:38:00+09:00,2023-11-28T19:38:00+09:00,ＫＲＹ山口放送,kry,ＫＲＹ山口放送,414,\nＫＲＹ山口放送\n子ども達の興味や感性を育もうと周南市の小学校で28日、和楽器演奏などのイベントが開かれました。\n\n 周南市の櫛浜小学校で開かれた「ふるさとプロジェクト」では、国の内外で活躍する和楽器奏者による演奏が披露されました。\n\n この取り組みは、伝統楽器にふれることでこどもたちの興味や感性を育もうと出光興産が全国の小学校で行っているものです。\n\n 会場では、演奏会とあわせて和太鼓体験も行われ、子どもたちが迫力のある音を肌で感じました。\n\n（子どもたちは）\n「意外と太鼓たたくの難しいとわかった」「めちゃくちゃたのしかった三味線とか和太鼓とかが良い音色を出していた」\n（出光興産徳山事業 三品鉄路所長）\n「古くから伝わる伝統をしっかりと子ども達に理解してもらいながら世界に羽ばたいていく子ども達ですから日本の文化を大事にしてもらえれば」\n\n 演奏会に続いて校庭に山桜の植樹が行われました。
空中ブランコやジャグリング！ポップサーカスが14年ぶりに山口で公演へ～山陽小野田市長を表敬訪問～（ＫＲＹ山口放送）,https://news.yahoo.co.jp/articles/926016a4b8a66f7996013c258c3a5546ef589b7c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231128-09316128-kry-000-1-thumb.jpg?exp=10800,2023-11-28T19:37:01+09:00,2023-11-28T19:37:01+09:00,ＫＲＹ山口放送,kry,ＫＲＹ山口放送,338,\nＫＲＹ山口放送\n山陽小野田市で来年2月から始まるサーカスの公演に向けて28日、サーカス団のメンバーが市長を表敬訪問しました。\n\n 山陽小野田市役所にやってきたのはポップサーカスのパフォーマーたち・・・\n\n 得意の演奏で藤田市長たちを盛り上げます。\n\n ポップサーカスは世界各国のトップレベルのアーティストによる空中ブランコやジャグリング、屈強な肉体を使った演技などアクロバティックなパフォーマンスを得意とするサーカス団。来年2月から山口では14年ぶりとなる公演を山陽小野田市で行ないます。\n\n（ポップサーカス 久保田悟社長）\n「一緒に盛り上げる形で応援していただければ嬉しい」\n\n 公演は来年2月25日からおのだサンパーク横の特設会場で始まります。
“ルフィ“関連事件でこれまでにも…特殊詐欺の回収役　大阪府の男（34）を窃盗容疑で逮捕（ＫＲＹ山口放送）,https://news.yahoo.co.jp/articles/b86f19c2a72eecbe1170ef9b9f0ff3500739e87a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231128-05214226-kry-000-1-view.jpg?exp=10800,2023-11-28T20:13:00+09:00,2023-11-28T20:13:00+09:00,ＫＲＹ山口放送,kry,ＫＲＹ山口放送,601,\nＫＲＹ山口放送\n山口県警は28日、岡山県で発生したうそ電話詐欺事件に関与した疑いで大阪府の無職・大古健太郎容疑者（34）を逮捕しました。\n\n 大古容疑者は指示役「ルフィ」らが関与する強盗事件等でこれまでに逮捕・起訴されていて、警察は余罪があるとみて捜査しています。\n\n 窃盗の疑いで逮捕されたのは、大阪府藤井寺市の無職・大古健太郎容疑者（34）です。\n\n 警察によりますと、去年11月に岡山県総社市の女性（当時80代）が被害に遭ったうそ電話詐欺事件で、被害金額120万円の回収役を担った疑いが持たれています。\n\n 山口県岩国市で去年11月に発生した強盗未遂事件を受け、山口県警が逮捕した被疑者の1人が本件詐欺の受け子兼出し子役を務めた男であることがわかり、県警が捜査を進めてきました。\n\n 大古容疑者は「黙秘します」と容疑を否認しているということです。\n\n 大古容疑者は去年12月、東京・中野区の住宅で住人の男性が殴られ現金約3000万円が奪われた強盗傷害事件など複数の強盗等の事件に関与していたとみられ、これで逮捕は7回目となります。\n\n 岩国市の強盗未遂事件については、現時点で関与は確認されていないということです。\n\n いずれの事件も背景には「ルフィ」を名乗る指示役らが存在しているとみられ、県警は今回の詐欺事件についても関与があったかどうか調べる方針です。
【上関・中間貯蔵施設】「市民は関西電力との共同開発に不信感…」上関町隣接の柳井市長が中国電力に伝達（ＫＲＹ山口放送）,https://news.yahoo.co.jp/articles/bc30c2568d675a29914e9e71e3e3adf442fd0104,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231128-03842669-kry-000-1-thumb.jpg?exp=10800,2023-11-28T19:36:00+09:00,2023-11-28T19:36:00+09:00,ＫＲＹ山口放送,kry,ＫＲＹ山口放送,771,\nＫＲＹ山口放送\n中国電力が上関町で進めている使用済み核燃料の中間貯蔵施設建設計画について、中国電力は28日から上関町の周辺市町に対して説明を始めました。初回は柳井市…井原市長は、関西電力と共同で開発を進めることについて市民から懸念の声が上がっていることを伝えたということです。\n\n 中国電力の大瀬戸聡常務ら3人が柳井市役所を訪れました。\n\n（中国電力 大瀬戸聡常務）\n「もっと早い時期にご説明にお伺いすべきところ、このような時期になってしまいましたことをまずもってお詫び申し上げます」\n\n 説明時期が遅くなった理由について、中国電力は、上関町内での説明を重ねていたためと釈明しました。\n\n 今回の説明は、今月7日に村岡知事から計画について周辺自治体に説明をするよう求められたことなどを受け行われたもので、柳井市、平生町、周防大島町、田布施町が対象となっています。\n\n 面会は非公開で行われ中国電力が上関町に調査を申し入れた経緯や施設そのものの概要について説明されたということです。\n\n（大瀬戸常務）\n「現在の取り組み等現状についてご希望もご要望もお聞きしながら丁寧に説明等を行っていきたいと考えています」\n\n これに対し、井原市長は、中国電力が関西電力と共同で開発を進めることについて市民から懸念の声が上がっていると伝えたということです。\n\n（柳井市 井原市長）\n「中国電力さん以外の電力会社のものがこちらにというところについては 根強い不信感というのがあるといったところはお伝えしました」「様々な背景も含めて不信感というものがあるそのあたりをお伝えをしてそういうものにこれから是非向き合ってもらいたいと強く要請した」\n\n 中国電力は、29日は平生町と周防大島町、30日は田布施町を訪問します。
盲導犬への理解を・・・盲導犬ラブラドール・レトリバーの「ナル」くんが萩市の小学校を訪問（ＫＲＹ山口放送）,https://news.yahoo.co.jp/articles/c758b13918f97b5024fc1e359fef0da7555a9819,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231128-02163187-kry-000-2-thumb.jpg?exp=10800,2023-11-28T19:36:00+09:00,2023-11-28T19:39:31+09:00,ＫＲＹ山口放送,kry,ＫＲＹ山口放送,492,\nＫＲＹ山口放送\n盲導犬への理解を深めてもらおうという教室が萩市の小学校で開かれました。\n\n 萩市の川上小学校を訪れたのは日本盲導犬協会の原水穂さんと3才のラブラドール・レトリバーの「ナル」くんです。\n\n ナルは現在、盲導犬にするために訓練を受けている犬で、盲導犬の役割である曲がり角で停まったり障害物をよけたりする実演を行いました。\n\n（原さん）\n「（障害物を）よけたあと必ず道路の左端まで戻っていきます」\n\n 教室では街で盲導犬に会ったときに気をつけてほしいことが伝えられました。\n\n（原さん）\n「盲導犬には何もしないということさわったり、名前、声をかけたりエサとか水をあげない、盲導犬には何もしないと覚えて下さい。犬じゃなくて人のほうに目を向けて声をかけてみてください」\n\n 盲導犬は全国では836匹いて県内では15匹が活動しているということです。\n\n（子ども達は）\n「盲導犬がまだ少ないことを初めて知ってびっくりしました」\n「盲導犬がいろいろな指示を覚えていてすごいと思いました。盲導犬ユーザーがいたら自分から声をかけたいと思いました」
テロリストを水際で防げ！年間1600隻の外国船が入港する徳山下松港で対策訓練（ＫＲＹ山口放送）,https://news.yahoo.co.jp/articles/9ef347b16633ba496026ca7af53d25f7856887db,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231128-05264287-kry-000-2-thumb.jpg?exp=10800,2023-11-28T16:49:00+09:00,2023-11-28T19:40:25+09:00,ＫＲＹ山口放送,kry,ＫＲＹ山口放送,428,\nＫＲＹ山口放送\nテロリストの侵入を水際で阻止する訓練が28日、周南市で行われました。\n\n 訓練は、テロリストが潜伏した貨物船が徳山下松港に入港したとの想定で、8機関からおよそ120人が参加しました。\n\n 海上保安部、警察が警戒する中、税関職員が入国審査や手荷物検査を実施。すると…テロリストが人質をとって暴れだします。\n\n この男は、警察が制圧しますが…船上には、もう一人のテロリストが…階段を降りざま飛び蹴りをくらわし、凶器を振り回し…\n\n 結果、船に乗って逃げ出します。\n\n 駆けつけた巡視艇との間で銃撃戦を繰り広げ、無事、テロリストを捕捉しました。\n\n（徳山海上保安部警備救難課 大塚久課長）\n「日本中どこでもおきるという認識をもってやっていきたいと思っています」\n\n 徳山下松港には年間1600隻もの外国船が入港していて訓練を主催した徳山下松港港湾保安委員会では「水際対策に万全を期していきたい」と話しています。
万が一に備えて・・・北九州・旦過市場の大規模火災を受け山口・岩国市の商店街で防災訓練（ＫＲＹ山口放送）,https://news.yahoo.co.jp/articles/5852e75a381cd778e356ed87445df3968442fe96,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231128-07488898-kry-000-2-thumb.jpg?exp=10800,2023-11-28T16:48:00+09:00,2023-11-28T19:39:28+09:00,ＫＲＹ山口放送,kry,ＫＲＹ山口放送,493,\nＫＲＹ山口放送\n去年、北九州市の旦過市場で発生した大規模火災を受け、岩国市の商店街で防災訓練が行われました。\n\n 岩国市麻里布町で行われた訓練には商店街の関係者らおよそ50人が参加し、消防の職員が消火器の扱い方や防災グッズの備えについて指導しました。\n\n 国は福岡県北九州市の旦過市場で去年、2度にわたって大規模な火災が発生したことを受け、全国の消防機関に対し、大規模火災の危険性が高い地域を「重点防火指導対象地域」とし住民に自主的な訓練などを促すよう通知を出しました。\n\n 岩国地区消防組合では文化財などの木造建築が多い錦帯橋東側の一帯とアーケード商店街のある麻里布町の一部を指定しています。\n\n 訓練では商店街の空き店舗に煙を充満させて火災を再現し「低い姿勢で壁伝いに進む」避難を実践しました。\n\n（中通商店街振興組合 藤田信雄 副理事長）\n「商店街には、好ましくないが火災が多くあるので万が一に備えるのは大切」\n\n 麻里布地域ではこのほど自治会と商店街、料飲組合が共同で消火器10本を購入し、火災を発見した人が使えるよう、店舗の前に設置しています。
【山口天気 夕刊11/28】日に日に寒さ増し 師走スタートは正月並みの寒さへ…冬本番へ季節の歩みは駆け足（ＫＲＹ山口放送）,https://news.yahoo.co.jp/articles/7c371ab62754a3749fd79da446c8b684bc7267fd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231128-08738991-kry-000-1-view.jpg?exp=10800,2023-11-28T18:36:01+09:00,2023-11-28T18:36:01+09:00,ＫＲＹ山口放送,kry,ＫＲＹ山口放送,823,\nこの先の気温変化\n◇ ◇ ◇\n28日(火)の最大瞬間風速\nきょう28日(火)の山口県は、冬型気圧配置になったことで西～北西の季節風がやや強く吹き抜け、瞬間的に20メートル近い突風を観測した所もありました。\nまた、冷たい風で寒さが増すとともに、上空に流れ込む寒気や気圧の谷の影響で、北部や山間部を中心に、日中は細かい雨雲が度々流れ込む、時雨模様の天気となった所もありました。\n29日(水)の雲と降水の予想\n冬型気圧配置は、今夜になると、いったん緩んでくる見込みで、冷たい風も、あす29日(水)朝にかけては落ち着いていき、夜中は晴れ間が出る所も多い見込みです。\n1\n/\n3\n29日(水)の天気予報\n29日(水)の天気予報\n29日(水)の風・波予報\nしかし、この晴れ間は束の間で、あす日中は次の気圧の谷が進んでくることで再び雲が増え、夕方から夜を中心に所々にわか雨の可能性があります。\nあす朝は放射冷却の影響で今朝より冷え込みが強いうえに、日中は日ざし控えめのために気温の上がり方は鈍く、空気の冷たさも増してくる見込み。\n午後の、にわか雨への備えとともに、もう1ランク暖かな装いなどを心がけて、健康第一で過ごしていきましょう。\nこの先の気温変化\nまた、あす29日(水)午後の、にわか雨の心配がある気圧の谷の通過を境に、さらに強い寒気が流れ込み、木曜日、金曜日と、さらに寒さが増していきます。\n12月のスタートは、山口市中心部で最高気温でも1桁となるなど、師走の始まりにしてもう1か月先の寒さ…お正月の頃の空気の冷たさとなる見通しです。\n10日間予報\n目先、数日間は、駆け足で進む季節変化で体調を崩すことのないよう、十分気をつけて過ごしましょう。\n今週末は寒さの底は過ぎていき、空模様も穏やかな見込み。\n来週にかけては、また気温は上昇傾向となってきそうです。\n\n（KRY山口放送 気象予報士 山本昇治)
